country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
孟加拉国,7085.1645,7480.2012,7863.7052,7797.8655,8957.2007,10150.1678,11681.2583,12618.5371,14226.8292,15139.3573,15162.0022,16964.6443,21941.2993,0.0
印度,88296.5717,104418.57,106011.1954,122705.2786,134520.0673,174472.6285,186552.3913,193058.975,251793.5274,280547.6554,274310.7958,283590.2904,287207.9215,0.0
英国,11682.7449,14350.032,17091.4351,12985.4939,13474.1116,15579.1145,16613.163,11683.7123,14533.8384,14506.3413,14439.6864,16164.823,16800.2341,15372.3747
德国,15745.1167,17358.2471,23219.2857,17037.2581,18302.9139,21501.7707,26278.9872,19573.7028,19707.4359,23799.0894,21482.8954,28387.0933,23363.7812,0.0
法国,27010.4513,31195.1853,35288.3475,33614.3859,31462.4455,38062.6508,39711.4461,32201.4501,38699.6826,42774.4148,40229.0343,37097.0715,39841.8142,0.0
俄罗斯,18303.9158,20265.8508,24942.9598,28450.2699,33658.2473,43587.3007,57216.7204,45494.1304,45343.9093,62758.7835,62095.0218,67562.5937,0.0,0.0
乌克兰,5515.7188,5437.2719,6990.2259,7888.1202,8069.6902,9313.328000000001,12255.2051,8360.347,10420.940999999999,13767.0904,14136.3003,0.0,0.0,0.0
加拿大,9746.6954,11452.4103,13765.7118,12625.917,12462.1782,13844.1593,18443.5448,13410.8937,15143.2378,21676.9426,22918.6028,0.0,0.0,0.0
美国,76351.8797,95771.1645,120775.5259,108035.3721,102207.972,115834.6196,128605.7458,112003.4917,131841.7901,168005.7608,153418.5478,188655.8811,168925.6184,0.0
阿根廷,9117.4802,11732.601999999999,13077.0913,15034.3033,15130.2217,20582.2488,25328.972999999998,16712.0496,29168.2312,36020.5936,32538.7865,0.0,0.0,0.0
墨西哥,24461.5803,22217.0335,24091.8663,24353.3344,27524.8507,30590.6055,33064.6333,26847.2765,31734.7053,34048.8557,36478.3416,40566.2674,41263.5007,0.0
新西兰,2659.3397,3629.8723,4121.4802,3762.6557,4008.2857,6590.8453,5014.3147,5405.1613,7667.3445,8390.6701,7461.0078,0.0,0.0,0.0
