country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
孟加拉国,47194.75539,51690.43736,55949.962470000006,57628.09748,69971.61988,79825.87264,91646.9401,102126.4965,114507.7977,123506.29245,128899.30788,153504.93485,173061.5697,194465.98106,220315.83205,245633.48891999997
中国大陆,1470557.267,1660280.1888,1955347.2804,2285959.9845,2752120.1121,3552164.9102,4598236.6372,5109942.0289,6100648.2645,7572599.6841,8560502.3503,9607290.4518,10482316.406,11064686.524,11191029.890999999,12237781.802000001
印度,496244.04716,581141.18992,703128.95827,823611.57801,939066.4174299999,1184724.4884,1267470.1214,1315230.2298,1669619.7718,1871918.0105,1860877.2356,1917053.6957,2042939.2897,2145537.0345,2270060.4677,2575666.6108
印度尼西亚,208325.00263,249968.41322,273460.97684,304371.85184,388167.83485,460192.55011999997,543253.8728,574505.13572,755094.15759,892969.1045299999,917869.9133700001,912524.1367200001,890814.75551,860854.2327200001,932256.49509,1015539.0201
以色列,121041.77064,126807.89977999999,135342.42707,142411.27750999999,153982.27627,178744.26844,215959.61283000003,207449.90901,233732.92781999998,261716.88236,257435.00344,292917.01243,310007.88085,300470.79171,319377.92485999997,353268.41331
泰国,134300.90336,152280.59235999998,172895.41203,189318.35775999998,221758.5851,262942.79839,291383.07561999996,281710.30834,341104.95569000003,370818.34202,397558.20085,420333.78934,407338.94365,401399.2271,411755.35926,455302.53466000006
英国,1772953.5838,2043923.6047,2403702.0762,2525013.1061,2697217.963,3084292.4936,2904216.9436,2394713.9265,2452899.6651,2634895.6931,2676605.4176,2753565.0338,3034729.4560000002,2896420.5865,2659238.9317,2631228.01
德国,2079230.657,2505637.0099,2819367.6159,2861339.1036,3002292.5685,3439776.9072,3752504.6085,3417799.1178,3417094.5626,3757698.2811,3543983.9091,3752513.5033,3898726.5038,3381389.3387,3495162.8563,3693204.3322
法国,1494354.6275,1840409.8412,2115834.4353,2196071.4819,2318474.8826,2657076.8678,2918490.999,2690060.2384,2642609.5489,2861408.1703,2683825.2251,2811077.7257,2852165.7606,2438207.8963,2465134.2974,2582492.2921
俄罗斯,347948.36029,434560.36663,596725.0329999999,771495.4233,999623.1336200001,1312427.0859,1677107.1612,1234615.1495,1539845.0821,2051658.8395,2210254.7294,2297124.8905,2063663.2242,1368401.8708,1284727.3902,1577524.424
乌克兰,43956.16361,52010.3525,67217.87102,89238.86512,111884.75248,148733.86139,188110.37578,121552.14824000001,136012.48032,163160.43277,175780.7338,183310.14638,133503.86718,91030.96876,93355.86898,112154.15856
加拿大,757941.824,892411.77163,1023180.9293,1169393.3634,1315457.7164,1464978.3268,1549073.1369,1371152.3373,1613463.4521,1788646.8955,1824288.7574,1842627.0348,1799271.4081,1552523.0765,1526953.7916,1647120.1754
美国,10936418.0,11458246.0,12213730.0,13036637.0,13814609.0,14451860.0,14712845.0,14448932.0,14992052.0,15542582.0,16197007.0,16784851.0,17521747.0,18219297.0,18707189.0,19485394.0
阿根廷,110583.59032,140444.13968,165947.75043,200622.20594,234391.23416999998,289755.14271,365644.37665,336359.38962,426487.43487,530158.17668,581430.9043899999,613316.0273600001,567050.1453399999,644903.2005,554861.88165,637486.2147100001
巴西,512030.13231,558922.14682,669289.3219399999,891633.82659,1107626.7114,1397114.2473,1695855.3918,1666996.2943,2208838.1086,2616156.6067,2465228.2939,2472819.3623,2456043.7661,1802211.9996,1792800.3717,2055512.2182
墨西哥,772109.71067,729335.02401,782242.91235,877476.8923700001,975383.4029100001,1052697.085,1109987.4014,900047.01574,1057800.598,1180487.2264,1201093.7871,1274443.9163,1314568.9122,1170567.082,1077830.3505,1158229.0752
澳大利亚,434990.93348,557887.7337,677588.01694,760396.5461899999,817143.6016,983820.6468600001,1055464.5767,1013172.935,1297258.8118,1543947.2047,1588196.6899,1540557.6437,1461562.6914,1246800.4964,1304419.9891,1408675.7023
新西兰,62520.38345,83910.38362000001,102445.76041,114720.86537,111612.04725999999,137318.58719000002,133277.16799000002,121340.34294,146583.83154,168461.99874,176192.88655,190784.38469,200834.0016,177208.11032,187854.02273,202044.22439000002
