country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
孟加拉国,3.87788,9.52581,8.24045,2.99935,21.41928,14.08321,14.80857,11.4347,12.1235,7.85841,4.36659,19.08903,12.74007,12.36809,13.29274,11.49153
中国大陆,9.79219,12.90143,17.77213,16.90813,20.39231,29.07013,29.44885,11.1283,19.38782,24.12779,13.04575,12.22812,9.10794,5.55574,1.14186,9.35349
印度,4.55072,17.10794,20.99107,17.13521,14.01812,26.15982,6.98438,3.76815,26.94506,12.11643,-0.58981,3.01882,6.56662,5.02207,5.80384,13.46247
印度尼西亚,21.94723,19.98964,9.39821,11.30358,27.53079,18.55505,18.04925,5.75261,31.43384,18.25931,2.78854,-0.58241,-2.37905,-3.36327,8.29435,8.93344
以色列,-7.3704,4.76375,6.73028,5.22294,8.12506,16.08107,20.82044,-3.94041,12.66957,11.97262,-1.63607,13.7829,5.83471,-3.0764,6.2925,10.61141
泰国,11.64134,13.38762,13.53739,9.49878,17.13528,18.57164,10.81615,-3.31961,21.08359,8.71092,7.21104,5.72887,-3.09155,-1.45818,2.58001,10.57598
英国,9.04411,15.28354,17.60234,5.04684,6.81996,14.35088,-5.83847,-17.54356,2.42976,7.41963,1.58297,2.87527,10.21092,-4.55754,-8.18879,-1.05334
德国,6.5927,20.50789,12.52099,1.48868,4.92614,14.57168,9.09151,-8.91952,-0.02061,9.96764,-5.68737,5.88405,3.8964,-13.26939,3.3647,5.66616
法国,8.56561,23.1575,14.9654,3.79222,5.57374,14.60451,9.83841,-7.82702,-1.76393,8.27964,-6.20614,4.74146,1.46165,-14.51381,1.10435,4.76071
俄罗斯,12.67727,24.8922,37.31695,29.28826,29.56955,31.29219,27.78669,-26.38424,24.72268,33.238,7.73013,3.93032,-10.16321,-33.69064,-6.11476,22.7906
乌克兰,11.8217,18.32323,29.23941,32.76062,25.37671,32.93488,26.47448,-35.38254,11.8964,19.9599,7.7349,4.28341,-27.1705,-31.81398,2.55397,20.13616
加拿大,2.92551,17.74146,14.65346,14.28999,12.49061,11.36643,5.74035,-11.48563,17.67208,10.8576,1.99267,1.00523,-2.35293,-13.71379,-1.64695,7.86968
美国,3.35099,4.77147,6.59337,6.73756,5.96758,4.61288,1.80589,-1.79376,3.75889,3.67215,4.21053,3.62934,4.39025,3.98105,2.67789,4.15993
阿根廷,-62.04243,27.0027,18.15926,20.8948,16.83215,23.6203,26.19082,-8.00915,26.79516,24.30804,9.67121,5.48391,-7.54356,13.72948,-13.96199,14.89097
巴西,-8.68782,9.15806,19.74643,33.22099,24.22439,26.13584,21.38273,-1.70174,32.50408,18.4404,-5.76909,0.30793,-0.6784,-26.62134,-0.52223,14.65371
墨西哥,2.03604,-5.53998,7.25426,12.17448,11.15773,7.92649,5.44224,-18.91376,17.52726,11.59828,1.7456,6.10694,3.14843,-10.9543,-7.92238,7.45931
澳大利亚,11.55087,28.25273,21.45598,12.22107,7.46282,20.39752,7.28222,-4.00692,28.03923,19.01613,2.866,-2.99957,-5.12769,-14.69401,4.62139,7.9925
新西兰,15.5451,34.21284,22.08949,11.98205,-2.7099,23.03205,-2.9431,-8.95639,20.80387,14.92536,4.5891,8.28155,5.26753,-11.76389,6.00758,7.55385
