country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
加拿大,605.28401,631.57144,629.2577200000001,635.97185,629.05941,551.62,545.6,502.3,526.7,539.0,523.2,541.9,551.3,544.6,535.9,549.5,550.3
墨西哥,400.07037,422.53598,432.96834,471.00547,482.44714000000005,428.89,431.6,433.0,442.4,465.4,473.7,472.5,459.2,463.0,468.5,476.8,462.5
美国,6293.36284,6343.45542,6473.27766,6495.00605,6412.82193,5881.4,5675.7,5263.9,5465.6,5355.7,5137.0,5260.5,5300.4,5153.7,5053.7,5014.4,5145.2
阿根廷,120.78183999999999,131.84545,142.38069,152.19986,157.89743,156.7,160.2,154.3,166.0,168.8,175.3,182.8,182.8,186.0,185.9,184.1,180.3
巴西,359.80692,356.62093,375.41587999999996,383.45286,388.79264,351.44,374.0,351.4,399.4,424.4,443.4,483.4,504.6,487.6,451.0,458.9,441.8
法国,421.62095,430.82092,435.12982999999997,433.40204000000006,426.84492,371.2,371.1,356.3,361.5,334.9,336.3,336.0,302.3,310.5,315.3,321.4,311.8
德国,905.3027300000001,910.04306,898.5008300000001,879.9807400000001,898.35058,807.23,806.5,751.0,780.6,761.0,770.3,794.6,748.4,751.9,766.6,762.6,725.7
英国,581.86279,594.90335,601.63427,603.61744,605.01102,568.44,562.8,516.1,532.6,495.0,511.8,498.4,457.3,438.4,414.7,403.2,394.1
俄罗斯,1569.31727,1605.56653,1605.93669,1594.51424,1661.47873,1528.1,1554.3,1445.3,1492.2,1555.9,1569.1,1527.7,1530.8,1489.5,1501.5,1488.4,1550.8
乌克兰,338.64812,348.06636000000003,344.43784,336.51896,342.98702000000003,315.42,317.3,271.8,286.9,303.0,296.7,285.7,244.9,192.5,213.7,185.0,186.5
以色列,63.88,65.54,66.05,67.65,67.43,70.4,71.6,68.4,71.6,73.1,78.9,69.4,66.8,69.8,69.1,70.0,69.6
澳大利亚,368.55553,361.63171,370.79227000000003,385.35025,405.11688,396.83,420.5,414.8,408.7,414.6,406.7,401.8,408.8,413.2,418.3,412.3,416.6
孟加拉,36.89665,39.00295,40.32618,42.92545,45.803979999999996,39.69,43.0,47.7,50.8,55.0,60.3,61.6,66.0,78.0,79.2,82.7,90.4
中国,4024.63371,4722.87777,5521.14595,6326.06422,6925.899509999999,7214.81,7378.5,7708.8,8135.2,8805.8,8991.5,9237.7,9223.7,9174.6,9119.0,9229.8,9428.7
印度,1007.24514,1040.90054,1116.25751,1179.9968099999999,1246.49738,1365.51,1466.9,1595.6,1661.0,1735.7,1849.2,1930.0,2083.3,2147.8,2234.2,2316.9,2479.1
印度尼西亚,321.53617,351.87349,348.94424,358.63612,371.20172,386.51,376.1,387.9,427.6,479.0,511.8,526.4,480.6,488.6,493.1,516.1,543.0
新西兰,37.13943,37.87304,37.247009999999996,38.1213,38.468379999999996,36.01,36.9,33.9,34.0,33.5,35.3,35.0,35.0,35.5,34.7,36.8,35.9
泰国,208.39815,227.02379,246.64446,256.35337000000004,258.94847999999996,236.87,237.4,236.5,248.7,253.5,270.9,273.9,280.7,289.4,295.5,299.9,302.4
