country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
澳大利亚,0,33.5,33.1,0,0,0,35.4,0,34.7,0,0,0,35.8,0,0,0
中国,42.1,0,0,41,0,0,42.9,0,43.7,42.4,42.2,39.7,39.1,38.6,0,0
泰国,41.9,0,42.5,0,41.8,39.8,40.3,39.6,39.4,37.5,39.3,37.8,37,36,36.9,36.5
印度尼西亚,31.7,31.8,32.7,33,34.2,35.7,35.1,35.1,36.4,39.7,39.6,39.9,39.4,39.7,38.6,38.1
德国,30,30.3,30.4,32.3,31.3,31.3,31.2,30.5,30.2,30.5,0,31.1,0,31.7,0,0
法国,0,31.4,30.6,29.8,29.7,32.4,33,32.7,33.7,33.3,33.1,32.5,32.3,32.7,0,0
英国,0,0,36,34.3,34.6,35.7,34.1,34.3,34.4,33.2,32.3,33.2,34,33.2,0,0
俄罗斯,37.3,40,40.3,41.3,41,42.3,41.6,39.8,39.5,39.7,40.7,40.9,39.9,37.7,0,0
乌克兰,29,28.7,28.9,29,29.8,27,26.6,25.3,24.8,24.6,24.7,24.6,24,25.5,25,0
印度,0,0,34.4,0,0,0,0,35.4,0,35.7,0,0,0,0,0,0
孟加拉,0,0,0,33.2,0,0,0,0,32.1,0,0,0,0,0,32.4,0
加拿大,0,0,33.7,0,0,33.8,0,0,33.6,0,0,34,0,0,0,0
美国,0,0,40.5,0,0,41.1,0,0,40.4,0,0,41,0,0,41.5,0
以色列,0,0,0,41.7,0,41,0,0,42.6,0,41.4,0,39.8,0,38.9,0
阿根廷,53.8,50.7,48.3,47.7,46.6,46.3,44.5,43.9,43,42.3,41.2,41,41.4,0,42.4,40.6
巴西,58.1,57.6,56.5,56.3,55.6,54.9,54,53.7,0,52.9,52.7,52.8,51.5,51.3,53.7,53.3
墨西哥,49,0,48.3,48.9,47.7,0,44.6,0,45.3,0,45.4,0,45.8,0,43.4,0
