country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
孟加拉国,100394.0,103156.0,115719.0,203628.0,258861.0,334170.0,227546.0,256536.0,364943.0,459826.0,414617.0,451144.0,529556.0,603407.0,397537.0
中国大陆,13569065.0,15951606.0,16339135.0,19472226.0,21347091.0,26791997.0,29147178.0,28211897.0,34892988.0,42304534.0,43507577.0,46493831.0,48770844.0,48723760.0,51282989.0
印度,5521562.0,6504378.0,7058321.0,9019607.0,11257560.0,16707701.0,17306931.0,15660787.0,19974606.0,30291366.0,38165885.0,42489509.0,36178734.0,28656448.0,26489180.0
印度尼西亚,6207732.0,6989116.0,9400081.0,10938196.0,14267348.0,17508297.0,27765427.0,21225528.0,30722000.0,41820099.0,38277449.0,34873531.0,36340191.0,32768551.0,32071963.0
以色列,1021645.0,1180899.0,1429963.0,1283891.0,1666680.0,2099258.0,2053885.0,1996061.0,2204350.0,2371461.0,2362794.0,2509173.0,2277241.0,1961426.0,1910611.0
泰国,8144973.0,10284336.0,12027518.0,12276566.0,15071763.0,17913288.0,23769513.0,20464395.0,25894955.0,36763926.0,31657128.0,30877359.0,30479220.0,28128680.0,27524796.0
英国,14653666.0,17190580.0,21181380.0,21581977.0,19572623.0,22874100.0,24992828.0,22002440.0,24282948.0,28818331.0,28643905.0,29309745.0,29907672.0,26942471.0,25926414.0
德国,26352185.0,32844452.0,39234355.0,42449025.0,47364224.0,57507485.0,70841241.0,63553675.0,66687110.0,80223955.0,79160372.0,83851317.0,84434447.0,72188048.0,73646641.0
法国,34836067.0,42124745.0,46659478.0,47182263.0,50378318.0,59185249.0,68020440.0,57545743.0,61663859.0,73955497.0,70233632.0,74798260.0,71462836.0,61881278.0,60171993.0
俄罗斯,1839763.0,2339450.0,2197106.0,3451314.0,4367401.0,7734804.0,7900760.0,7530631.0,5832416.0,9215159.0,14206611.0,13416080.0,15989316.0,13274339.0,13857349.0
乌克兰,2478946.0,2722655.0,3415177.0,4311071.0,4653958.0,6227244.0,10764629.0,9403660.0,7487946.0,12678691.0,17823023.0,16988232.0,16608433.0,14508902.0,11496204.0
加拿大,16475354.0,17597553.0,20573961.0,21789113.0,24744671.0,29540265.0,36965174.0,31109471.0,34702718.0,41041943.0,43978254.0,44982246.0,46929123.0,43820426.0,42623278.0
美国,55585786.0,62304939.0,63893274.0,65347708.0,71379151.0,92679457.0,120106382.0,101043288.0,119668404.0,141183460.0,144956024.0,147722002.0,152975581.0,135888978.0,137750945.0
阿根廷,11022257.0,13866854.0,15806816.0,17952304.0,19581298.0,27141775.0,35556594.0,26642972.0,32781411.0,43206677.0,40692590.0,40052847.0,35816645.0,32702748.0,34789922.0
巴西,16725795.0,20913719.0,27215102.0,30802961.0,34682467.0,42815893.0,57696847.0,52953174.0,64057392.0,81272929.0,80093176.0,83945356.0,80837949.0,72671725.0,69586641.0
墨西哥,7813320.0,8613812.0,9881812.0,10571620.0,13427621.0,14388882.0,15542251.0,15284461.0,17064207.0,20997304.0,21656035.0,23371879.0,24556837.0,25738035.0,27985375.0
澳大利亚,16061270.0,15178468.0,20950121.0,20115362.0,21190674.0,21040120.0,24207450.0,22339881.0,26770574.0,33005025.0,37650340.0,37831318.0,35278474.0,32635757.0,30629168.0
新西兰,6742314.0,7953606.0,10030872.0,10829892.0,10990784.0,13481876.0,14167724.0,13089869.0,16608670.0,15215480.0,20310596.0,22413522.0,24168100.0,19656926.0,19338841.0
