country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
新西兰,27023.878910000003,31738.16211,32124.242189999997,34783.92578,33730.04688,27557.30273,30351.48828,32594.25586,28812.56836,31341.789060000003,33555.25391,35637.04297,39096.1875,40035.45313,0.0,0.0,0.0
阿根廷,163225.0625,109729.375,97090.92188,130475.1953,152255.5938,0.0,137804.9219,97809.20313,130336.125,249011.5938,223244.5156,245276.9219,282705.0625,0.0,0.0,0.0,0.0
英国,37246.125,39023.22656,37045.41016,36446.60156,34516.91797,32730.42383,43782.51953,40744.30469,36942.15234,40638.77344,38441.47266,42897.82813,40175.87109,43982.85938,0.0,0.0,0.0
德国,22162.44922,23498.42188,32616.99023,22765.14648,21920.8457,27021.125,40471.17578,41628.67188,32535.66211,28629.179689999997,29640.95703,32918.86719,28896.58789,28423.49023,0.0,0.0,0.0
巴西,2520.34912,2605.6850600000002,2459.19751,2487.9353,2678.5647,2859.43433,3081.6835899999996,3019.5979,0.0,3672.8322799999996,3771.06055,5329.66943,6066.01758,4599.83936,0.0,0.0,0.0
美国,49998.50781,56047.046879999994,60282.98828,64428.859379999994,66962.09375,61206.578129999994,63545.99219,73972.14063,72038.6875,66802.1875,62773.234379999994,77261.71094,73127.92188,69765.625,0.0,0.0,0.0
孟加拉国,0.0,456.40835999999996,0.0,489.05199999999996,513.20166,0.0,0.0,0.0,559.25531,0.0,0.0,602.30536,0.0,0.0,0.0,0.0,0.0
印度尼西亚,817.66278,801.16156,873.1206699999999,881.60968,937.8539400000001,945.2008699999999,971.8598599999999,1002.94281,1037.0083,1113.62415,1165.10034,1238.46216,1293.80359,1379.2567099999999,0.0,0.0,0.0
以色列,41682.78125,40958.75781,42060.03516,44535.24219,47638.68359,50111.81641,45842.21875,54272.14844,49033.77344,59742.08984,47572.64844,54977.64453,56243.78516,57499.03906,0.0,0.0,0.0
泰国,996.1695599999999,1132.13916,1277.8817099999999,1278.81824,1277.13355,1289.06116,1291.39185,1288.7915,1295.77258,1243.40649,1234.90527,1346.4229699999999,1640.21606,1637.00525,0.0,0.0,0.0
俄罗斯,4340.729,4508.3388700000005,4854.52686,4692.0459,4893.178220000001,5396.37305,5906.88623,6228.36426,5909.26807,6706.04834,6890.78955,7575.899409999999,8017.385740000001,8178.712890000001,0.0,0.0,0.0
乌克兰,1790.8398399999999,1606.90271,1975.48792,1977.09033,2206.5615199999997,2167.77197,2657.7224100000003,2144.3335,2119.89722,2517.4773,2473.76514,2469.46582,3863.84253,3918.52295,0.0,0.0,0.0
加拿大,49624.88672,53960.30078,60349.33594,58596.265629999994,57066.98828,57308.859379999994,62978.84375,59548.4375,64136.0625,66579.36719,67710.875,75577.69531,72207.38281,77155.1875,0.0,0.0,0.0
澳大利亚,38565.59375,53140.80859,57107.140629999994,59152.73047,50529.60156,53656.61719,62190.87891,63654.8125,64643.93359,73882.67188,73010.03125,77976.27344,73294.17969,78798.23438,0.0,0.0,0.0
