country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
中国,40515879.47,39972847.300000004,42893679.94,45705579.72,45814207.86,47057044.480000004,45576648.370000005,47015712.03,51511621.9,53182047.83,54078095.650000006,53779194.720000006,55618943.32,54558935.730000004,53724192.410000004,52995366.31
乌克兰,1989506.0,1597968.0,1687238.0,557930.0,699330.0,896440.0,3896517.7999999993,3311379.0,4083236.0,4964993.0,1346530.0,1493710.0,1471640.0,1415010.0,1728850.0,2028080.0
以色列,156496.0,177246.0,252625.0,292662.0,92400.0,105500.0,84100.0,61000.0,60600.0,74400.0,82200.0,84600.0,79400.0,72400.0,82800.0,92300.0
俄罗斯,1166175.0,1348580.0,1394880.0,1436120.0,1517330.0,1732810.0,1932120.0,1901990.0,1912870.0,1969160.0,1877480.0,1861020.0,1934280.0,2026990.0,2273277.0,2472910.0
加拿大,2635197.0,2685508.0,2481366.0,2798402.0,4580101.0,25824439.0,18947666.0,12298361.0,9996977.0,9953150.0,4670568.52,9550000.0,10367000.0,10660000.0,10134000.0,10264000.0
印度,42685381.0,44797392.0,51084400.0,55730221.0,62301829.0,64114998.0,69461137.0,75612246.0,79880094.0,82831296.0,79317590.0,76448130.0,79506830.0,112722010.0,80041310.0,81589600.0
印度尼西亚,7799714.0,9480463.0,9677753.0,9893542.0,10150183.0,11064434.0,11775671.0,13015250.0,12585420.0,13718951.0,14709959.2,14299624.3,14932566.200000001,14763667.129999999,15285361.66,15385174.75
墨西哥,4689968.0,4966818.0,5027739.0,5416247.0,2320714.0,6864233.0,5562002.39,4810766.0,5159300.72,4738013.9399999995,7036150.99,7236990.3,6691614.68,6970205.17,8957194.29,10181826.15
孟加拉国,4855529.0,4289550.0,4405291.0,4977539.0,4847863.0,1441357.0,5209727.0,4588442.0,5098963.0,6007522.0,5315600.0,5860820.0,6408340.0,6908680.0,6652980.0,6968000.0
巴西,24898858.21,31250819.740000002,34681555.620000005,27748132.3,28973605.89,35504253.599999994,33945116.79,26327249.57,34434789.72,42083084.129999995,41938744.02,45183299.56999999,30080199.57,27660290.43,28870855.55,30051761.11
德国,2594893.0,2598369.0,2559567.0,2485044.0,2306976.0,2635171.0,1904141.0,2166995.0,2506576.0,2273908.0,2354038.0,2416417.0,2583830.0,2396137.0,2319996.0,2096816.0
新西兰,2026500.0,2208380.0,2908898.0,3574506.0,1223499.0,1186280.94,2334563.0,1727442.0,1862545.0,2649948.0,2439004.0,2312276.0,2500680.0,2573812.0,2573812.0,1013026.0
法国,3881600.0,4099800.0,3896000.0,3537000.0,3491426.0,3828000.0,2785000.0,2644430.0,3673150.0,3386960.0,9097795.0,9319004.0,9501118.0,9670122.0,9033022.0,9590928.0
泰国,1778115.2000000002,6836014.0,5773239.79,4927544.73,4956525.51,5635544.9,5822337.01,5824101.019999999,7725592.489999999,7701498.370000001,2532919.06,2801899.0500000003,2546468.92,5074464.16,2372540.2199999997,2372540.2199999997
澳大利亚,5424782.0,5523054.0,6565043.0,5861921.0,2073700.0,2066400.0,1873700.0,2959836.0,6658388.0,4940363.0,5696515.0,4347152.0,6969327.859999999,7320268.799999999,6604875.250000001,6490993.41
美国,19462900.0,20520700.0,20492900.0,19582600.0,20247000.0,19954800.0,43095086.45,40486956.0,44733327.010000005,47420306.830000006,57733751.1,59526459.0,58717154.0,57224479.0,55216947.0,55086094.0
英国,6330500.0,6058300.0,6071100.0,5636900.0,1549000.0,1541000.0,1285000.0,1451000.0,1497000.0,1447000.0,1460000.0,1545000.0,1516950.0,1492940.0,1523940.0,1483000.0
阿根廷,842378.0,1200310.0,4061235.0,3618438.0,4280112.0,4961151.0,3255117.0,2271786.0,4293506.0,4676654.0,3796503.0,3874383.0,4057320.32,3107816.3899999997,4675282.75,4736698.220000001
