country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
孟加拉国,14846.0,14846.0,14846.0,14846.0,14846.0,14846.0,14846.0,14846.0,14846.0,14846.0,14846.0,14846.0,14763.0,14763.0,14763.0,14797.7,0.0,0.0,0.0
中国大陆,956291.32,956291.27,956291.25,956291.18,956291.14,956291.08,956291.08,956291.1,956291.1,956291.1,956291.1,956291.1,956291.1,956291.1,956291.0,956291.0,0.0,0.0,0.0
印度,328726.0,328726.0,328726.0,328726.0,328726.0,328726.0,328726.0,328726.0,328726.0,328726.0,328726.0,328726.0,328725.9,328725.9,328725.9,328725.9,0.0,0.0,0.0
印度尼西亚,191093.0,191093.0,191093.0,191093.0,191093.0,191093.0,191093.0,191093.0,191093.0,191093.0,191093.0,191093.0,191093.1,191358.0,191358.0,191682.0,0.0,0.0,0.0
以色列,2207.0,2207.0,2207.0,2207.0,2207.0,2207.0,2207.0,2207.0,2207.0,2207.0,2207.0,2207.0,2207.0,2207.0,2207.0,2207.0,0.0,0.0,0.0
泰国,51312.0,51312.0,51312.0,51312.0,51312.0,51312.0,51312.0,51312.0,51312.0,51312.0,51312.0,51312.0,51312.0,51312.0,51312.0,51312.0,0.0,0.0,0.0
英国,24361.0,24361.0,24361.0,24361.0,24361.0,24361.0,24361.0,24361.0,24361.0,24361.0,24361.0,24361.0,24361.0,24361.0,24361.0,24361.0,0.0,0.0,0.0
德国,35704.0,35704.0,35705.0,35709.0,35710.0,35710.0,35711.0,35712.0,35712.7,35714.0,35717.0,35734.0,35738.0,35740.9,35758.0,35758.0,0.0,0.0,0.0
法国,54908.7,54938.7,54908.7,54908.7,54908.7,54908.7,54908.7,54908.7,54908.7,54908.7,54908.7,54908.7,54908.7,54908.7,54908.7,54908.7,0.0,0.0,0.0
俄罗斯,1709824.0,1709824.0,1709824.0,1709824.0,1709824.0,1709824.0,1709824.0,1709824.0,1709825.0,1709825.0,1709825.0,1709825.0,1709825.0,1709825.0,1709825.0,1709825.0,0.0,0.0,0.0
乌克兰,60355.0,60355.0,60355.0,60355.0,60355.0,60355.0,60355.0,60355.0,60355.0,60355.0,60355.0,60355.0,60355.0,60355.0,60355.0,60355.0,0.0,0.0,0.0
加拿大,987975.0,987975.0,987975.0,987975.0,987975.0,987975.0,987975.0,987975.0,987975.0,987975.0,987975.0,987975.0,987975.0,987975.0,987975.0,987975.0,0.0,0.0,0.0
美国,963203.0,963203.0,963203.0,963203.0,963203.0,963203.0,983151.0,983151.0,983151.0,983151.0,983151.0,983151.0,983151.0,983151.0,983151.0,983151.0,0.0,0.0,0.0
阿根廷,278040.0,278040.0,278040.0,278040.0,278040.0,278040.0,278040.0,278040.0,278040.0,278040.0,278040.0,278040.0,278040.0,278040.0,278040.0,278040.0,0.0,0.0,0.0
巴西,851577.0,851577.0,851577.0,851577.0,851577.0,851577.0,851577.0,851577.0,851577.0,851577.0,851577.0,851577.0,851577.0,851577.0,851577.0,851577.0,0.0,0.0,0.0
墨西哥,196438.0,196438.0,196438.0,196438.0,196438.0,196438.0,196438.0,196438.0,196438.0,196438.0,196438.0,196438.0,196438.0,196438.0,196437.5,196437.5,0.0,0.0,0.0
澳大利亚,774122.0,774122.0,774122.0,774122.0,774122.0,774122.0,774122.0,774122.0,774122.0,774122.0,774122.0,774122.0,774122.0,774122.0,774122.0,774122.0,0.0,0.0,0.0
新西兰,26771.0,26771.0,26771.0,26771.0,26771.0,26771.0,26771.0,26771.0,26771.0,26771.0,26771.0,26771.0,26771.0,26771.0,26771.0,26771.0,0.0,0.0,0.0
