country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
孟加拉国,8253,8228,8143,7911,7880,7816,7803,7796,7791,7678,7670,7678,7669,7732.24,7704.21,7697.33
中国,115122,112314,112206,112858,109304,109085,108717,108319,107821.5,107121.5,106521.1,106318.1,106297.7,119594.7,119492,119491.1
印度,160432,159799,159681,159444,158662,158022,157995,157924,157009,156979,156546,156442,156463,156463,156463,156463
印度尼西亚,20081,22406,24666,22946,21500,22000,22700,23600,23600,23500,23500,23500,23500,23800,25200,26300
以色列,349,334,311,311,303,305.8,299.7,304.3,293.6,295.7,294.8,285.8,300.5,297.2,295,387
泰国,15389,15200,15200,15200,15200,15200,15250,15695,15760,15760,16560,16810,16810,16810,16810,16810
英国,5786,5659,5819,5729,6094,6085,6005,6049,5970,6062,6212,6265.4,6233.5,6011,6026.01,6082.88
德国,11791,11827,11898,11904,11866,11877,11932,11945,11846,11875,11834,11876,11869,11846,11762,11772
法国,18371.5,18354.8,18368,18377.6,18339,18286.2,18268.7,18256.2,18300.7,18274.4,18281.7,18305.7,18333.1,18478.7,18355.92,18464.37
俄罗斯,123465,122559,122146,121781,121574,121574,121649,121649,121649,121649,121649,121649,121649,121649,121649,121649
乌克兰,32544,32480,32482,32452,32446,32434,32474,32478,32477,32499,32518,32777,32770,32775,32776,32774
加拿大,40615,40282,39949,39616,39283,38884,38485,38086,37687,37285,37534,37783,38032,38281,38530,38178.1
美国,172977,170731.3,168515.9,166270.6,164125.3,161880,160525.5,159171,157816.5,156462,155107.5,155653.4,156199.3,156745.1,157291,157836.8
阿根廷,27862,28683.5,30775,32897.5,34854,36433,35261,34292,37981,38781,39754,39699,39200,39200,39200,39200
巴西,46601.9,47179,47756,48333,48914,49499,50084,50669,51254,51839,52425,53010,53595,54180,54765,55384.06
墨西哥,23184,23652,23214,23296,23363,23519,22945,22200,21527,21209,20106,19705,19117,20611,22167,23905
澳大利亚,23735,23240,25743,26402,24228,23125,23994.1,27141.6,25450.2,31694.9,31637.4,31220.8,31960.3,31090.7,30057,30752
新西兰,476,415,420,425,399,431,453,471,499,471,509,547,590,598,570,570
