country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
孟加拉国,7085.1645,7480.201199999998,7863.7052,7797.8655,8957.2007,10150.1678,11681.258299999998,12618.5371,14226.8292,15139.3573,15162.002200000004,16964.6443,21941.2993,19804.644387627486,20907.85476607969,22011.065144531432,23114.275522983637,24217.48590143584,25320.69627988804,26423.906658340245,27527.11703679245,28630.327415244654,29733.53779369685,30836.748172149062,31939.9585506008,33043.168929053005
中国,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
印度,88296.5717,104418.57,106011.19539999998,122705.2786,134520.0673,174472.62849999993,186552.3913,193058.97500000003,251793.5274,280547.6554,274310.7958,283590.2904,287207.9215,325544.4759462774,344715.82040178776,363887.16485729814,383058.5093128085,402229.8537683189,421401.19822382927,440572.5426793471,459743.8871348575,478915.2315903679,498086.57604587823,517257.9205013886,536429.264956899,555600.6094124094
印度尼西亚,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
以色列,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
泰国,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
英国,11682.7449,14350.032,17091.435100000002,12985.4939,13474.1116,15579.1145,16613.163,11683.7123,14533.8384,14506.341300000002,14439.6864,16164.823000000002,16800.2341,15372.3747,15880.01203454315,16042.326922958313,16204.641811373527,16366.956699788689,16529.271588203905,16691.586476619064,16853.901365034282,17016.216253449442,17178.53114186466,17340.84603027982,17503.160918695037,17665.475807110197
德国,15745.1167,17358.2471,23219.2857,17037.258100000006,18302.9139,21501.7707,26278.9872,19573.7028,19707.4359,23799.0894,21482.895400000005,28387.0933,23363.7812,25638.16436087689,26270.45609062165,26902.747820366167,27535.039550110934,28167.331279855454,28799.62300960021,29431.914739344968,30064.206469089488,30696.498198834248,31328.789928578768,31961.081658323532,32593.373388068052,33225.665117812816
法国,27010.4513,31195.1853,35288.3475,33614.3859,31462.4455,38062.6508,39711.4461,32201.4501,38699.68259999999,42774.4148,40229.0343,37097.071499999984,39841.8142,42181.9463585983,43074.000454883084,43966.05455116765,44858.10864745244,45750.162743737215,46642.21684002201,47534.2709363068,48426.3250325916,49318.379128876135,50210.43322516093,51102.48732144573,51994.54141773051,52886.595514015295
俄罗斯,18303.9158,20265.8508,24942.9598,28450.2699,33658.2473,43587.30069999999,57216.72039999999,45494.1304,45343.90930000001,62758.7835,62095.0218,67562.5937,72396.58270559274,77000.16333465838,81603.743963724,86207.32459278964,90810.90522185527,95414.4858509209,100018.06647998652,104621.64710905217,109225.2277381178,113828.80836718346,118432.38899624904,123035.96962531473,127639.55025438033,132243.13088344596
乌克兰,5515.7188,5437.2719,6990.2259,7888.120199999998,8069.6902,9313.328000000001,12255.2051,8360.347,10420.941,13767.0904,14136.3003,14296.440117243908,15131.388639814684,15966.337162385462,16801.285684956238,17636.234207527246,18471.182730098026,19306.131252668798,20141.079775239574,20976.02829781035,21810.976820381118,22645.925342951894,23480.87386552268,24315.822388093453,25150.770910664232,25985.719433235005
加拿大,9746.6954,11452.4103,13765.7118,12625.917,12462.1782,13844.159299999998,18443.5448,13410.8937,15143.237800000004,21676.9426,22918.6028,21505.021178089548,22581.762682013214,23658.504185937345,24735.24568986148,25811.98719378561,26888.728697709746,27965.470201633405,29042.211705557533,30118.95320948167,31195.6947134058,32272.43621732993,33349.177721253596,34425.91922517773,35502.66072910186,36579.40223302598
美国,76351.8797,95771.16449999998,120775.5259,108035.3721,102207.972,115834.61960000002,128605.7458,112003.4917,131841.79009999998,168005.76079999993,153418.5478,188655.8811,168925.6184,181794.30355544575,189408.50769523717,197022.7118350268,204636.91597481817,212251.12011460774,219865.32425439922,227479.5283941888,235093.73253398016,242707.9366737697,250322.14081356121,257936.3449533507,265550.5490931421,273164.7532329317
阿根廷,9117.4802,11732.602,13077.0913,15034.3033,15130.221699999998,20582.2488,25328.973000000005,16712.0496,29168.2312,36020.59360000001,32538.7865,35463.11619089544,37972.99038635008,40482.86458180379,42992.73877725843,45502.612972713076,48012.48716816679,50522.361363621436,53032.23555907606,55542.10975452978,58051.983949984424,60561.858145439066,63071.73234089278,65581.60653634742,68091.48073180113,70601.35492725577
