country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
孟加拉国,47194.75539,51690.43736,55949.96247000001,57628.09748,69971.61988,79825.87264,91646.9401,102126.4965,114507.7977,123506.2925,128899.3079,153504.9348,173061.5697,194465.9811,220315.8321,245633.4889,227737.4517,240486.4947,253235.5377,265984.5806,278733.6236,291482.6665,304231.7095,316980.7524,329729.7954,342478.8383
中国,1470557.267,1660280.189,1955347.28,2285959.985,2752120.112,3552164.91,4598236.637,5109942.029,6100648.265,7572599.6839999985,8560502.35,9607290.452,10482316.41,11064686.52,11191029.89,12237781.8,13041587.76,13839116.73,14636645.7,15434174.68,16231703.65,17029232.62,17826761.6,18624290.57,19421819.54,20219348.51
印度,496244.0472,581141.1899,703128.9583,823611.578,939066.4174,1184724.488,1267470.121,1315230.23,1669619.772,1871918.011,1860877.236,1917053.696,2042939.29,2145537.035,2270060.4680000003,2575666.611,2633794.607,2769650.67,2905506.733,3041362.796,3177218.859,3313074.922,3448930.985,3584787.048,3720643.111,3856499.174
印度尼西亚,208325.0026,249968.4132,273460.9768,304371.8518,388167.8349,460192.5501,543253.8728,574505.1357,755094.1576,892969.1045,917869.9134,912524.1367,890814.7555,860854.2327,932256.4951,1015539.02,1135084.024,1193769.148,1252454.273,1311139.397,1369824.522,1428509.646,1487194.771,1545879.895,1604565.02,1663250.144
以色列,121041.7706,126807.8998,135342.4271,142411.2775,153982.2763,178744.2684,215959.6128,207449.909,233732.9278,261716.8824,257435.0034,292917.0124,310007.8809,300470.7917,319377.9249,353268.4133,361180.9253,377123.7821,393066.6389,409009.4957,424952.3525,440895.2093,456838.0661,472780.9229,488723.7797,504666.6365
泰国,134300.9034,152280.5924,172895.41199999998,189318.3578,221758.5851,262942.7984,291383.0756,281710.3083,341104.9557,370818.342,397558.2009,420333.7893,407338.9437,401399.2271,411755.3593,455302.5347,494821.6941,516916.8833,539012.0724,561107.2615,583202.4506,605297.6397,627392.8289,649488.0179999999,671583.2071,693678.3962
英国,1772953.584,2043923.605,2403702.076,2525013.106,2697217.963,3084292.494,2904216.944,2394713.927,2452899.665,2634895.693,2676605.418,2753565.034,3034729.456,2896420.586,2659238.932,2631228.01,2953935.8010000004,2995828.127,3037720.452,3079612.778,3121505.104,3163397.43,3205289.756,3247182.082,3289074.4080000008,3330966.734
德国,2079230.657,2505637.01,2819367.616000001,2861339.104,3002292.569,3439776.907,3752504.608,3417799.118,3417094.563,3757698.281,3543983.909,3752513.503,3898726.504,3381389.339,3495162.856,3693204.332,4030852.844,4116705.231,4202557.618,4288410.005,4374262.392,4460114.779,4545967.166,4631819.553,4717671.94,4803524.327
法国,1494354.628,1840409.841,2115834.435,2196071.482,2318474.883,2657076.868,2918490.999,2690060.238,2642609.549,2861408.17,2683825.225,2811077.7260000003,2852165.7610000004,2438207.896,2465134.297,2582492.292,2938702.205,2993492.948000001,3048283.69,3103074.433,3157865.175,3212655.918,3267446.66,3322237.403,3377028.145,3431818.8880000007
俄罗斯,347948.3603,434560.3666,596725.0329999999,771495.4233,999623.1336,1312427.086,1677107.1609999996,1234615.15,1539845.082,2051658.84,2210254.7290000003,2297124.891,2063663.224,1368401.871,1284727.39,1577524.424,2168160.313,2263181.358,2358202.403,2453223.449,2548244.494,2643265.539,2738286.585,2833307.63,2928328.675,3023349.721000001
乌克兰,43956.16361,52010.3525,67217.87102,89238.86512,111884.7525,148733.8614,188110.3758,121552.1482,136012.4803,163160.4328,175780.7338,183310.1464,133503.8672,91030.96876,93355.86898,112154.1586,154383.5197,158494.7202,162605.9207,166717.1212,170828.3218,174939.5223,179050.7228,183161.9233,187273.1238,191384.3243
加拿大,757941.824,892411.7716,1023180.929,1169393.363,1315457.716,1464978.3269999996,1549073.137,1371152.3369999998,1613463.4519999996,1788646.896,1824288.757,1842627.035,1799271.408,1552523.0769999996,1526953.792,1647120.175,1940232.177,1998358.874,2056485.571,2114612.269,2172738.966,2230865.663,2288992.36,2347119.058,2405245.755,2463372.452
美国,10936418.0,11458246.0,12213730.0,13036637.0,13814609.0,14451860.0,14712845.0,14448932.0,14992052.0,15542582.0,16197007.0,16784851.0,17521747.0,18219297.0,18707189.0,19485394.0,19675810.93,20207351.95,20738892.98,21270434.0,21801975.02,22333516.04,22865057.06,23396598.08,23928139.11,24459680.13
阿根廷,110583.5903,140444.1397,165947.7504,200622.2059,234391.2342,289755.1427,365644.3766,336359.3896,426487.4349,530158.1767,581430.9044,613316.0274,567050.1453,644903.2005,554861.8817,637486.2147,731863.2836,770910.1272,809956.9707,849003.8143,888050.6578,927097.5014,966144.3449,1005191.188,1044238.032,1083284.876
巴西,512030.1323,558922.1468,669289.3219,891633.8266,1107626.711,1397114.247,1695855.392,1666996.294,2208838.109,2616156.607,2465228.294,2472819.362,2456043.766,1802212.0,1792800.372,2055512.218,2697244.437,2820677.026,2944109.616000001,3067542.205,3190974.795,3314407.385,3437839.974,3561272.564,3684705.153,3808137.743
墨西哥,772109.7107,729335.0240000002,782242.9123,877476.8924,975383.4029,1052697.085,1109987.4009999998,900047.0157,1057800.598,1180487.226,1201093.787,1274443.916,1314568.912,1170567.082,1077830.351,1158229.075,1311297.313,1343256.553,1375215.793,1407175.033,1439134.273,1471093.513,1503052.753,1535011.993,1566971.233,1598930.4719999996
澳大利亚,434990.9335,557887.7337,677588.0169,760396.5462,817143.6016,983820.6469,1055464.577,1013172.935,1297258.812,1543947.205,1588196.69,1540557.644,1461562.691,1246800.496,1304419.989,1408675.7019999996,1689709.4630000002,1758411.427,1827113.39,1895815.354,1964517.318,2033219.282,2101921.246,2170623.2090000003,2239325.173,2308027.137
新西兰,62520.38345,83910.38362000001,102445.7604,114720.8654,111612.0473,137318.5872,133277.168,121340.3429,146583.8315,168461.9987,176192.8866,190784.3847,200834.0016,177208.1103,187854.0227,202044.2244,218830.624,227537.8372,236245.0503,244952.2634,253659.4766,262366.6897,271073.9028,279781.11600000004,288488.3291,297195.5422
