country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
孟加拉国,36.89665,39.00295,40.32618,42.92545,45.80398,39.69,43.0,47.7,50.8,55.0,60.3,61.6,66.0,78.0,79.2,82.7,90.4,85.79095132,89.05304911,92.31514691,95.5772447,98.8393425,102.1014403,105.3635381,108.62563590000002,111.8877337
中国,4024.63371,4722.87777,5521.14595,6326.06422,6925.899509999998,7214.81,7378.5,7708.8,8135.2,8805.8,8991.5,9237.7,9223.7,9174.6,9119.0,9229.8,9428.7,10587.72658,10906.82868,11225.93078,11545.03287,11864.13497,12183.23706,12502.33916,12821.44126,13140.54335
印度,1007.24514,1040.90054,1116.25751,1179.99681,1246.49738,1365.51,1466.9,1595.6,1661.0,1735.7,1849.2,1930.0,2083.3,2147.8,2234.2,2316.9,2479.1,2516.511156,2610.135877,2703.760598,2797.385318,2891.010039,2984.634760000001,3078.259481,3171.8842010000008,3265.508922
印度尼西亚,321.53617,351.87349,348.94424,358.63612,371.20172,386.51,376.1,387.9,427.6,479.0,511.8,526.4,480.6,488.6,493.1,516.1,543.0,558.2253955,572.087683,585.9499705000002,599.8122579,613.6745453999998,627.5368329,641.3991204,655.2614078,669.1236953
以色列,63.88,65.54,66.05,67.65,67.43,70.4,71.6,68.4,71.6,73.1,78.9,69.4,66.8,69.8,69.1,70.0,69.6,72.01051437,72.30416629,72.59781822,72.89147014,73.18512206,73.47877399,73.77242591,74.06607783,74.35972976
泰国,208.39815,227.02379,246.64446,256.35337000000004,258.94848,236.87,237.4,236.5,248.7,253.5,270.9,273.9,280.7,289.4,295.5,299.9,302.4,304.3539558,309.2623153,314.1706747,319.0790342,323.9873937,328.8957531000001,333.8041126,338.7124721,343.6208315
英国,581.86279,594.90335,601.63427,603.61744,605.01102,568.44,562.8,516.1,532.6,495.0,511.8,498.4,457.3,438.4,414.7,403.2,394.1,390.3794335,376.3701622,362.360891,348.3516197,334.3423485,320.3330772,306.323806,292.3145347,278.3052635
德国,905.30273,910.04306,898.5008300000002,879.9807400000002,898.35058,807.23,806.5,751.0,780.6,761.0,770.3,794.6,748.4,751.9,766.6,762.6,725.7,705.4881672,694.2116372,682.9351071000002,671.6585771000001,660.382047,649.105517,637.8289869,626.5524569,615.2759268
法国,421.62095,430.82092,435.12983,433.40204000000006,426.84492,371.2,371.1,356.3,361.5,334.9,336.3,336.0,302.3,310.5,315.3,321.4,311.8,282.3014748,273.299556,264.2976371,255.2957182,246.2937994,237.2918805,228.2899616,219.2880427,210.2861239
俄罗斯,1569.31727,1605.56653,1605.93669,1594.51424,1661.47873,1528.1,1554.3,1445.3,1492.2,1555.9,1569.1,1527.7,1530.8,1489.5,1501.5,1488.4,1550.8,1490.089539,1483.952994,1477.81645,1471.679906,1465.543361,1459.406817,1453.270272,1447.133728,1440.997183
乌克兰,338.64812,348.0663600000001,344.43784,336.51896,342.9870200000001,315.42,317.3,271.8,286.9,303.0,296.7,285.7,244.9,192.5,213.7,185.0,186.5,186.8866779,176.21344409999998,165.5402103,154.8669765,144.1937426,133.5205088,122.847275,112.1740412,101.5008073
加拿大,605.28401,631.57144,629.2577200000002,635.97185,629.05941,551.62,545.6,502.3,526.7,539.0,523.2,541.9,551.3,544.6,535.9,549.5,550.3,511.80506860000014,505.97253089999987,500.1399933,494.3074556,488.4749179,482.6423802,476.8098426,470.9773049,465.1447672000001
美国,6293.36284,6343.45542,6473.27766,6495.00605,6412.82193,5881.4,5675.7,5263.9,5465.6,5355.7,5137.0,5260.5,5300.4,5153.7,5053.7,5014.4,5145.2,4726.2427240000015,4625.7264,4525.2100759999985,4424.693752,4324.177428,4223.661104,4123.14478,4022.628456,3922.112132
阿根廷,120.78184,131.84545,142.38069,152.19986,157.89743,156.7,160.2,154.3,166.0,168.8,175.3,182.8,182.8,186.0,185.9,184.1,180.3,196.9882652,200.6516328,204.3150004,207.9783679,211.6417355,215.3051031,218.9684707,222.6318382,226.2952058
巴西,359.80692,356.62093,375.41588,383.45286,388.79264,351.44,374.0,351.4,399.4,424.4,443.4,483.4,504.6,487.6,451.0,458.9,441.8,489.2248368,497.5999545,505.9750721,514.3501897,522.7253072999998,531.1004249,539.4755426,547.8506602000001,556.2257778
墨西哥,400.07037,422.53598,432.96834,471.00547,482.4471400000001,428.89,431.6,433.0,442.4,465.4,473.7,472.5,459.2,463.0,468.5,476.8,462.5,478.770633,481.7286948,484.6867567,487.6448185,490.6028804,493.5609422,496.519004,499.4770659,502.4351277
澳大利亚,368.55553,361.63171,370.79227,385.35025,405.11688,396.83,420.5,414.8,408.7,414.6,406.7,401.8,408.8,413.2,418.3,412.3,416.6,427.147995,430.0038073,432.8596195,435.7154318,438.571244,441.4270563,444.2828685,447.1386808,449.994493
新西兰,37.13943,37.87304,37.24701,38.1213,38.46838,36.01,36.9,33.9,34.0,33.5,35.3,35.0,35.0,35.5,34.7,36.8,35.9,34.49938882,34.33684274,34.17429666,34.01175058,33.84920451,33.68665843,33.52411235,33.36156627,33.19902019
