country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
孟加拉国,32.96818181,32.89545454,32.82272727,33.2,32.88181818,32.61272727,32.39272727,32.22181818,32.1,32.02727273,32.00363636,32.02909091,32.10363636,32.22727273,32.4,31.87727272,31.80454545,31.73181818,31.6590909,31.58636363,31.51363636,31.44090909,31.36818181,31.29545454,31.22272727,31.15
中国,42.1,41.35797987,40.99131320000001,41.0,41.38404027,42.10141386,42.9,43.73777854,43.7,42.4,42.2,39.7,39.1,38.6,40.48353873,40.34541508,40.20729142,40.06916777,39.93104412,39.79292047,39.65479682,39.51667316,39.37854951,39.24042586,39.10230221,38.96417855
印度,34.07857142,34.26428571,34.4,34.62857143,34.84285714,35.04285714,35.22857143,35.4,35.55714286,35.7,35.93571428,36.12142857,36.30714285,36.49285714,36.67857142,36.86428571,37.05,37.23571428,37.42142857,37.60714285,37.79285714,37.97857142,38.16428571,38.35,38.53571428,38.72142857
印度尼西亚,31.7,31.8,32.7,33.0,34.2,35.7,35.1,35.1,36.4,39.7,39.6,39.9,39.4,39.7,38.6,38.1,41.2125,41.79117647,42.36985294,42.94852941,43.52720588,44.10588235,44.68455882,45.26323529,45.84191176,46.42058823
以色列,42.90219479,42.68077598,42.45935717,41.7,41.07988086,41.0,41.46035743,42.30519903,42.6,42.18900623,41.4,40.56076361,39.8,39.24641213,38.9,39.580912700000006,39.35949389,39.13807509,38.91665628,38.69523747,38.47381867,38.25239986,38.03098106,37.80956225,37.58814344,37.36672464
泰国,41.9,42.2501912,42.5,42.64942641,41.8,39.8,40.3,39.6,39.4,37.5,39.3,37.8,37.0,36.0,36.9,36.5,35.55000956,35.09118996,34.63237037,34.17355078,33.71473118,33.25591159,32.797092,32.3382724,31.87945281,31.42063322
英国,35.75780885,35.53787878,36.0,34.3,34.6,35.7,34.1,34.3,34.4,33.2,32.3,33.2,34.0,33.2,32.67878787,32.4588578,32.23892773,32.01899766,31.79906759,31.57913752,31.35920745,31.13927738,30.91934731,30.69941725,30.47948718,30.25955711
德国,30.0,30.3,30.4,32.3,31.3,31.3,31.2,30.5,30.2,30.5,30.81775061,31.1,31.39408313,31.7,31.29302936,31.34151105,31.38999274,31.43847443,31.48695612,31.53543781,31.5839195,31.63240119,31.68088288,31.72936457,31.77784626,31.82632795
法国,30.56153846,31.4,30.6,29.8,29.7,32.4,33.0,32.7,33.7,33.3,33.1,32.5,32.3,32.7,33.62307692,33.84175824,34.06043956,34.27912087,34.49780219,34.71648351,34.93516483,35.15384615,35.37252747,35.59120879,35.80989011,36.02857142
俄罗斯,37.3,40.0,40.3,41.3,41.0,42.3,41.6,39.8,39.5,39.7,40.7,40.9,39.9,37.7,39.95494498,39.92989003,39.90483507,39.87978012,39.85472517,39.82967021,39.80461526,39.77956029999999,39.75450535,39.72945039,39.70439544,39.67934048
乌克兰,29.0,28.7,28.9,29.0,29.8,27.0,26.6,25.3,24.8,24.6,24.7,24.6,24.0,25.5,25.0,23.32285714,22.92571428,22.52857142,22.13142857,21.73428571,21.33714285,20.94,20.54285714,20.14571428,19.74857142,19.35142857
加拿大,33.7040404,33.71111111,33.7,33.78333333,33.81666667,33.8,33.73333333,33.63333333,33.6,33.65,33.78333333,34.0,33.78888888,33.79595959,33.8030303,33.81010101,33.81717171,33.82424242,33.83131313,33.83838383,33.84545454,33.85252525,33.85959596,33.86666666,33.87373737,33.88080808
美国,40.5469911,40.59175824,40.5,40.8984127,41.0984127,41.1,40.90317460000001,40.56190476,40.4,40.47142857,40.74126984,41.0,41.21269841,41.37936508,41.5,41.21849816,41.2632653,41.30803244,41.35279958,41.39756671,41.44233385,41.48710099,41.53186813,41.57663527,41.6214024,41.66616954
阿根廷,53.8,50.7,48.3,47.7,46.6,46.3,44.5,43.9,43.0,42.3,41.2,41.0,41.4,42.26777385,42.4,40.6,38.48355497,37.7465631,37.00957123,36.27257936,35.53558749,34.79859562,34.06160375,33.32461188,32.58762001,31.85062814
巴西,58.1,57.6,56.5,56.3,55.6,54.9,54.0,53.7,53.31940492,52.9,52.7,52.8,51.5,51.3,53.7,53.3,51.04645536,50.66795449,50.28945361,49.91095274,49.53245186,49.15395099,48.77545011,48.39694924,48.01844836,47.63994749
墨西哥,49.0,48.19112493,48.3,48.9,47.7,45.88513309,44.6,44.72057509,45.3,45.3914164,45.4,45.73092652,45.8,45.02302449,43.4,43.63503251,43.3115599,42.9880873,42.66461469,42.34114208,42.01766947,41.69419687,41.37072426,41.04725165,40.72377905,40.40030644
澳大利亚,33.34168714,33.5,33.1,33.33324324,34.19972973,35.09135135,35.4,35.12567568,34.7,34.55459459,34.68945946,35.10459459,35.8,35.75808763,35.94396459,36.12984155,36.31571851,36.50159547,36.68747243,36.87334939,37.05922635,37.24510332,37.43098028,37.61685724,37.8027342,37.98861116
新西兰,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
