country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
孟加拉国,100394,103156,115719,203628,258861,334170,227546,256536,364943,459826,414617,451144,529556,603407,397537,578452.1396,610583.3237,642714.5078,674845.6919,706976.8759999998,739108.0601,771239.2442,803370.4283,835501.6124,867632.7966,899763.9807
中国,13569065,15951606,16339135,19472226,21347091,26791997,29147178,28211897,34892988,42304534,43507577,46493831,48770844,48723760,51282989,56286000.75,59265028.19,62244055.64,65223083.08,68202110.53,71181137.97,74160165.41,77139192.86,80118220.3,83097247.75,86076275.19
印度,5521562,6504378,7058321,9019607,11257560,16707701,17306931,15660787,19974606,30291366,38165885,42489509,36178734,28656448,26489180,39887237.26,42279120.46,44671003.66,47062886.86,49454770.05,51846653.25,54238536.45,56630419.65,59022302.85,61414186.05,63806069.25
印度尼西亚,6207732,6989116,9400081,10938196,14267348,17508297,27765427,21225528,30722000,41820099,38277449,34873531,36340191,32768551,32071963,43786323.3,46249818.07,48713312.85,51176807.62,53640302.4,56103797.17,58567291.95,61030786.73,63494281.5,65957776.28,68421271.05
以色列,1021645,1180899,1429963,1283891,1666680,2099258,2053885,1996061,2204350,2371461,2362794,2509173,2277241,1961426,1910611,2540812.557,2622336.309,2703860.062,2785383.815,2866907.568,2948431.3210000005,3029955.074,3111478.827,3193002.58,3274526.333,3356050.086
泰国,8144973,10284336,12027518,12276566,15071763,17913288,23769513,20464395,25894955,36763926,31657128,30877359,30479220,28128680,27524796,36341491.97,38123525.0,39905558.03,41687591.06,43469624.09,45251657.12,47033690.15,48815723.18,50597756.21,52379789.24,54161822.27
英国,14653666,17190580,21181380,21581977,19572623,22874100,24992828,22002440,24282948,28818331,28643905,29309745,29907672,26942471,25926414,31011753.0,31905879.79,32800006.58,33694133.37,34588260.17,35482386.96,36376513.75,37270640.54,38164767.33,39058894.12,39953020.92
德国,26352185,32844452,39234355,42449025,47364224,57507485,70841241,63553675,66687110,80223955,79160372,83851317,84434447,72188048,73646641,92653038.77,96565180.65,100477322.5,104389464.4,108301606.3,112213748.1,116125890.0,120038031.9,123950173.8,127862315.6,131774457.5
法国,34836067,42124745,46659478,47182263,50378318,59185249,68020440,57545743,61663859,73955497,70233632,74798260,71462836,61881278,60171993,76191063.96,78380783.13,80570502.31,82760221.49,84949940.67,87139659.85,89329379.02,91519098.2,93708817.38,95898536.56,98088255.74
俄罗斯,1839763,2339450,2197106,3451314,4367401,7734804,7900760,7530631,5832416,9215159,14206611,13416080,15989316,13274339,13857349,16466240.62,17498249.88,18530259.13,19562268.38,20594277.64,21626286.89,22658296.14,23690305.39,24722314.65,25754323.9,26786333.15
乌克兰,2478946,2722655,3415177,4311071,4653958,6227244,10764629,9403660,7487946,12678691,17823023,16988232,16608433,14508902,11496204,17999249.06,19069415.44,20139581.81,21209748.19,22279914.56,23350080.94,24420247.31,25490413.69,26560580.06,27630746.44,28700912.81
加拿大,16475354,17597553,20573961,21789113,24744671,29540265,36965174,31109471,34702718,41041943,43978254,44982246,46929123,43820426,42623278,51506696.33,53804420.38,56102144.44,58399868.5,60697592.55,62995316.61,65293040.66,67590764.72,69888488.77,72186212.83,74483936.89
美国,55585786,62304939,63893274,65347708,71379151,92679457,120106382,101043288,119668404,141183460,144956024,147722002,152975581,135888978,137750945,167752444.7,175284122.1,182815799.5,190347476.9,197879154.4,205410831.8,212942509.2,220474186.7,228005864.1,235537541.5,243069218.9
阿根廷,11022257,13866854,15806816,17952304,19581298,27141775,35556594,26642972,32781411,43206677,40692590,40052847,35816645,32702748,34789922,44522687.36,46524575.7,48526464.03,50528352.37,52530240.71,54532129.04,56534017.38,58535905.72,60537794.05,62539682.39,64541570.73
巴西,16725795,20913719,27215102,30802961,34682467,42815893,57696847,52953174,64057392,81272929,80093176,83945356,80837949,72671725,69586641,93868485.84,98799787.19,103731088.5,108662389.9,113593691.2,118524992.6,123456293.9,128387595.3,133318896.6,138250198.0,143181499.3
墨西哥,7813320,8613812,9881812,10571620,13427621,14388882,15542251,15284461,17064207,20997304,21656035,23371879,24556837,25738035,27985375,28781942.42,30238906.47,31695870.51,33152834.55,34609798.6,36066762.64,37523726.69,38980690.73,40437654.78,41894618.82,43351582.86
澳大利亚,16061270,15178468,20950121,20115362,21190674,21040120,24207450,22339881,26770574,33005025,37650340,37831318,35278474,32635757,30629168,38471215.32,39989417.22,41507619.12,43025821.02,44544022.91,46062224.81,47580426.71,49098628.61,50616830.51,52135032.41,53653234.31
新西兰,6742314,7953606,10030872,10829892,10990784,13481876,14167724,13089869,16608670,15215480,20310596,22413522,24168100,19656926,19338841,23836618.8,24941203.91,26045789.02,27150374.13,28254959.24,29359544.35,30464129.46,31568714.57,32673299.68,33777884.79,34882469.9
