country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
孟加拉国,448.95908435206735,456.40836,469.5308254078016,489.052,513.20166,531.3584627482269,541.752184468085,549.3840564539006,559.2553099999999,571.3659451063829,585.7159617730496,602.30536,618.1918476401918,632.2945779141992,646.3973081882102,660.5000384622217,674.6027687362292,688.7054990102406,702.8082292842519,716.9109595582631,731.0136898322708,745.116420106282,759.2191503802933,773.3218806543048,787.4246109283122,801.5273412023233
中国,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
印度,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
印度尼西亚,817.66278,801.16156,873.1206699999997,881.60968,937.8539400000001,945.2008699999999,971.85986,1002.94281,1037.0082999999997,1113.62415,1165.10034,1238.46216,1293.80359,1379.25671,1348.8770312073466,1391.025707559078,1433.174383910824,1475.3230602625556,1517.471736614301,1559.6204129660327,1601.7690893177787,1643.9177656695251,1686.066442021256,1728.215118373002,1770.3637947247337,1812.5124710764794
以色列,41682.78125,40958.75781,42060.03516,44535.24219,47638.68359,50111.81641000001,45842.21875,54272.14844,49033.77344,59742.08984000001,47572.64844,54977.64453000001,56243.78516,57499.03906,58951.4213311146,60219.509279358674,61487.597227602724,62755.6851758468,64023.77312409086,65291.86107233492,66559.94902057853,67828.03696882259,69096.12491706666,70364.21286531072,71632.30081355479,72900.38876179885
泰国,996.16956,1132.13916,1277.88171,1278.8182399999996,1277.13355,1289.0611600000002,1291.39185,1288.7915,1295.7725800000005,1243.40649,1234.90527,1346.42297,1640.21606,1637.00525,1534.1360804385183,1565.0769354495715,1596.0177904606244,1626.9586454716846,1657.8995004827375,1688.8403554937906,1719.781210504843,1750.7220655159035,1781.6629205269564,1812.6037755380094,1843.5446305490696,1874.4854855601225
英国,37246.125,39023.22656,37045.41016,36446.60156000002,34516.91797,32730.42383,43782.51953,40744.30469000001,36942.15234,40638.77344,38441.472660000014,42897.82813,40175.871090000015,43982.85938,42314.7477919847,42769.909532439895,43225.07127289509,43680.23301335029,44135.39475380548,44590.556494260665,45045.718234715976,45500.87997517119,45956.041715626365,46411.203456081574,46866.36519653676,47321.52693699196
德国,22162.44922,23498.42188,32616.99023,22765.14648,21920.8457,27021.125,40471.17578,41628.67188,32535.66211,28629.179690000004,29640.957030000005,32918.86719,28896.58789000001,28423.49023,33512.502191294334,34046.26851175458,34580.03483221459,35113.80115267483,35647.56747313484,36181.33379359509,36715.10011405509,37248.86643451534,37782.63275497536,38316.399075435584,38850.16539589584,39383.93171635584
法国,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
俄罗斯,4340.729,4508.338870000001,4854.52686,4692.0459,4893.178220000002,5396.37305,5906.88623,6228.36426,5909.26807,6706.048340000001,6890.789550000001,7575.899409999999,8017.385740000002,8178.7128900000025,8303.215453320998,8609.372310049483,8915.529166778084,9221.686023506569,9527.842880235054,9833.999736963538,10140.156593692023,10446.313450420625,10752.47030714911,11058.627163877596,11364.78402060608,11670.940877334562
乌克兰,1790.83984,1606.9027099999994,1975.48792,1977.0903300000007,2206.5615199999997,2167.77197,2657.7224100000008,2144.3335,2119.89722,2517.4773000000005,2473.76514,2469.465820000001,3863.84253,3918.52295,3431.235867645126,3565.9751151411906,3700.714362637198,3835.453610133263,3970.192857629271,4104.932105125277,4239.6713526213425,4374.4106001173495,4509.149847613415,4643.889095109422,4778.628342605429,4913.367590101494
加拿大,49624.88672,53960.30078,60349.33594,58596.26563000001,57066.98828000001,57308.85938,62978.84375000001,59548.4375,64136.0625,66579.36719,67710.875,75577.69531,72207.38281,77155.1875,76640.95596298063,78452.12639337777,80263.29682377492,82074.46725417206,83885.6376845697,85696.80811496683,87507.97854536398,89319.14897576113,91130.31940615828,92941.4898365559,94752.66026695304,96563.83069735019
美国,49998.50781,56047.04688,60282.98828,64428.85938000001,66962.09375,61206.578129999994,63545.99218999999,73972.14063000001,72038.6875,66802.18750000001,62773.23438,77261.71093999999,73127.92188,69765.625,75941.69437137619,77322.36243755977,78703.03050374331,80083.6985699269,81464.36663611,82845.03470229357,84225.70276847715,85606.37083466025,86987.03890084382,88367.70696702738,89748.37503321096,91129.04309939408
阿根廷,163225.0625,109729.375,97090.92188,130475.1953,152255.59379999994,157543.00191351524,137804.9219,97809.20313,130336.125,249011.5938,223244.51560000004,245276.9219,282705.0625,250164.8045786768,261984.96903252968,273805.13348638266,285625.2979402393,297445.4623940923,309265.6268479489,321085.7913018018,332905.95575565466,344726.12020951137,356546.2846633643,368366.4491172172,380186.6135710738,392006.7780249268
巴西,2520.34912,2605.68506,2459.1975099999995,2487.9353,2678.5646999999994,2859.43433,3081.68359,3019.5979,3356.3580556111583,3672.8322800000014,3771.06055,5329.669430000001,6066.01758,4599.83936,5217.287516372511,5450.942764961568,5684.598013550625,5918.253262139681,6151.908510728739,6385.563759317795,6619.219007906853,6852.87425649591,7086.529505084967,7320.184753674023,7553.840002263081,7787.495250852137
墨西哥,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
澳大利亚,38565.59375,53140.80859,57107.14063,59152.73047,50529.60156,53656.61719,62190.87891,63654.8125,64643.93359,73882.67188000001,73010.03125,77976.27343999999,73294.17968999999,78798.23438,82291.34337723628,84886.34581489675,87481.34825255629,90076.35069021676,92671.35312787633,95266.35556553584,97861.3580031963,100456.36044085585,103051.36287851539,105646.36531617586,108241.3677538354,110836.37019149492
新西兰,27023.878910000003,31738.16211,32124.24219,34783.92578,33730.04688,27557.30273,30351.48828,32594.255860000005,28812.56836,31341.78906000001,33555.25391000001,35637.04297,39096.1875,40035.45313,37145.453589766046,37732.64173263917,38319.829875512514,38907.01801838563,39494.206161258735,40081.39430413209,40668.5824470052,41255.77058987832,41842.958732751664,42430.14687562478,43017.335018497884,43604.52316137124
