country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
孟加拉国,4855529.0,4289550.0,4405291.0,4977539.0,4847863.0,1441357.0,5209726.999999999,4588442.0,5098963.0,6007522.000000001,5315600.0,5860820.0,6408340.000000001,6908680.000000001,6652980.0,6968000.0,6892162.2250000825,7086562.170588315,7280962.1161765475,7475362.061764778,7669762.007353008,7864161.952941239,8058561.89852947,8252961.844117701,8447361.789705932,8641761.735294163
中国,40515879.47,39972847.29999999,42893679.94,45705579.72,45814207.86,47057044.47999999,45576648.37000001,47015712.03,51511621.9,53182047.83000001,54078095.65000002,53779194.72000002,55618943.32,54558935.73,53724192.41,52995366.31,57770875.84847522,58802743.61711907,59834611.38576293,60866479.15440702,61898346.92305088,62930214.69169474,63962082.46033859,64993950.22898245,66025817.99762631,67057685.76627016
印度,42685381.0,44797392.0,51084400.0,55730221.0,62301829.0,64114997.99999999,69461137.0,75612246.00000001,79880094.0,82831296.0,79317590.00000001,76448130.0,79506830.00000001,112722010.0,80041310.0,81589600.0,98047183.12653255,101213583.61200714,104379984.09748076,107546384.58295536,110712785.068429,113879185.55390358,117045586.0393772,120211986.5248518,123378387.01032545,126544787.49580002
印度尼西亚,7799714.0,9480463.000000002,9677753.0,9893541.999999998,10150183.0,11064433.999999998,11775670.999999998,13015250.0,12585420.000000002,13718951.0,14709959.2,14299624.3,14932566.2,14763667.13,15285361.660000006,15385174.75,16698803.024270294,17203531.79640138,17708260.568532467,18212989.340663552,18717718.11279464,19222446.884925727,19727175.65705681,20231904.429187894,20736633.20131898,21241361.973450065
以色列,156496.0,177246.0,252625.0,292662.0,92400.0,105500.0,84100.0,61000.0,60600.0,74400.00000000001,82200.0,84600.0,79400.00000000001,72400.00000000001,82800.0,92300.0,37005.93015959114,27751.26669865474,18496.60323772207,9241.939776789395,-12.723684147000313,-9267.387145079672,-18522.050606012344,-27776.71406694874,-37031.377527881414,-46286.04098881409
泰国,1778115.2000000004,6836014.0,5773239.79,4927544.73,4956525.51,5635544.900000001,5822337.01,5824101.019999999,7725592.489999997,7701498.370000003,2532919.06,2801899.0500000007,2546468.92,5074464.159999998,2372540.220000001,2372540.22,3401564.7311657667,3252621.273337484,3103677.8155092,2954734.357680917,2805790.899852633,2656847.44202435,2507903.984196067,2358960.5263677835,2210017.0685395002,2061073.610711217
英国,6330500.0,6058300.0,6071099.999999999,5636900.0,1549000.0,1541000.0,1285000.0000000002,1451000.0,1497000.0,1447000.0,1460000.0,1545000.0,1516950.0000000002,1492940.0,1523940.0,1483000.0,-119454.27200198176,-441512.3481198549,-763570.4242377281,-1085628.5003557205,-1407686.5764735937,-1729744.652591467,-2051802.72870946,-2373860.8048273325,-2695918.8809452057,-3017976.957063198
德国,2594893.0,2598369.0,2559567.0,2485044.0000000005,2306976.0,2635171.0000000005,1904141.0,2166995.0,2506576.0,2273908.0,2354038.0,2416417.0000000005,2583830.0000000005,2396137.0000000005,2319996.0000000005,2096816.0,2247562.664850261,2231107.7283620574,2214652.79187385,2198197.8553856425,2181742.918897435,2165287.982409228,2148833.04592102,2132378.109432813,2115923.172944609,2099468.2364564016
法国,3881600.0,4099800.0,3896000.0,3537000.0,3491426.0000000005,3828000.0,2785000.0,2644430.0,3673150.0,3386960.0,9097795.0,9319004.0,9501118.0,9670121.999999998,9033022.0,9590928.0,9926470.876767516,10421972.19315195,10917473.509536386,11412974.82592082,11908476.142305374,12403977.458689807,12899478.775074245,13394980.091458678,13890481.407843113,14385982.724227667
俄罗斯,1166175.0,1348580.0,1394879.9999999998,1436119.9999999998,1517330.0,1732809.9999999998,1932120.0,1901990.0,1912870.0,1969160.0,1877480.0,1861020.0,1934280.0,2026990.0,2273277.0,2472910.0,2376248.524350046,2444351.350744158,2512454.177138269,2580557.00353238,2648659.829926491,2716762.6563206315,2784865.4827147424,2852968.3091088533,2921071.1355029643,2989173.961897075
