country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
孟加拉国,14846.0,14846.0,14846.0,14846.0,14846.0,14846.0,14846.0,14846.0,14846.0,14846.0,14846.0,14846.0,14763.0,14763.0,14763.0,14797.7,14784.125,14779.031619999998,14773.93824,14768.84485,14763.75147,14758.65809,14753.56471,14748.47132,14743.37794,14738.28456
中国,956291.32,956291.27,956291.25,956291.18,956291.14,956291.08,956291.08,956291.1,956291.1,956291.1,956291.1,956291.1,956291.1,956291.1,956291.0,956291.0,956290.9913,956290.9755,956290.9596,956290.9437,956290.9278,956290.912,956290.8961,956290.8802,956290.8643,956290.8485
印度,328726.0,328726.0,328726.0,328726.0,328726.0,328726.0,328726.0,328726.0,328726.0,328726.0,328726.0,328726.0,328725.9,328725.9,328725.9,328725.9,328725.9143,328725.9072,328725.9,328725.8929,328725.8857,328725.8786,328725.8714,328725.8643,328725.8572,328725.85
印度尼西亚,191093.0,191093.0,191093.0,191093.0,191093.0,191093.0,191093.0,191093.0,191093.0,191093.0,191093.0,191093.0,191093.1,191358.0,191358.0,191682.0,191352.8925,191375.2394,191397.5863,191419.9332,191442.2801,191464.6271,191486.974,191509.3209,191531.6678,191554.0147
以色列,2207.0,2207.0,2207.0,2207.0,2207.0,2207.0,2207.0,2207.0,2207.0,2207.0,2207.0,2207.0,2207.0,2207.0,2207.0,2207.0,2207.0,2207.0,2207.0,2207.0,2207.0,2207.0,2207.0,2207.0,2207.0,2207.0
泰国,51312.0,51312.0,51312.0,51312.0,51312.0,51312.0,51312.0,51312.0,51312.0,51312.0,51312.0,51312.0,51312.0,51312.0,51312.0,51312.0,51312.0,51312.0,51312.0,51312.0,51312.0,51312.0,51312.0,51312.0,51312.0,51312.0
英国,24361.0,24361.0,24361.0,24361.0,24361.0,24361.0,24361.0,24361.0,24361.0,24361.0,24361.0,24361.0,24361.0,24361.0,24361.0,24361.0,24361.0,24361.0,24361.0,24361.0,24361.0,24361.0,24361.0,24361.0,24361.0,24361.0
德国,35704.0,35704.0,35705.0,35709.0,35710.0,35710.0,35711.0,35712.0,35712.7,35714.0,35717.0,35734.0,35738.0,35740.9,35758.0,35758.0,35750.8575,35754.35838,35757.859260000005,35761.36015,35764.86103,35768.36191,35771.86279,35775.36368,35778.86456,35782.365439999994
法国,54908.7,54938.7,54908.7,54908.7,54908.7,54908.7,54908.7,54908.7,54908.7,54908.7,54908.7,54908.7,54908.7,54908.7,54908.7,54908.7,54905.7,54905.12647,54904.55294,54903.97941,54903.40588,54902.83235,54902.25882,54901.68529,54901.11176,54900.53824
俄罗斯,1709824.0,1709824.0,1709824.0,1709824.0,1709824.0,1709824.0,1709824.0,1709824.0,1709825.0,1709825.0,1709825.0,1709825.0,1709825.0,1709825.0,1709825.0,1709825.0,1709825.3,1709825.394,1709825.488,1709825.582,1709825.676,1709825.771,1709825.865,1709825.959,1709826.053,1709826.147
乌克兰,60355.0,60355.0,60355.0,60355.0,60355.0,60355.0,60355.0,60355.0,60355.0,60355.0,60355.0,60355.0,60355.0,60355.0,60355.0,60355.0,60355.0,60355.0,60355.0,60355.0,60355.0,60355.0,60355.0,60355.0,60355.0,60355.0
加拿大,987975.0,987975.0,987975.0,987975.0,987975.0,987975.0,987975.0,987975.0,987975.0,987975.0,987975.0,987975.0,987975.0,987975.0,987975.0,987975.0,987975.0015,987975.0017,987975.0019,987975.002,987975.0022,987975.0024,987975.0026,987975.0028,987975.0029,987975.0031
美国,963203.0,963203.0,963203.0,963203.0,963203.0,963203.0,983151.0,983151.0,983151.0,983151.0,983151.0,983151.0,983151.0,983151.0,983151.0,983151.0,990631.5076,992391.6262,994151.7447,995911.8632,997671.9818,999432.1003,1001192.219,1002952.337,1004712.456,1006472.575
阿根廷,278040.0,278040.0,278040.0,278040.0,278040.0,278040.0,278040.0,278040.0,278040.0,278040.0,278040.0,278040.0,278040.0,278040.0,278040.0,278040.0,278040.0,278040.0,278040.0,278040.0,278040.0,278040.0,278040.0,278039.9999,278039.9999,278039.9999
巴西,851577.0,851577.0,851577.0,851577.0,851577.0,851577.0,851577.0,851577.0,851577.0,851577.0,851577.0,851577.0,851577.0,851577.0,851577.0,851577.0,851576.9998,851576.9998,851576.9997,851576.9997,851576.9997,851576.9997,851576.9996,851576.9996,851576.9996,851576.9996
墨西哥,196438.0,196438.0,196438.0,196438.0,196438.0,196438.0,196438.0,196438.0,196438.0,196438.0,196438.0,196438.0,196438.0,196438.0,196437.5,196437.5,196437.7625,196437.7419,196437.7213,196437.7007,196437.6801,196437.6596,196437.639,196437.6184,196437.5978,196437.5772
澳大利亚,774122.0,774122.0,774122.0,774122.0,774122.0,774122.0,774122.0,774122.0,774122.0,774122.0,774122.0,774122.0,774122.0,774122.0,774122.0,774122.0,774121.9995,774121.9994,774121.9994,774121.9993,774121.9993,774121.9992,774121.9991,774121.9991,774121.9990000002,774121.9990000002
新西兰,26771.0,26771.0,26771.0,26771.0,26771.0,26771.0,26771.0,26771.0,26771.0,26771.0,26771.0,26771.0,26771.0,26771.0,26771.0,26771.0,26771.0,26771.0,26771.0,26771.0,26771.0,26771.0,26771.0,26771.0,26771.0,26771.0
