country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
孟加拉国,8253.0,8228.0,8143.0,7911.000000000001,7880.0,7816.0,7803.0,7796.0,7791.0,7678.000000000001,7670.0,7678.0,7669.0,7732.24,7704.21,7697.33,7536.0527500120215,7500.222338247244,7464.391926482451,7428.561514717672,7392.7311029528955,7356.900691188101,7321.070279423321,7285.239867658529,7249.40945589375,7213.579044128972
中国,115122.0,112314.0,112206.0,112858.0,109304.0,109085.0,108717.0,108319.0,107821.5,107121.5,106521.1,106318.1,106297.7,119594.7,119492.0,119491.1,113062.40149076305,113271.34063673533,113480.27978270753,113689.21892867975,113898.15807465205,114107.09722062427,114316.03636659648,114524.97551256875,114733.91465854098,114942.85380451324
印度,160432.0,159799.0,159680.99999999994,159444.0,158662.0,158022.0,157995.0,157924.0,157009.0,156979.0,156546.00000000006,156442.0,156463.0,156463.0,156463.0,156463.0,155399.02529713348,155116.65327326686,154834.28124940026,154551.9092255336,154269.53720166712,153987.16517780046,153704.79315393386,153422.4211300672,153140.04910620055,152857.67708233395
印度尼西亚,20081.0,22406.0,24666.0,22946.0,21500.0,22000.0,22700.0,23600.0,23600.0,23500.000000000004,23500.0,23500.0,23500.00000000001,23800.0,25200.0,26300.0,25162.024435703,25381.09348696225,25600.162538221513,25819.23158948076,26038.300640740024,26257.369691999284,26476.438743258594,26695.507794517853,26914.576845777105,27133.645897036364
以色列,349.0,334.0,311.0,311.0,303.0,305.8,299.7000000000001,304.30000000000007,293.6,295.7,294.80000000000007,285.8,300.5,297.2,295.0,387.0,305.6949999962592,305.13411764331454,304.57323529036967,304.012352937425,303.4514705844804,302.8905882315355,302.3297058785909,301.76882352564616,301.2079411727013,300.6470588197567
泰国,15389.0,15200.0,15199.999999999998,15200.0,15199.999999999998,15200.0,15250.0,15695.0,15759.999999999998,15760.000000000002,16559.999999999996,16810.0,16810.000000000004,16810.0,16810.000000000004,16810.0,17080.374991006862,17218.772048772487,17357.169106538116,17495.566164303746,17633.963222069433,17772.360279835062,17910.75733760069,18049.15439536632,18187.55145313195,18325.948510897582
英国,5786.0,5659.0,5818.999999999999,5729.0,6093.999999999999,6085.000000000001,6005.0,6049.0,5970.0,6062.0,6212.000000000001,6265.4,6233.5,6011.0,6026.01,6082.88,6228.094750009179,6254.27655883276,6280.458367656342,6306.640176479923,6332.821985303512,6359.003794127094,6385.1856029506735,6411.367411774257,6437.549220597844,6463.731029421426
德国,11791.0,11827.0,11897.999999999998,11904.0,11866.0,11877.0,11932.0,11945.0,11846.0,11875.000000000005,11834.000000000002,11875.999999999998,11869.0,11846.0,11762.0,11772.0,11827.100000021392,11823.523529433147,11819.947058844904,11816.370588256661,11812.794117668418,11809.217647080171,11805.641176491928,11802.064705903684,11798.488235315439,11794.911764727194
法国,18371.5,18354.800000000007,18368.0,18377.6,18339.0,18286.2,18268.7,18256.2,18300.7,18274.4,18281.7,18305.7,18333.1,18478.7,18355.92,18464.37,18363.922000035644,18366.908485329765,18369.894970623885,18372.88145591801,18375.86794121213,18378.85442650625,18381.840911800376,18384.827397094497,18387.81388238862,18390.800367682743
俄罗斯,123465.0,122559.0,122146.0,121781.0,121574.0,121574.0,121649.0,121649.0,121649.0,121649.0,121649.0,121649.0,121649.0,121649.0,121649.00000000006,121649.0,121289.00006192153,121223.08095155936,121157.16184119714,121091.24273083502,121025.32362047285,120959.40451011069,120893.48539974848,120827.56628938633,120761.64717902412,120695.72806866199
