country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
孟加拉国,4597.0,4725.0,4817.0,4875.0,4965.0,5007.5,5050,5100,5180.0,5264.0,5300.0,5500.0,5500.0,5500.0,5500.0,5550.0,5694.875009,5758.7536869999985,5822.632364,5886.511042,5950.389719,6014.268397,6078.147074,6142.025752000001,6205.904429,6269.783107
中国,57400.0,61056.0,61511.0,61898.0,62559.0,63220.0,63413,64120,66352.0,67743.0,67782.7,69481.4,70024.8,71358.4,72626.4,73301.4,74076.58284,75042.5992,76008.61556,76974.63192999999,77940.64829,78906.66465,79872.68102,80838.69738,81804.71373999999,82770.73011
印度,62593.0,63277.0,63962.0,64646.0,65209.0,65771.0,66334,67700,67700.0,67800.0,69500.0,70400.0,70400.0,70400.0,70400.0,70400.0,72176.84988,72752.86163,73328.87339,73904.88514,74480.89689,75056.90864,75632.92039,76208.93214,76784.94389,77360.95564
印度尼西亚,6000.0,6250.0,6500.0,6722.3,6722.0,6722.0,6722,6722,6722.0,6722.0,6722.0,6722.0,6722.0,6722.0,6722.0,6722.0,6876.085,6904.622206,6933.159412000001,6961.696618000001,6990.233824,7018.771029,7047.308235,7075.845441,7104.3826469999985,7132.919853
以色列,215.0,220.0,225.0,225.0,225.0,225.0,225,225,225.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,226.75,227.0661765,227.3823529,227.6985294,228.0147059,228.33088230000004,228.6470588,228.9632353,229.2794118,229.5955882
泰国,5830.0,5950.0,6070.0,6187.0,6305.0,6415.0,6415,6415,6415.0,6415.0,6415.0,6415.0,6415.0,6415.0,6415.0,6415.0,6574.65,6606.175,6637.7,6669.225,6700.75,6732.275,6763.8,6795.325,6826.85,6858.375
英国,227.0,229.0,227.0,228.0,182.0,152.0,195,213,95.1,95.0,95.0,98.9,99.0,99.0,99.0,99.0,58.7675,47.79161764,36.81573529,25.83985294,14.86397058,3.888088231,-7.087794122000001,-18.06367648,-29.03955883,-40.01544118
德国,495.0,500.0,500.0,510.0,515.7,560.0,600,639,652.0,665.0,678.0,691.0,686.0,680.0,676.4,676.4,740.3225,755.9155882,771.5086765,787.1017647000001,802.6948529,818.2879412000002,833.8810294,849.4741176000001,865.0672059000002,880.6602941
法国,2675.0,2696.0,2687.0,2678.0,2675.0,2670.0,2671,2699,2727.0,2755.0,2783.0,2811.0,2830.0,2830.0,2830.0,2830.0,2850.5,2863.448529,2876.397059,2889.345588,2902.294118,2915.242647,2928.1911760000007,2941.139706,2954.088235,2967.036765
俄罗斯,4557.0,4648.0,4607.0,4553.0,4513.0,4435.0,4346,4300,4300.0,4300.0,4300.0,4300.0,4300.0,4300.0,4300.0,4300.0,4193.225,4169.2,4145.175,4121.15,4097.125,4073.1,4049.075,4025.05,4001.025,3977.0
乌克兰,2262.0,2208.0,2195.0,2183.0,2181.0,2181.0,2179,2175,2178.0,2173.0,2167.0,2165.0,2166.0,2166.0,2166.0,2166.0,2148.749998,2144.845586,2140.941174,2137.036762,2133.13235,2129.227938,2125.323526,2121.4191140000007,2117.514702,2113.610289
加拿大,1175.0,1190.0,1205.0,1218.0,1218.0,1200.0,1180,1160,1160.0,1170.0,1182.0,1182.0,1182.0,1182.0,1378.0,1378.0,1266.75,1273.426471,1280.102941,1286.779412,1293.455882,1300.132353,1306.808824,1313.4852939999996,1320.161765,1326.838235
美国,26937.0,26878.67,26820.0,26762.0,26700.0,26644.0,26550,26470,26415.0,26560.0,26708.0,26749.51,26791.02,26832.52,26874.03,26915.54,26733.68375,26734.65176,26735.61978,26736.58779,26737.55581,26738.52382,26739.49184,26740.45985,26741.42787,26742.39588
阿根廷,1600.0,1650.0,1735.0,1820.0,1900.0,1985.0,2070,2155,2250.0,2357.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0,2585.325,2641.819118,2698.313235,2754.807353,2811.301471,2867.795588,2924.289706,2980.783824,3037.277941,3093.772059
巴西,4070.9,4229.1,4387.3,4545.5,4601.0,4800.0,5000,5200,5400.0,5659.1,5918.2,6177.4,6436.5,6695.6,6954.7,6955.0,7188.239906,7393.986512,7599.733118999998,7805.479725,8011.226331999998,8216.972937999999,8422.719545,8628.466151999999,8834.212758,9039.959365
墨西哥,6300.0,6320.0,6300.0,6300.0,6300.0,6350.0,6400,6460,6480.0,6500.0,6500.0,6562.2,6624.4,6686.6,6748.8,6811.0,6769.15,6803.439706,6837.7294120000015,6872.019118000001,6906.308824,6940.598529000001,6974.8882349999985,7009.177941,7043.467647,7077.757353
澳大利亚,2545.0,2545.0,2545.0,2545.0,2546.0,2546.0,2546,2546,2546.0,2546.0,2546.0,2546.0,2546.0,2546.0,2546.0,2546.0,2546.35,2546.420588,2546.491176,2546.561765,2546.632353,2546.702941,2546.773529,2546.844118,2546.914706,2546.985294
新西兰,468.0,490.0,553.0,533.0,433.0,619.0,640,660,680.0,700.0,721.7,726.8,731.9,737.0,742.1,747.0,811.9875,832.6441176,853.3007353,873.9573528999998,894.6139706,915.2705882,935.9272059,956.5838235,977.2404412,997.8970588
