country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
孟加拉国,9353.0,9328.0,9323.0,9311.0,9280.0,9266.0,9253.0,9246.0,9241.0,9128.0,9120.0,9108.0,9099.0,9162.24,9194.21,9187.33,9097.30275,9082.281162,9067.259574,9052.237985,9037.216397,9022.194809,9007.173221,8992.151632,8977.130044,8962.108456
中国,518533.0,516133.0,516433.0,517433.0,514133.0,514568.0,514549.0,514553.0,514550.0,514553.0,514553.0,514553.0,514553.0,527833.0,527733.0,527733.0,522539.1814,523114.4086,523689.6359,524264.8631,524840.0903,525415.3175,525990.5448,526565.772,527140.9992,527716.2264
印度,180560.0,180249.0,180375.0,180126.0,179906.0,179620.0,179757.0,180068.0,179573.0,179670.0,179642.0,179698.0,179721.0,179721.0,179721.0,179721.0,179478.125,179430.4926,179382.8603,179335.2279,179287.5956,179239.9632,179192.3309,179144.6985,179097.0661,179049.4338
印度尼西亚,48181.0,51006.0,53366.0,51846.0,51500.0,53000.0,54000.0,55600.0,55600.0,56500.0,56500.0,57000.0,57000.0,57300.0,60200.0,62300.0,61112.02615,61824.47769,62536.92923,63249.38077,63961.83231000001,64674.28384,65386.73538,66099.18692000001,66811.63846,67524.09
以色列,563.0,551.0,513.5,514.5,508.8,518.1,515.6,522.6,504.5,517.0,526.2,520.3,537.7,533.9,532.0,623.0,546.2725,548.0273529,549.7822058999999,551.5370588,553.2919118,555.0467647,556.8016176,558.5564706,560.3113235000002,562.0661765
泰国,19689.0,19554.0,19555.0,19610.0,19700.0,19800.0,20050.0,20879.0,21060.0,21060.0,21860.0,22110.0,22110.0,22110.0,22110.0,22110.0,22717.04996,22938.41614,23159.78231,23381.14848,23602.51465,23823.88083,24045.247000000007,24266.61317,24487.97934,24709.34552
英国,16976.0,16956.0,17051.0,16956.0,17838.0,17647.0,17684.0,17325.0,17224.0,17164.0,17182.0,17250.2,17232.0,17138.0,17349.98,17466.15,17375.138,17386.62975,17398.1215,17409.61325,17421.105,17432.59675,17444.0885,17455.58025,17467.072,17478.56375
德国,16967.0,17001.0,17013.0,17031.0,16946.0,16950.0,16921.0,16886.0,16700.0,16719.0,16664.0,16697.0,16725.0,16731.0,16657.0,16687.0,16599.775,16572.57941,16545.38382,16518.18824,16490.99265,16463.79706,16436.601469999998,16409.405880000002,16382.21029,16355.01471
法国,29610.7,29534.6,29458.4,29390.4,29312.7,29206.1,29110.1,29019.9,28926.3,28878.6,28844.8,28773.7,28766.5,28726.9,28718.02,28697.5,28506.667,28441.45709,28376.24717,28311.03726,28245.82735,28180.61744,28115.40753,28050.197610000007,27984.9877,27919.77779
俄罗斯,216651.0,216277.0,215980.0,215680.0,215488.0,215463.0,215494.0,215349.0,216601.0,216299.0,216249.0,216249.0,216249.0,216249.0,216249.0,216249.0,216231.125,216252.6103,216274.0956,216295.5809,216317.0662,216338.5515,216360.0368,216381.5221,216403.0074,216424.4926
乌克兰,41396.0,41355.0,41354.0,41304.0,41284.0,41266.0,41292.0,41276.0,41267.0,41281.0,41297.0,41526.0,41511.0,41508.0,41515.0,41489.0,41480.55,41493.54853,41506.54706,41519.54559,41532.54412,41545.54265,41558.54118,41571.53971000001,41584.53824,41597.53676
加拿大,62091.0,61946.0,61801.0,61656.0,60584.0,60008.0,59432.0,58856.0,58280.0,57699.7,57771.0,57842.0,57913.0,57984.0,58050.0,57694.4,56495.22042000001,56159.30444,55823.38846,55487.47248,55151.5565,54815.64052000001,54479.72454,54143.80856000001,53807.89257999999,53471.9766
美国,413064.0,413022.3,412980.9,412939.6,412898.8,412857.6,412027.4,411197.2,410367.0,409536.8,408706.4,408075.6,407444.8,406813.9,406183.1,405552.2,405458.0092,404896.6897,404335.3702,403774.0507,403212.7312,402651.4116,402090.0921,401528.7726,400967.4531,400406.1336
阿根廷,128710.0,130883.5,134345.0,137797.5,141104.0,144033.0,144261.0,143792.0,147481.0,148281.0,149254.0,149199.0,148700.0,148700.0,148700.0,148700.0,154446.453,155749.4107,157052.3684,158355.3261,159658.2838,160961.2415,162264.1992,163567.1569,164870.1146,166173.0723
巴西,228530.9,228634.6,228738.3,228842.0,228951.0,229581.3,230211.6,230841.9,231472.2,232102.5,232732.8,233363.1,233993.4,234623.7,235254.0,235918.76,235998.4697,236529.2304,237059.991,237590.7517,238121.5124,238652.2731,239183.0338,239713.7945,240244.5552,240775.3159
墨西哥,106550.0,106550.0,106570.0,106570.0,106570.0,106700.0,103808.0,103367.0,102844.0,103073.0,102138.0,101586.0,101407.0,103212.0,104992.0,106964.0,102582.8745,102350.7053,102118.5361,101886.3669,101654.1977,101422.0285,101189.8593,100957.69,100725.5208,100493.3516
澳大利亚,447000.0,439764.0,394906.0,410230.0,409302.0,398355.5,389288.0,384257.0,376372.0,396121.0,387076.0,371775.0,374423.0,348119.0,342602.0,371837.0,345914.9324,340717.9576,335520.9827,330324.0078,325127.033,319930.0581,314733.0833,309536.1084,304339.1335,299142.1587
新西兰,12099.0,11858.0,11890.0,11712.0,11375.0,11487.0,11374.0,11490.0,11408.0,11371.0,11209.4,11106.0,11116.0,10840.0,10651.0,10651.0,10631.25,10546.41617,10461.58235,10376.74853,10291.9147,10207.08088,10122.24705,10037.41323,9952.579407,9867.745583
