country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
孟加拉国,47154939,48317754,47192091,53123142,55069555,58348185,64150368,63660920,68800777,70230044,70477413,72638710,74544441,75422653,74834343,75212044,82147454.0,84317908.81,86488363.63,88658818.44,90829273.25,92999728.07,95170182.88,97340637.69,99511092.51,101681547.3
中国,1139068247,1125026199,1181411696,1218099501,1228332821,1269588758,1337783949,1363460406,1416174205,1477655674,1518916152,1554736572,1582017874,1672858199,1683812265,1707704979,1760774702.0,1802655200.0,1844535698.0,1886416196.0,1928296694.0,1970177192.0,2012057690.0,2053938188.0,2095818686.0,2137699184.0
印度,374626418,414314864,404285741,425192009,446033563,475970041,497877633,482181358,518632793,550408642,564610268,585176431,600912134,569876360,585225540,618608186,643318112.2,659341331.4,675364550.7,691387769.9,707410989.1,723434208.3,739457427.6,755480646.8,771503866.0,787527085.2
印度尼西亚,101645382,108684418,113461199,114778512,116770730,121051618,130626214,138197608,140200734,140956911,148756717,149105054,149689427,155214528,160745066,166658802,170075625.3,174227589.2,178379553.0,182531516.9,186683480.7,190835444.6,194987408.5,199139372.3,203291336.2,207443300.0
以色列,4582993,4574165,4948610,4895771,4739478,4984152,4643861,4906193,4753627,4857242,5036985,5020574,5075138,4533243,4645251,4488268,4783695.311000002,4782618.649,4781541.988,4780465.326,4779388.664,4778312.002,4777235.34,4776158.678,4775082.017,4774005.355
泰国,67341064,70838069,71712605,68924251,74319329,82655400,79075837,84548841,79827884,82711137,90994657,89135597,85446963,81960413,79822658,87390130,90176073.3,91397487.39,92618901.48,93840315.57,95061729.66,96283143.74,97504557.83,98725971.92,99947386.01,101168800.1
英国,41488001,38982879,39300618,38352800,37477879,35157121,40528363,38619186,38031990,39078222,35293179,37282242,42285039,38170378,35320698,37281858,37123531.42,36986222.99,36848914.57,36711606.15,36574297.72,36436989.3,36299680.88,36162372.45,36025064.03,35887755.61
德国,82869099,77531953,92648232,86220887,82013183,81839453,91215808,91773685,83875621,84894443,88185315,89326225,96546263,74177408,71492856,72124198,80497486.7,80065318.74,79633150.79,79200982.83,78768814.88,78336646.92,77904478.97,77472311.01,77040143.06,76607975.1
法国,116278641,99422301,117248874,108703983,104342427,101941293,112846618,113089495,107848304,107178448,108264141,108360044,115751982,101143687,82258817,92027857,97755177.54,96780000.56,95804823.57,94829646.59,93854469.6,92879292.62,91904115.63,90928938.65,89953761.66,88978584.68
俄罗斯,141994514,126480583,135768052,136056855,136901622,140262648,169382340,161010627,112654509,161529396,135333886,158542035,174315591,169288148,183604159,196966686,181695262.7,185129325.5,188563388.4,191997451.3,195431514.2,198865577.1,202299639.9,205733702.8,209167765.7,212601828.6
乌克兰,67659081,60461156,76190686,71699283,68443693,62231551,87585854,80844209,73333995,98305581,87406980,104337478,106326578,96677207,109569322,98677499,109890162.5,112893783.5,115897404.4,118901025.3,121904646.3,124908267.2,127911888.2,130915509.1,133919130.0,136922751.0
加拿大,53249207,68005581,71500238,70998815,68328420,68283431,76728327,70634357,66955493,68071257,73287156,89404060,72106832,81591239,79020652,77057642,81753841.41,82877655.78,84001470.16,85125284.54,86249098.92,87372913.3,88496727.68,89620542.06,90744356.43,91868170.81
美国,447874318,496724551,540324126,511851150,485242610,565227233,554588149,571918314,551716511,538318322,514016348,589782962,599481355,562660026,610310913,571672260,604165272.1,611186854.5,618208436.9,625230019.3,632251601.7,639273184.1,646294766.5,653316348.8,660337931.2,667359513.6
阿根廷,53723763,51232383,54154533,62090199,53150214,63266885,65714472,46728709,60279439,72845917,68772131,72213211,72349124,76535749,80907204,96587406,85198992.54,87497761.23,89796529.91,92095298.6,94394067.29,96692835.98,98991604.67,101290373.4,103589142.0,105887910.7
巴西,146662003,162584642,163307030,156466276,164197942,177411858,189298732,176982035,184492408,191565388,197769147,207752172,211168140,212334707,188051419,221216616,220728595.9,224996221.1,229263846.2,233531471.4,237799096.5,242066721.7,246334346.8,250601972.0,254869597.1,259137222.3
墨西哥,62992638,66426643,68220181,64812024,69303278,72122655,74727833,68872327,73190110,66531025,73861448,74858441,79236211,78033723,84558174,85525213,83189155.82,84422645.3,85656134.78,86889624.26,88123113.74,89356603.22,90590092.69,91823582.17,93057071.65,94290561.13
澳大利亚,56258259,34106028,59458053,51763400,57457568,33344314,42890443,50638376,49912263,56544054,60403192,52665079,55207405,50755770,49340356,65670080,56856867.67,57469332.69,58081797.71,58694262.73,59306727.75,59919192.77,60531657.79,61144122.81,61756587.82,62369052.84
新西兰,12428657,12558340,13050818,12952153,13220814,13557362,13828181,14027678,13448136,14417926,13269925,13982605,14119403,5313609,5408038,5106678,8514360.33,8113915.147999999,7713469.965,7313024.783,6912579.6,6512134.418,6111689.235,5711244.052999998,5310798.87,4910353.688
