country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
孟加拉国,46320755,47457010,46302686,52199478,54117830,57360765,63134153,62605042,67710274,69104960,69332902,71479945,73370274,74759329,74162431,74521890,81223242.77,83397008.66,85570774.54,87744540.43,89918306.31,92092072.2,94265838.08,96439603.97,98613369.85,100787135.7
中国,1074438686,1058208093,1112794442,1146077107,1154783295,1198112262,1262091726,1284106962,1333942440,1395074998,1432383874,1466468308,1492350691,1586001427,1597717953,1621177199,1667712855.0,1707916357.0,1748119858.0,1788323360.0,1828526862.0,1868730363.0,1908933865.0,1949137367.0,1989340868.0,2029544370.0
印度,365470753,404885549,394661580,415153779,435860175,465069826,486910438,471140368,507216631,538631217,552003063,571952668,587508797,562809135,578021990,611310982,633259773.2,649315283.6,665370794.1,681426304.5,697481814.9,713537325.4,729592835.8,745648346.3,761703856.7,777759367.1
印度尼西亚,99510676,106424910,111370478,112892666,114628749,118905509,128406767,135881856,137721164,138280771,145978763,146159373,146670875,152164794,157396116,163321789,166733150.2,170792085.1,174851020.0,178909954.9,182968889.9,187027824.8,191086759.7,195145694.6,199204629.5,203263564.4
以色列,3750780,3728671,4064943,3980538,3777183,4005157,3639962,3926810,3758847,3841655,4006146,4027566,4049663,3769648,3849597,3691062,3869825.057,3870185.152,3870545.247,3870905.342,3871265.437,3871625.532,3871985.627,3872345.722,3872705.817,3873065.912
泰国,64955298,68410509,69638541,66646395,71911921,80168502,76649941,82148039,77310945,80186940,88178040,86219226,82408049,79184051,77104530,84655073,87252841.99,88431293.99,89609745.99,90788197.99,91966649.99,93145101.99,94323553.99,95502005.99,96680457.99,97858909.99
英国,33729877,31193786,32044866,30928396,30396637,28243096,33908686,31877514,31027677,31762642,27459223,29592732,34516243,34339149,31392971,33357092,32081795.15,32137222.61,32192650.08,32248077.55,32303505.01,32358932.48,32414359.94,32469787.41,32525214.87,32580642.34
德国,61130688,55084287,70608723,63905711,59696822,58866058,67962193,68139912,60006742,60180019,62723457,63438156,70524165,65789482,63057167,63826181,65491621.58,65733725.86,65975830.14,66217934.42,66460038.7,66702142.98,66944247.26,67186351.54,67428455.82,67670560.11
法国,95280380,78749933,96955036,88424322,84997079,82231866,92401437,93184359,88250931,87519992,88655009,88626790,95971132,95491190,76603210,86483795,87863015.57,87759940.49,87656865.4,87553790.31,87450715.23,87347640.14,87244565.05,87141489.97,87038414.88,86935339.79
俄罗斯,127877056,111948422,121518477,122459883,122620499,125455826,154103272,146209875,97937653,146176348,119547064,142168385,157332127,159722961,173704977,186582262,169119689.8,172726674.7,176333659.6,179940644.6,183547629.5,187154614.4,190761599.3,194368584.2,197975569.2,201582554.1
乌克兰,62713842,55262585,71539496,66908325,63953554,57604590,83312587,76815449,69075597,94052293,82838011,99461942,101498238,94325080,107218695,96332997,106942993.6,110091336.4,113239679.2,116388021.9,119536364.7,122684707.5,125833050.2,128981393.0,132129735.8,135278078.6
加拿大,45637457,60177327,63235947,62786266,60338581,60158378,68451522,62449781,58833508,59848167,64692485,80869705,63535834,77072609,74589330,72577405,75795480.41,77100431.74,78405383.07,79710334.4,81015285.73,82320237.06,83625188.39,84930139.71,86235091.04,87540042.37
美国,391717916,440042986,484146507,454598832,426518210,504004758,490871205,509760544,488631686,473379346,447909916,523196699,532656667,519385858,565677094,525882133,549380396.5,556819410.4,564258424.4,571697438.4,579136452.3,586575466.3,594014480.2,601453494.2,608892508.2,616331522.1
阿根廷,48534724,45874468,48276539,55898047,46843798,56678614,58922583,39629220,53806970,66130271,61864875,65047933,65301125,71050928,75509692,90889725,78702346.79,80974244.12,83246141.45,85518038.78,87789936.11,90061833.44,92333730.77,94605628.1,96877525.42,99149422.75
巴西,127036672,141824625,140914240,134256119,141108199,152849382,163637085,151635438,157974557,164368870,170183900,179331048,182063319,185696955,161073479,193499580,190876096.7,194600832.5,198325568.4,202050304.3,205775040.2,209499776.0,213224511.9,216949247.8,220673983.7,224398719.5
墨西哥,57421125,60757368,62287269,58664560,63070214,65745853,68227964,62295001,66476108,59640056,66880196,67834709,72113212,71680806,78004811,78723248,76058353.77,77213582.92,78368812.08,79524041.23,80679270.38,81834499.53,82989728.69,84144957.84,85300186.99,86455416.14
澳大利亚,47482786,25881088,51385865,43709557,49640987,25638198,35376494,42714058,42359291,48824194,52718903,44741678,46951593,45788093,44641998,61225189,51301591.26,52123249.26,52944907.26,53766565.26,54588223.27,55409881.27,56231539.27,57053197.27,57874855.27,58696513.27
新西兰,3460598,3387521,3424452,3469247,3319998,3581619,3759309,3898730,3782761,3809472,3982514,3939926,3953995,3881982,3968127,3714868,4047644.654,4087550.506,4127456.358,4167362.21,4207268.062,4247173.915,4287079.767,4326985.619,4366891.471,4406797.323
