country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
孟加拉国,18.2,17.5,17.1,16.6,16.300000000000004,16.3,16.4,16.6,16.9,17.0,17.0,16.799999999999994,16.5,15.8,15.2,15.839999995630649,15.734999995628245,15.629999995625838,15.524999995623432,15.419999995620996,15.31499999561859,15.209999995616188,15.10499999561375,14.999999995611349,14.89499999560894,14.78999999560651
中国,15.7,15.7,15.499999999999998,15.2,14.8,14.1,13.400000000000002,12.6,11.8,11.1,10.4,9.7,9.1,8.8,8.7,7.719999985221647,7.129999983374318,6.5399999815269885,5.949999979679659,5.359999977832331,4.769999975985002,4.179999974137671,3.589999972290343,2.999999970443014,2.4099999685956845,1.8199999667483555
印度,21.0,22.2,22.8,22.2,20.7,19.200000000000006,18.1,17.7,17.5,17.4,17.2,16.7,16.0,15.3,14.8,14.14380951943599,13.58845237657556,13.033095233714905,12.477738090854244,11.922380947993588,11.36702380513293,10.8116666622725,10.256309519411843,9.700952376551186,9.145595233690528,8.590238090829871
印度尼西亚,18.4,18.4,18.4,18.5,18.3,17.8,16.9,14.8,12.4,10.1,8.5,7.599999999999999,6.9,7.3,7.7,5.126666662273691,4.084166662269126,3.0416666622645607,1.999166662259995,0.9566666622554294,-0.08583333774868153,-1.1283333377532472,-2.1708333377578133,-3.2133333377623785,-4.255833337766943,-5.29833333777151
以色列,2.5,2.5,2.5,2.5000000000000004,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.4999999999825064,2.49999999998032,2.4999999999781335,2.4999999999759464,2.49999999997376,2.4999999999715734,2.4999999999693863,2.4999999999672,2.4999999999650133,2.499999999962826,2.4999999999606395
泰国,17.1,15.8,14.2,12.5,11.0,10.300000000000002,10.0,9.8,9.199999999999998,8.8,8.8,8.999999999999998,9.199999999999998,9.199999999999998,9.0,6.763809519420648,6.2434523765603,5.7230952336997225,5.202738090839375,4.6823809479788,4.162023805118452,3.6416666622578764,3.121309519397528,2.6009523765369518,2.0805952336763767,1.5602380908160285
英国,2.5,2.5,2.5,2.5000000000000004,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.4999999999825064,2.49999999998032,2.4999999999781335,2.4999999999759464,2.49999999997376,2.4999999999715734,2.4999999999693863,2.4999999999672,2.4999999999650133,2.499999999962826,2.4999999999606395
德国,2.5,2.5,2.5,2.5000000000000004,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.4999999999825064,2.49999999998032,2.4999999999781335,2.4999999999759464,2.49999999997376,2.4999999999715734,2.4999999999693863,2.4999999999672,2.4999999999650133,2.499999999962826,2.4999999999606395
法国,2.5,2.5,2.5,2.5000000000000004,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.4999999999825064,2.49999999998032,2.4999999999781335,2.4999999999759464,2.49999999997376,2.4999999999715734,2.4999999999693863,2.4999999999672,2.4999999999650133,2.499999999962826,2.4999999999606395
俄罗斯,3.7,3.1,2.6,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5000000000000004,2.5000000000000004,2.5,2.2695238051251887,2.224880947980054,2.1802380908349197,2.1355952336897843,2.090952376544635,2.0463095193995,2.0016666622543653,1.9570238051092304,1.9123809479640956,1.8677380908189605,1.8230952336738253
