country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
孟加拉国,136600.672,139018.99499999994,141307.487,143431.106,145368.014,147139.189,148805.815,150454.71300000005,152149.111,153911.92200000002,155727.049,157571.28999999998,159405.28099999993,161200.88799999998,162951.54900000006,164669.741,166368.15300000002,168065.91100000002,169775.31,171918.31739412108,173721.08494405914,175523.85249399766,177326.62004393621,179129.38759387468,180932.15514381323,182734.9226937513
中国,1327998.295,1335892.966,1343743.9060000002,1351536.694,1359288.2780000002,1367035.719,1374798.4399999995,1382593.7430000002,1390419.7040000001,1398280.5269999995,1406131.4449999998,1413857.4919999996,1421307.389,1428360.9469999997,1434972.0690000001,1441131.3029999996,1446801.3180000002,1451953.148,1456565.6930000002,1469895.6283494625,1477239.5644686222,1484583.50058778,1491927.4367069378,1499271.3728260957,1506615.3089452554,1513959.2450644132
印度,1089807.114,1108027.846,1126135.7680000002,1144118.673,1161977.713,1179681.2400000005,1197146.909,1214270.1290000002,1230980.684,1247236.035,1263065.8490000004,1278562.2059999998,1293859.299,1309053.9840000002,1324171.357,1339180.131,1354051.8579999998,1368737.524,1383197.754,1405456.6025185178,1421721.9360703712,1437987.2696222216,1454252.6031740757,1470517.9367259257,1486783.2702777798,1503048.6038296297
印度尼西亚,217508.068,220545.211,223614.645,226712.734,229838.201,232989.138,236159.279,239340.47199999998,242524.122,245707.50500000003,248883.233,252032.265,255131.112,258162.114,261115.454,263991.376,266794.988,269536.48200000013,272222.982,276218.6522310963,279299.4154489441,282380.17866679194,285460.94188463874,288541.7051024865,291622.46832033433,294703.2315381812
以色列,6239.28,6349.516,6468.8269999999975,6602.974,6755.218999999997,6922.690000000001,7097.409000000002,7267.8960000000025,7425.956,7568.779000000001,7699.1039999999975,7821.108,7941.321000000001,8064.554,8191.821999999999,8321.577000000001,8452.843000000003,8583.920000000002,8713.563999999997,8902.989014573686,9043.34918445209,9183.709354330496,9324.0695242089,9464.429694087303,9604.789863965709,9745.150033844113
泰国,64073.16,64554.957,65002.23,65425.46599999999,65824.17,66195.61099999999,66545.766,66881.87,67208.804,67530.13,67843.97200000002,68143.06700000001,68416.768,68657.593,68863.519,69037.50200000001,69183.17499999999,69306.152,69410.86600000001,70265.21597166895,70564.870319576,70864.52466748294,71164.17901538988,71463.83336329693,71763.48771120388,72063.1420591108
英国,59348.95200000001,59580.22300000001,59884.124,60286.751,60802.8,61414.66099999999,62076.224,62722.613,63306.845,63811.88100000001,64250.33300000001,64641.112,65015.68500000001,65397.09,65788.589,66181.58600000001,66573.503,66959.023,67334.204,68134.70968456753,68604.09539512952,69073.48110569139,69542.8668162534,70012.25252681527,70481.63823737728,70951.02394793916
德国,81611.856,81686.5,81715.66,81671.243,81540.36,81344.45200000003,81130.94399999999,80965.614,80894.79800000001,80933.98000000001,81066.223,81265.15,81489.655,81707.79900000001,81914.668,82114.22500000003,82293.462,82438.63900000002,82540.44699999999,82056.58807035003,82102.6380615782,82148.68805280636,82194.73804403452,82240.7880352627,82286.83802649086,82332.88801771903
法国,60225.07399999999,60550.098,60886.60199999999,61233.907999999996,61592.883,61960.953,62329.562999999995,62687.52400000001,63026.742999999995,63343.576,63639.88,63919.91,64190.643,64457.19899999999,64720.68900000001,64979.54800000001,65233.27900000001,65480.712,65721.164,66256.75982097199,66565.69923464826,66874.63864832441,67183.57806200067,67492.51747567684,67801.456889353,68110.39630302928
俄罗斯,145194.88400000002,144584.70399999994,144044.61099999998,143618.19,143322.934,143150.14,143083.191,143092.765,143153.874,143263.99200000006,143420.59900000002,143597.22400000002,143761.381,143887.99700000006,143964.51,143989.76,143964.717,143895.55800000002,143786.843,143601.5397897825,143589.17864241404,143576.8174950456,143564.45634767716,143552.09520030874,143539.73405294024,143527.3729055718
乌克兰,47979.587,47580.556,47215.96499999999,46892.169000000016,46616.385,46386.34600000001,46186.425,45994.027,45792.505,45576.30100000002,45349.336,45115.79000000001,44883.428,44657.71400000001,44438.62599999999,44222.956,44009.211,43795.22,43579.232999999986,43272.89395971282,43040.85819778935,42808.822435865935,42576.786673942464,42344.750912018986,42112.71515009558,41880.67938817212
加拿大,31320.892000000003,31627.801,31949.416,32287.979,32645.476000000002,33019.93,33404.554000000004,33789.838999999985,34168.668000000005,34538.615,34900.709,35255.50499999998,35604.725,35949.706,36289.816,36624.2,36953.776,37279.805000000015,37603.216,38046.550330519676,38402.707321466296,38758.86431241303,39115.02130335977,39471.17829430639,39827.33528525312,40183.49227619986
美国,287506.853,290027.617,292539.334,295129.505,297827.354,300595.17699999997,303374.066,306076.363,308641.395,311051.373,313335.42800000013,315536.673,317718.7780000001,319929.164,322179.605,324459.468,326766.752,329093.107,331431.527,334540.7426451044,336977.8719675094,339415.0012899144,341852.1306123203,344289.25993472524,346726.3892571302,349163.5185795352
阿根廷,37889.378,38309.379,38728.687999999995,39145.492999999995,39558.883,39970.22,40382.39900000001,40799.409,41223.895,41656.883,42096.73000000002,42539.919,42981.51000000002,43417.764,43847.42999999999,44271.03599999999,44688.858,45101.77999999999,45510.412000000004,45949.95191127482,46375.894123454935,46801.836335635046,47227.77854781516,47653.72075999528,48079.6629721754,48505.60518435552
巴西,180151.02899999998,182482.147,184738.46100000004,186917.37,189012.414,191026.63600000003,192979.034,194896.00100000005,196796.271,198686.68200000003,200560.98300000004,202408.626,204213.133,205962.112,207652.86,209288.27800000002,210867.959,212392.716,213863.051,216841.19973233345,218710.07884767183,220578.95796301035,222447.8370783488,224316.7161936872,226185.59530902558,228054.4744243641
墨西哥,104355.603,105640.457,106995.58299999996,108472.229,110092.37900000002,111836.34199999999,113661.815,115505.228,117318.94000000002,119090.022,120828.30900000001,122535.966,124221.594,125890.95,127540.42999999998,129163.276,130759.07000000008,132328.034,133870.03699999998,135835.94500796965,137524.24338245112,139212.54175693216,140900.8401314132,142589.13850589425,144277.43688037572,145965.73525485676
澳大利亚,19475.193,19696.967,19948.432,20238.901000000005,20573.61,20946.66,21342.495,21739.04900000001,22120.061000000005,22479.79900000001,22821.85200000001,23150.733,23474.67,23799.546,24125.844,24450.558999999997,24772.245,25088.646,25398.179000000004,25815.818731687614,26157.17196801421,26498.52520434081,26839.87844066753,27181.231676994124,27522.584913320723,27863.93814964744
新西兰,3963.202,4022.0740000000014,4080.421,4135.353,4185.922000000001,4233.145,4278.33,4323.478999999998,4370.06,4418.373,4467.745,4517.528,4566.701,4614.527,4660.833999999999,4705.815,4749.605,4792.406000000001,4834.4209999999985,4896.868315795742,4944.871247374802,4992.874178953847,5040.8771105328915,5088.880042111938,5136.882973690998,5184.885905270043
