country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
孟加拉国,345.49433,371.82282,395.94478,401.78244,481.34127,542.51945,615.88279,678.78565,752.60252,802.44789,827.72585,974.19354,1085.67025,1206.35802,1352.0326699999996,1491.67341,1401.823108,1476.1090789999996,1550.39505,1624.681021,1698.966992,1773.252963,1847.538934,1921.824905,1996.110876,2070.396846
中国,1132.37681,1270.93652,1488.07926,1729.66053,2070.4945,2657.21392,3420.25034,3779.35258,4486.57869,5537.62996,6224.9207,6947.74198,7540.63598,7920.15775,7973.6565599999985,8682.24956,9334.792712,9897.254087,10459.71546,11022.17684,11584.63821,12147.09959,12709.56096,13272.02233,13834.48371,14396.94508
印度,455.35035,524.48248,624.37316,719.8655200000002,808.16216,1004.2751,1058.74234,1083.14468,1356.33303,1500.85306,1473.30183,1499.38242,1578.95012,1638.99814,1714.3253100000004,1923.31603,1999.781897,2095.61024,2191.438582,2287.266925,2383.095268,2478.923611,2574.751954,2670.580296,2766.408639,2862.236982
印度尼西亚,957.78062,1133.41119,1222.91173,1342.54416,1688.8743100000004,1975.16738,2300.37067,2400.36763,3113.48062,3634.27679,3687.95401,3620.66398,3491.59589,3334.54907,3570.28461,3846.86433,4387.398590999999,4599.731536,4812.06448,5024.397425,5236.73037,5449.063314,5661.396259,5873.729203,6086.062148,6298.395093
以色列,19399.94256,19971.26078,20922.25176,21567.7608,22794.59165,25820.07826,30427.94665,28543.32775,31475.11693,34578.50404,33437.00384,37452.12632,39037.27964,37258.23555,38987.38168,42452.13503,43832.61844,45429.65485,47026.69126,48623.72767,50220.76408,51817.80049,53414.8369,55011.87331,56608.90972,58205.94613
泰国,2096.05543,2358.92968,2659.83812,2893.64918,3368.95407,3972.20871,4378.68732,4212.05808,5075.30138,5491.15398,5859.88922,6168.40157,5953.787820000001,5846.39176,5979.29637,6595.00198,7186.568839000001,7495.947491,7805.326144,8114.704795999999,8424.083449,8733.462102,9042.840754,9352.219407,9661.598059,9970.976712
英国,29873.37593,34305.404310000005,40139.21813,41883.38132,44360.09392,50220.78594,46784.69302,38179.43866,38746.20102,41291.61546,41659.01432,42597.73747,46676.88127,44289.75402,40420.98453,39757.70617,44392.97859,44754.01809,45115.05759,45476.0971,45837.1366,46198.17611,46559.21561,46920.25512,47281.29462,47642.33412
德国,25477.06244,30673.822030000007,34502.1707,35034.84597,36819.71512,42286.55564,46252.44603,42212.97207,42241.22189,46429.17945,43717.14334,46176.17775,47843.20494,41383.929,42668.33732,44976.42616,49450.9571,50498.89904,51546.84098,52594.78292,53642.72486,54690.6668,55738.60874,56786.55067999999,57834.49262000001,58882.43456
法国,24044.59809,29444.42804,33654.22671,34723.78016,36437.99263,41504.46875,45311.79102,41521.45655,40564.55085,43698.22069,40790.63579,42532.43887,42966.69279,36573.73928,36821.68495,38414.88185,43701.02156,44364.33591,45027.65026,45690.9646,46354.27895,47017.5933,47680.90764,48344.22199,49007.53633,49670.85068
俄罗斯,2396.42304,3005.57654,4142.640570000001,5371.85053,6974.62097,9168.18571,11721.20356,8628.07529,10756.57328,14320.82736,15410.99937,15997.00002,14354.78188,9510.18732,8923.91718,10955.81026,15096.37354,15757.42732,16418.48111,17079.5349,17740.58869,18401.64248,19062.69627,19723.75006,20384.80385,21045.85764
乌克兰,916.14292,1093.10091,1423.62588,1903.06566,2400.11624,3206.41407,4072.84945,2642.78134,2970.19113,3579.93974,3876.14816,4063.10444,2974.45804,2038.41579,2100.78212,2536.10775,3457.862873,3557.337605,3656.812337,3756.287069,3855.761801,3955.236534000001,4054.711266,4154.185998,4253.66073,4353.135461999998
加拿大,24199.24364,28216.05051,32025.0266,36217.60678,40295.24441,44366.48527,46373.12072,40578.84567,47220.55458,51786.86328,52270.82827,52264.95997,50534.62024,43185.97062,42076.64043,44973.5481,53406.82943,54715.09165,56023.35386,57331.61607999999,58639.8783,59948.14052000001,61256.40274,62564.66496,63872.92718,65181.1894
美国,38038.80886000001,39507.42982,41750.72887,44172.59866,46384.62089,48077.48494,48497.37206,47206.95158,48574.34044,49967.89389,51692.23079,53194.61184,55148.6036,56947.90961,58064.47308,60054.94129,60567.0528,61903.75754,63240.46227999999,64577.16702000001,65913.87176000001,67250.5765,68587.28124,69923.98598,71260.69072,72597.39546
阿根廷,2918.59142,3666.05107,4284.87834,5125.04036,5925.12161,7249.27493,9054.5504,8244.22251,10345.63806,12726.78581,13811.78016,14417.42145,13192.88409,14853.44076,12654.37636,14399.62107,16845.66963,17703.47136,18561.27309,19419.07483,20276.87656,21134.67829,21992.48002,22850.28176,23708.08349,24565.88522
巴西,2842.2272,3062.8867,3622.90196,4770.20338,5860.07395,7313.7143,8787.770359999999,8553.260859999999,11223.98367,13167.24655,12291.6644,12216.96594,12026.86492,8750.21147,8633.6414,9821.43978,13109.25966,13673.98831,14238.71697,14803.445630000002,15368.17429,15932.90295,16497.63161,17062.360269999994,17627.08893,18191.81759
墨西哥,7398.83295,6903.93692,7310.98322,8089.41522,8859.68148,9412.83512,9765.7024,7792.26215,9016.45198,9912.56241,9940.50001,10400.56994,10582.45033,9298.26244,8450.89208,8967.17017,10169.18495,10320.6882,10472.19145,10623.69471,10775.19796,10926.70121,11078.20447,11229.70772,11381.21098,11532.71423
