country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
孟加拉国,4597.0,4725.0,4817.0,4875.0,4965.0,5007.5,5050.0,5100.0,5180.0,5264.0,5300.0,5500.0,5500.0,5500.0,5500.0,5550.0
中国大陆,57400.0,61056.0,61511.0,61898.0,62559.0,63220.0,63413.0,64120.0,66352.0,67743.0,67782.7,69481.4,70024.8,71358.4,72626.4,73301.4
印度,62593.0,63277.0,63962.0,64646.0,65209.0,65771.0,66334.0,67700.0,67700.0,67800.0,69500.0,70400.0,70400.0,70400.0,70400.0,70400.0
印度尼西亚,6000.0,6250.0,6500.0,6722.3,6722.0,6722.0,6722.0,6722.0,6722.0,6722.0,6722.0,6722.0,6722.0,6722.0,6722.0,6722.0
以色列,215.0,220.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0
泰国,5830.0,5950.0,6070.0,6187.0,6305.0,6415.0,6415.0,6415.0,6415.0,6415.0,6415.0,6415.0,6415.0,6415.0,6415.0,6415.0
英国,227.0,229.0,227.0,228.0,182.0,152.0,195.0,213.0,95.1,95.0,95.0,98.9,99.0,99.0,99.0,99.0
德国,495.0,500.0,500.0,510.0,515.7,560.0,600.0,639.0,652.0,665.0,678.0,691.0,686.0,680.0,676.4,676.4
法国,2675.0,2696.0,2687.0,2678.0,2675.0,2670.0,2671.0,2699.0,2727.0,2755.0,2783.0,2811.0,2830.0,2830.0,2830.0,2830.0
俄罗斯,4557.0,4648.0,4607.0,4553.0,4513.0,4435.0,4346.0,4300.0,4300.0,4300.0,4300.0,4300.0,4300.0,4300.0,4300.0,4300.0
乌克兰,2262.0,2208.0,2195.0,2183.0,2181.0,2181.0,2179.0,2175.0,2178.0,2173.0,2167.0,2165.0,2166.0,2166.0,2166.0,2166.0
加拿大,1175.0,1190.0,1205.0,1218.0,1218.0,1200.0,1180.0,1160.0,1160.0,1170.0,1182.0,1182.0,1182.0,1182.0,1378.0,1378.0
美国,26937.0,26878.67,26820.0,26762.0,26700.0,26644.0,26550.0,26470.0,26415.0,26560.0,26708.0,26749.51,26791.02,26832.52,26874.03,26915.54
阿根廷,1600.0,1650.0,1735.0,1820.0,1900.0,1985.0,2070.0,2155.0,2250.0,2357.0,2360.0,2360.0,2360.0,2360.0,2360.0,2360.0
巴西,4070.9,4229.1,4387.3,4545.5,4601.0,4800.0,5000.0,5200.0,5400.0,5659.1,5918.2,6177.4,6436.5,6695.6,6954.7,6955.0
墨西哥,6300.0,6320.0,6300.0,6300.0,6300.0,6350.0,6400.0,6460.0,6480.0,6500.0,6500.0,6562.2,6624.4,6686.6,6748.8,6811.0
澳大利亚,2545.0,2545.0,2545.0,2545.0,2546.0,2546.0,2546.0,2546.0,2546.0,2546.0,2546.0,2546.0,2546.0,2546.0,2546.0,2546.0
新西兰,468.0,490.0,553.0,533.0,433.0,619.0,640.0,660.0,680.0,700.0,721.7,726.8,731.9,737.0,742.1,747.0
