country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
孟加拉国,1106361.6326472396,1175022.5949797307,1191124.7653082479,1393619.02695119,1658842.4517690747,1681396.8012442084,1824875.7396456162,1842531.5276314402,2091543.4200118307,2326643.756493578,2636907.6691260342,2982709.9123484893,3189973.5284428294,3222503.860158497,3362204.9087229846,3845518.9494415685,4414929.067431354,4929196.152923037,5542391.144422867,6286097.510479692,7206944.191062318,8376775.844585589,9912362.463302532,12017021.536163135,15079038.932574527,19943937.044644535
中国,1139068247.0,1125026199.0,1181411696.0,1218099501.0,1228332821.0,1269588758.0,1337783949.0,1363460406.0,1416174205.0,1477655674.0,1518916152.0,1554736572.0,1582017874.0,1672858199.0,1683812265.0,1707704979.0,1760774702.0,1802655200.0,1844535698.0,1886416196.0,1928296694.0,1970177192.0,2012057690.0,2053938188.0,2095818686.0,2137699184.0
印度,374626418.0,414314864.0,404285741.0,425192009.0,446033563.0,475970041.0,497877633.0,482181358.0,518632793.0,550408642.0,564610268.0,585176431.0,600912134.0,569876360.0,585225540.0,618608186.0,643318112.2,659341331.4,675364550.7,691387769.9,707410989.1,723434208.3,739457427.6,755480646.8,771503866.0,787527085.2
印度尼西亚,4920783.74000428,5173164.893401817,5818690.126485684,5340557.401732563,5491222.18784123,5609313.328208327,5948738.810782453,6333654.054594107,6855198.335202775,8021028.974439806,8984461.479086626,9321483.63481778,9928336.292588906,10422188.589040268,10818624.219117012,11289166.35958685,11893964.297889689,12643729.71611244,13452249.575720271,14326711.860347385,15275526.863338256,16308598.61520795,17437671.846741807,18676780.487208787,20042834.00653553,21556393.592758343
以色列,3937380.688505717,4174955.7328270734,3819580.268449124,3536384.7154001733,4237086.637403113,4168884.8740339256,4021912.4575625313,4047613.2726132725,4062755.4378018016,4935719.947159842,4924509.209651559,5821900.366436291,6864695.459279599,6558795.954685533,5846222.5321187535,5930594.465552836,6653031.1266698595,7020348.635891665,7430791.4796202835,7892428.063926552,8415473.383108374,9013053.745335137,9702323.514191551,10506138.600345092,11455639.883667435,12594381.287121508
泰国,3244527.948091551,3549427.349391808,3742841.4205249483,3753580.378598611,4231199.543810707,4929667.4738809215,4951752.151835126,5572837.730222255,5758208.279113516,6948909.873768668,7407056.897677303,4973998.608283003,8947297.861891534,8870184.16686598,8766711.110134868,9941711.560374761,11282471.1422643,12703069.541896483,14477934.85679475,16758464.65718308,19796654.030976936,24045293.656421423,30407719.75814414,40983767.05396275,62031497.46740135,124352012.8800278
英国,52469301.00795487,59116022.92889313,59925008.00512328,52602213.657747105,49897322.59352949,46321538.11694642,69883717.28109802,75555006.45615683,66398948.98564893,68493395.73036072,57982189.62033218,68726827.28998838,68435681.68576422,60423893.8753542,55773339.22847354,59203865.20993458,65972290.916118145,66810722.28413308,67677231.3846766,68573252.63449606,69500319.85173725,70460075.0760829,71454278.16145653,72484817.60091124,73553722.5605091,74663176.09545764
德国,59658401.36495184,56110200.61080635,69781524.30160657,63016369.323871,60327764.70068999,61348455.408879995,97975110.90106444,107264878.79567079,98876116.65821828,100298247.91474679,108192220.395544,115712041.91872743,126018120.94553144,94397312.29320437,93054518.47609627,94682242.20544797,140545897.86360222,153912440.4376762,170282879.15653968,190798010.4790041,217260013.00176576,252692990.83825237,302589971.43550414,378078621.25824565,505637915.06439126,767507574.7878247
法国,74195624.65304142,75990018.80216454,86593802.11372148,83462437.90453228,79385886.01383172,70787157.23104484,107682180.61758082,106846456.54412666,99842900.25736453,97984557.01525833,93005636.30740683,85481042.8746105,99941272.66447937,89158942.01442146,66037922.17592704,80947019.50056735,91107602.8098065,91775017.96828105,92466174.9930735,93182363.69427563,93924968.99118675,94695479.92891791,95495499.56467958,96326756.18161142,97191115.66943404,98090595.59062116
俄罗斯,17194012.135566704,15994914.101080613,19503625.39630551,20144544.07220578,21461668.40939411,24612750.097389262,29038084.315228067,27790063.723070458,20841413.459332664,31449264.143265728,27647146.090736747,35182698.47434119,39775558.81601285,39215575.209758945,43081970.978989795,46241955.82559373,52602643.093007274,57976075.09153135,64305731.023793854,71871785.8469751,81075717.42079751,92513922.79968686,107112352.13203427,126390622.24893957,153028615.62253475,192235087.34354454
