country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
孟加拉国,5612.596025687629,5767.745503159942,5686.195014122559,6598.341296928327,6867.744923857868,7338.890097236438,8091.010252467,8030.405592611595,8690.832242330895,9000.385517061733,9039.491786179922,9309.70890856994,9567.124005737383,9668.521540976482,9626.221377662343,9681.524632567396,10777.955710284861,11119.271522754532,11463.864087362399,11811.780821382186,12163.07005594776,12517.781069181134,12875.964098438528,13237.670374880274,13602.95213699477,13971.862661161134
中国,9333.043953371207,9421.871654468721,9917.423685007932,10155.036479469776,10564.876811461612,10983.29066324426,11608.963878694225,11854.863523481568,12371.766669912773,13023.295958327693,13446.949702922706,13793.214024705107,14039.350719723945,13261.46917045655,13370.919835637533,13567.346848426367,14750.37530612021,15078.097843631429,15404.613571162377,15729.929159966016,16054.051206003984,16376.986256927028,16698.74083875949,17019.32140370629,17338.73435697254,17656.98608329063
印度,2278.041494215618,2533.717664065482,2471.562552839725,2603.759181907127,2747.0987066846506,2943.070116819177,3081.8091585176744,2983.3360857121147,3230.4939907903367,3431.2310372725015,3526.139684182284,3656.0045767760575,3754.937569904706,3597.074931453443,3694.3046598876413,3907.0641749167535,4075.056275219001,4185.980485642056,4297.309282743722,4409.044882814176,4521.189520314854,4633.745446096874,4746.714925599749,4860.100243548238,4973.903698906148,5088.127609587279
印度尼西亚,4955.46417011105,4749.839775060252,4515.141409227276,4919.927917719864,5331.5697209302325,5404.795863636364,5656.68577092511,5757.705762711865,5835.6425423728815,5884.288127659574,6211.862255319149,6219.5477872340425,6241.313829787231,6393.478739495798,6245.877619047619,6209.953954372623,6626.380584998492,6729.106655224779,6830.074603586763,6929.329181620234,7026.913638662094,7122.869769281881,7217.237996127947,7310.057411235114,7401.365833892171,7491.199862020798
以色列,10747.220630372492,11163.685628742514,13070.556270096464,12799.157556270096,12465.950495049505,13097.308698495748,12145.352018685348,12904.403549129145,12802.612397820163,12991.731484612783,13589.369063772047,14092.253324002799,13476.415973377703,12683.876177658143,13049.481355932203,9537.627906976744,12659.10484975991,12683.554306844308,12708.093813003481,12732.723866640872,12757.444969844844,12782.257628422753,12807.162351935425,12832.159653732104,12857.250050985662,12882.434064728279
泰国,4220.891415946456,4500.691381578948,4581.482960526317,4384.63125,4731.047434210527,5274.2435526315785,5026.225639344262,5234.02605925454,4905.516814720812,5088.003807106598,5324.760869565219,5129.043783462225,4902.3229625223075,4710.53248066627,4586.825104104699,5035.994824509221,5108.368056084264,5135.749154441253,5162.693607464233,5189.211777280773,5215.31370071709,5241.009101964055,5266.307404655815,5291.217743392888,5315.748974739056,5339.9096877200045
英国,5829.567404078811,5512.243505919774,5506.936930744115,5398.567987432361,4987.961437479489,4641.429087921117,5646.742048293089,5269.881633327823,5197.265829145728,5239.63081491257,4420.351416613006,4723.199157276471,5537.217133231732,5712.71818333056,5209.578311353615,5483.766242306276,5151.141149538985,5138.439643289102,5125.844038038457,5113.353013267898,5100.965270295972,5088.679536547114,5076.494554053515,5064.409091634703,5052.42193192574,5040.531883474167
德国,5184.521075396488,4657.502917054198,5934.503530005044,5368.423303091397,5030.913703017023,4956.306979877073,5695.792239356353,5704.4714943491,5065.56998142833,5067.791073684209,5300.275223931046,5341.710676995623,5941.879265313,5553.729697788283,5361.09224621663,5421.863829425756,5537.420126648252,5559.5716197768215,5581.736518069265,5603.91483369764,5626.106578848741,5648.311765724133,5670.530406540158,5692.76251352797,5715.008098933555,5737.267175865572
法国,5186.314672182457,4290.427190707606,5278.475391986062,4811.527185269024,4634.77174327935,4496.9357220198835,5057.9098129587765,5104.258224603148,4822.2707874562175,4789.212887974434,4849.385396325287,4841.48598523957,5234.855643617283,5167.6357103042965,4173.215507585564,4683.820514861866,4784.545238747445,4778.155265492647,4771.76736939302,4765.381549979926,4758.997806785037,4752.616137708016,4746.236542281933,4739.85902004017,4733.48356888489,4727.110188350869
俄罗斯,1035.7352772040658,913.424734209646,994.862516987867,1005.5746216569087,1008.6079178113741,1031.9297382664056,1266.7861799110556,1201.8995223964027,805.0839135545709,1201.6239179935717,982.7213047374003,1168.6769722726863,1293.3285682578567,1312.982112471126,1427.919481458951,1533.7755509704148,1394.3530717019642,1424.8662329331607,1455.4125973264681,1485.9922199326757,1516.6051534436945,1547.2514531464665,1577.9311736213447,1608.6443695677879,1639.3910966327699,1670.1714080992385
乌克兰,1927.047750737463,1701.4342672413793,2202.4350717320362,2061.7627573030936,1971.0766812550082,1776.0556823086883,2565.5166286875656,2365.153303774863,2126.9081811743695,2894.0057540232006,2547.450980995141,3034.5041339963987,3097.291364052487,2877.958199847446,3271.256254576518,2939.3115579422715,3262.9764766435414,3356.5977377336667,3450.083142247656,3543.432982644835,3636.6475596638456,3729.72716405214,3822.672085715776,3915.482622829565,4008.1590636061783,4100.701698457358
加拿大,1123.6601501908162,1493.9011717392389,1582.9168940399009,1584.8714155896607,1535.9972761754448,1547.1242156156775,1778.654592698454,1639.7043795620439,1561.1088173640778,1605.154002950248,1723.5702296584423,2140.3727867030148,1670.5888199411022,2013.3384446592304,1935.876719439398,1901.0219209442064,2035.2096178474649,2079.5433307991157,2124.276896116363,2169.4157477963568,2214.9654187484066,2260.931543054835,2307.319858294113,2354.1362076511286,2401.386543478486,2449.076928159641
美国,2264.566479936639,2577.400781227578,2873.0019363158026,2734.090284151257,2598.7352955333517,3113.446738324684,3057.9017352383257,3202.596854954734,3096.2015125161183,3025.5227850851966,2887.7386070950793,3361.2930973560487,3410.10918102706,3313.569980815987,3596.3729266137275,3331.809394260401,3614.97430598321,3689.941287439954,3765.9805672095013,3843.115316931056,3921.3693807385775,4000.767301882003,4081.3343436535506,4163.096521628016,4246.080626888287,4330.314257326056
阿根廷,1741.9684157634053,1599.3329963219273,1568.6933874898457,1699.1578995364382,1344.000631204453,1555.694397935937,1671.0411786392892,1155.640382596524,1416.6812353545195,1705.2234599417234,1556.1924586205157,1638.528250081866,1665.845025510204,1812.5236734693872,1926.2676530612239,2318.6154336734694,1856.5617770517379,1876.2472536267164,1895.2460327852423,1913.5934301288182,1931.322380449522,1948.4636350331448,1965.0459396612216,1981.096195479151,1996.639604418331,2011.699802070029
巴西,2725.997695372935,3006.0964624091225,2950.7127900159144,2777.731963668715,2884.8223208079485,3087.928685427989,3267.2527154380646,2992.6668771832874,3082.189819331174,3170.756959046278,3246.235574630424,3382.9663837011885,3397.0205989364676,3427.4078073089695,2941.175550077604,3493.7774514905554,3412.3374059912103,3442.9434037624223,3472.922778112591,3502.2945764723513,3531.0770836849374,3559.2878564782186,3586.9437659960213,3614.0610211858925,3640.655207331225,3666.7413125708154
墨西哥,2476.756599378882,2568.80466768138,2683.176919100543,2518.2245879120874,2699.576852287805,2795.4357328117694,2973.543865765962,2806.081126126126,3088.03400380917,2812.0164081286243,3326.379986073808,3442.512509515351,3772.203379191296,3477.7937023919267,3518.9611133667163,3293.1708010876387,3698.1805625376182,3787.7419628444177,3878.910757114192,3971.7306089729786,4066.2467794981003,4162.506198841738,4260.557544934746,4360.451323517857,4462.239957958442,4565.9778789459015
澳大利亚,2000.5386981251318,1113.6440619621342,1996.1102047158452,1655.5396182107415,2048.9098150899786,1108.6788324324325,1474.3830358296416,1573.7487104665902,1664.3991402818049,1540.4432258817658,1666.3475190755244,1433.0727591861837,1469.0598336060675,1472.726345820454,1485.244635193133,1990.933565296566,1564.664376270601,1560.6301448958864,1556.7409241428272,1552.9890334312163,1549.3673254635412,1545.8691396385884,1542.4882628947719,1539.218891729904,1536.0555992450534,1532.9933050837838
新西兰,7270.163865546218,8162.701204819277,8153.457142857143,8162.934117647059,8320.796992481202,8310.020881670534,8298.69536423841,8277.558386411889,7580.6833667334695,8088.050955414012,7824.19253438114,7202.789762340037,6701.686440677966,6491.608695652174,6961.626315789472,6517.312280701754,6803.335833298901,6731.052651689921,6661.643517376147,6594.940359450297,6530.787961223994,6469.042755928291,6409.571748008969,6352.251566139599,6296.967602735765,6243.613250655914
