country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
孟加拉国,139.0,129.0,124.0,118.0,116.0,114.0,115.0,117.0,119.0,120.0,121.0,122.0,122.0,120.0,116.0,115.71428571013462,115.07857142441662,114.44285713869864,113.80714285298086,113.17142856726286,112.53571428154508,111.8999999958271,111.2642857101091,110.62857142439134,109.99285713867334,109.35714285295558
中国,129.0,129.0,129.0,129.0,128.0,126.0,121.0,116.0,108.0,101.0,94.0,87.99999999999999,83.00000000000001,78.0,74.0,73.15238094813685,68.68809523383788,64.22380951954074,59.759523805243596,55.295238090944615,50.830952376647474,46.36666666235033,41.90238094805136,37.43809523375421,32.973809519457056,28.509523805158096
印度,122.0,131.0,141.0,149.0,152.0,146.0,134.0,122.0,115.0,112.0,111.0,110.0,110.0,110.0,109.0,103.84761904344124,101.21190475771893,98.5761904719966,95.94047618627428,93.30476190055195,90.66904761482964,88.03333332910734,85.39761904338502,82.7619047576627,80.12619047194039,77.49047618621806
印度尼西亚,129.0,134.0,134.99999999999997,135.0,136.0,136.0,135.00000000000003,129.00000000000003,113.0,94.0,76.0,62.99999999999999,55.0,51.0,51.0,47.142857138554966,39.935714281395114,32.72857142423345,25.52142856707178,18.314285709911932,11.107142852750258,3.899999995588587,-3.307142861573084,-10.514285718732935,-17.721428575894606,-24.928571433056284
以色列,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
泰国,143.0,135.0,124.0,113.0,100.0,87.00000000000001,77.0,72.0,69.0,68.0,65.0,63.00000000000001,60.00000000000001,57.00000000000001,53.0,35.19047618614968,28.872619043277155,22.55476190040281,16.236904757530287,9.919047614655938,3.601190471783412,-2.716666671089115,-9.03452381396346,-15.352380956835988,-21.670238099710325,-27.988095242582855
英国,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
德国,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
法国,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
俄罗斯,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
乌克兰,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
加拿大,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
美国,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
阿根廷,7.0,9.0,12.0,14.0,14.0,12.0,11.0,10.000000000000002,10.0,10.000000000000002,10.0,8.0,6.0,3.0,2.0,5.142857138464706,4.635714281318542,4.1285714241722635,3.6214285670262143,3.1142857098800505,2.6071428527338867,2.0999999955874955,1.5928571384413317,1.085714281295168,0.5785714241490041,0.07142856700284028
巴西,83.0,70.0,56.0,42.0,33.0,27.0,22.0,19.0,16.999999999999996,15.0,13.0,11.999999999999998,11.000000000000002,11.0,10.0,-7.714287642318594,-12.353573596594286,-16.99285955086998,-21.632145505145672,-26.271431459423184,-30.91071741369888,-35.550003367974575,-40.189289322250254,-44.82857527652595,-49.46786123080165,-54.107147185077345
墨西哥,31.0,34.0,36.99999999999999,38.0,36.0,33.0,31.0,30.0,29.0,29.000000000000004,30.0,31.0,30.0,30.0,29.0,28.180952376609756,27.72023809089217,27.259523805174688,26.798809519457112,26.338095233739637,25.87738094802205,25.41666666230458,24.955952376586996,24.495238090869517,24.03452380515193,23.573809519434466
澳大利亚,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
新西兰,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
