country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
孟加拉国,9353.0,9328.0,9323.0,9311.0,9280.0,9266.0,9253.0,9246.0,9241.0,9128.0,9120.0,9108.0,9099.0,9162.24,9194.21,9187.33,0.0
中国大陆,518533.0,516133.0,516433.0,517433.0,514133.0,514568.0,514549.0,514553.0,514550.0,514553.0,514553.0,514553.0,514553.0,527833.0,527733.0,527733.0,0.0
印度,180560.0,180249.0,180375.0,180126.0,179906.0,179620.0,179757.0,180068.0,179573.0,179670.0,179642.0,179698.0,179721.0,179721.0,179721.0,179721.0,0.0
印度尼西亚,48181.0,51006.0,53366.0,51846.0,51500.0,53000.0,54000.0,55600.0,55600.0,56500.0,56500.0,57000.0,57000.0,57300.0,60200.0,62300.0,0.0
以色列,563.0,551.0,513.5,514.5,508.8,518.1,515.6,522.6,504.5,517.0,526.2,520.3,537.7,533.9,532.0,623.0,0.0
泰国,19689.0,19554.0,19555.0,19610.0,19700.0,19800.0,20050.0,20879.0,21060.0,21060.0,21860.0,22110.0,22110.0,22110.0,22110.0,22110.0,0.0
英国,16976.0,16956.0,17051.0,16956.0,17838.0,17647.0,17684.0,17325.0,17224.0,17164.0,17182.0,17250.2,17232.0,17138.0,17349.98,17466.15,0.0
德国,16967.0,17001.0,17013.0,17031.0,16946.0,16950.0,16921.0,16886.0,16700.0,16719.0,16664.0,16697.0,16725.0,16731.0,16657.0,16687.0,0.0
法国,29610.7,29534.6,29458.4,29390.4,29312.7,29206.1,29110.1,29019.9,28926.3,28878.6,28844.8,28773.7,28766.5,28726.9,28718.02,28697.5,0.0
俄罗斯,216651.0,216277.0,215980.0,215680.0,215488.0,215463.0,215494.0,215349.0,216601.0,216299.0,216249.0,216249.0,216249.0,216249.0,216249.0,216249.0,0.0
乌克兰,41396.0,41355.0,41354.0,41304.0,41284.0,41266.0,41292.0,41276.0,41267.0,41281.0,41297.0,41526.0,41511.0,41508.0,41515.0,41489.0,0.0
加拿大,62091.0,61946.0,61801.0,61656.0,60584.0,60008.0,59432.0,58856.0,58280.0,57699.7,57771.0,57842.0,57913.0,57984.0,58050.0,57694.4,0.0
美国,413064.0,413022.3,412980.9,412939.6,412898.8,412857.6,412027.4,411197.2,410367.0,409536.8,408706.4,408075.6,407444.8,406813.9,406183.1,405552.2,0.0
阿根廷,128710.0,130883.5,134345.0,137797.5,141104.0,144033.0,144261.0,143792.0,147481.0,148281.0,149254.0,149199.0,148700.0,148700.0,148700.0,148700.0,0.0
巴西,228530.9,228634.6,228738.3,228842.0,228951.0,229581.3,230211.6,230841.9,231472.2,232102.5,232732.8,233363.1,233993.4,234623.7,235254.0,235918.76,0.0
墨西哥,106550.0,106550.0,106570.0,106570.0,106570.0,106700.0,103808.0,103367.0,102844.0,103073.0,102138.0,101586.0,101407.0,103212.0,104992.0,106964.0,0.0
澳大利亚,447000.0,439764.0,394906.0,410230.0,409302.0,398355.5,389288.0,384257.0,376372.0,396121.0,387076.0,371775.0,374423.0,348119.0,342602.0,371837.0,0.0
新西兰,12099.0,11858.0,11890.0,11712.0,11375.0,11487.0,11374.0,11490.0,11408.0,11371.0,11209.4,11106.0,11116.0,10840.0,10651.0,10651.0,0.0
