country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
中国大陆,1139068247.0,1125026199.0,1181411696.0,1218099501.0,1228332821.0,1269588758.0,1337783949.0,1363460406.0,1416174205.0,1477655674.0,1518916152.0,1554736572.0,1582017874.0,1672858199.0,1683812265.0,1707704979.0
乌克兰,67659081.0,60461156.0,76190686.0,71699283.0,68443693.0,62231551.0,87585854.0,80844209.0,73333995.0,98305581.0,87406980.0,104337478.0,106326578.0,96677207.0,109569322.0,98677499.0
以色列,4582993.0,4574165.0,4948610.0,4895771.0,4739478.0,4984152.0,4643861.0,4906193.0,4753627.0,4857242.0,5036985.0,5020574.0,5075138.0,4533243.0,4645251.0,4488268.0
俄罗斯,141994514.0,126480583.0,135768052.0,136056855.0,136901622.0,140262648.0,169382340.0,161010627.0,112654509.0,161529396.0,135333886.0,158542035.0,174315591.0,169288148.0,183604159.0,196966686.0
加拿大,53249207.0,68005581.0,71500238.0,70998815.0,68328420.0,68283431.0,76728327.0,70634357.0,66955493.0,68071257.0,73287156.0,89404060.0,72106832.0,81591239.0,79020652.0,77057642.0
印度,374626418.0,414314864.0,404285741.0,425192009.0,446033563.0,475970041.0,497877633.0,482181358.0,518632793.0,550408642.0,564610268.0,585176431.0,600912134.0,569876360.0,585225540.0,618608186.0
印度尼西亚,101645382.0,108684418.0,113461199.0,114778512.0,116770730.0,121051618.0,130626214.0,138197608.0,140200734.0,140956911.0,148756717.0,149105054.0,149689427.0,155214528.0,160745066.0,166658802.0
墨西哥,62992638.0,66426643.0,68220181.0,64812024.0,69303278.0,72122655.0,74727833.0,68872327.0,73190110.0,66531025.0,73861448.0,74858441.0,79236211.0,78033723.0,84558174.0,85525213.0
孟加拉国,47154939.0,48317754.0,47192091.0,53123142.0,55069555.0,58348185.0,64150368.0,63660920.0,68800777.0,70230044.0,70477413.0,72638710.0,74544441.0,75422653.0,74834343.0,75212044.0
巴西,146662003.0,162584642.0,163307030.0,156466276.0,164197942.0,177411858.0,189298732.0,176982035.0,184492408.0,191565388.0,197769147.0,207752172.0,211168140.0,212334707.0,188051419.0,221216616.0
德国,82869099.0,77531953.0,92648232.0,86220887.0,82013183.0,81839453.0,91215808.0,91773685.0,83875621.0,84894443.0,88185315.0,89326225.0,96546263.0,74177408.0,71492856.0,72124198.0
新西兰,12428657.0,12558340.0,13050818.0,12952153.0,13220814.0,13557362.0,13828181.0,14027678.0,13448136.0,14417926.0,13269925.0,13982605.0,14119403.0,5313609.0,5408038.0,5106678.0
法国,116278641.0,99422301.0,117248874.0,108703983.0,104342427.0,101941293.0,112846618.0,113089495.0,107848304.0,107178448.0,108264141.0,108360044.0,115751982.0,101143687.0,82258817.0,92027857.0
泰国,67341064.0,70838069.0,71712605.0,68924251.0,74319329.0,82655400.0,79075837.0,84548841.0,79827884.0,82711137.0,90994657.0,89135597.0,85446963.0,81960413.0,79822658.0,87390130.0
澳大利亚,56258259.0,34106028.0,59458053.0,51763400.0,57457568.0,33344314.0,42890443.0,50638376.0,49912263.0,56544054.0,60403192.0,52665079.0,55207405.0,50755770.0,49340356.0,65670080.0
美国,447874318.0,496724551.0,540324126.0,511851150.0,485242610.0,565227233.0,554588149.0,571918314.0,551716511.0,538318322.0,514016348.0,589782962.0,599481355.0,562660026.0,610310913.0,571672260.0
英国,41488001.0,38982879.0,39300618.0,38352800.0,37477879.0,35157121.0,40528363.0,38619186.0,38031990.0,39078222.0,35293179.0,37282242.0,42285039.0,38170378.0,35320698.0,37281858.0
阿根廷,53723763.0,51232383.0,54154533.0,62090199.0,53150214.0,63266885.0,65714472.0,46728709.0,60279439.0,72845917.0,68772131.0,72213211.0,72349124.0,76535749.0,80907204.0,96587406.0
