country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
中国大陆,1074438686.0,1058208093.0,1112794442.0,1146077107.0,1154783295.0,1198112262.0,1262091726.0,1284106962.0,1333942440.0,1395074998.0,1432383874.0,1466468308.0,1492350691.0,1586001427.0,1597717953.0,1621177199.0
乌克兰,62713842.0,55262585.0,71539496.0,66908325.0,63953554.0,57604590.0,83312587.0,76815449.0,69075597.0,94052293.0,82838011.0,99461942.0,101498238.0,94325080.0,107218695.0,96332997.0
以色列,3750780.0,3728671.0,4064943.0,3980538.0,3777183.0,4005157.0,3639962.0,3926810.0,3758847.0,3841655.0,4006146.0,4027566.0,4049663.0,3769648.0,3849597.0,3691062.0
俄罗斯,127877056.0,111948422.0,121518477.0,122459883.0,122620499.0,125455826.0,154103272.0,146209875.0,97937653.0,146176348.0,119547064.0,142168385.0,157332127.0,159722961.0,173704977.0,186582262.0
加拿大,45637457.0,60177327.0,63235947.0,62786266.0,60338581.0,60158378.0,68451522.0,62449781.0,58833508.0,59848167.0,64692485.0,80869705.0,63535834.0,77072609.0,74589330.0,72577405.0
印度,365470753.0,404885549.0,394661580.0,415153779.0,435860175.0,465069826.0,486910438.0,471140368.0,507216631.0,538631217.0,552003063.0,571952668.0,587508797.0,562809135.0,578021990.0,611310982.0
印度尼西亚,99510676.0,106424910.0,111370478.0,112892666.0,114628749.0,118905509.0,128406767.0,135881856.0,137721164.0,138280771.0,145978763.0,146159373.0,146670875.0,152164794.0,157396116.0,163321789.0
墨西哥,57421125.0,60757368.0,62287269.0,58664560.0,63070214.0,65745853.0,68227964.0,62295001.0,66476108.0,59640056.0,66880196.0,67834709.0,72113212.0,71680806.0,78004811.0,78723248.0
孟加拉国,46320755.0,47457010.0,46302686.0,52199478.0,54117830.0,57360765.0,63134153.0,62605042.0,67710274.0,69104960.0,69332902.0,71479945.0,73370274.0,74759329.0,74162431.0,74521890.0
巴西,127036672.0,141824625.0,140914240.0,134256119.0,141108199.0,152849382.0,163637085.0,151635438.0,157974557.0,164368870.0,170183900.0,179331048.0,182063319.0,185696955.0,161073479.0,193499580.0
德国,61130688.0,55084287.0,70608723.0,63905711.0,59696822.0,58866058.0,67962193.0,68139912.0,60006742.0,60180019.0,62723457.0,63438156.0,70524165.0,65789482.0,63057167.0,63826181.0
新西兰,3460598.0,3387521.0,3424452.0,3469247.0,3319998.0,3581619.0,3759309.0,3898730.0,3782761.0,3809472.0,3982514.0,3939926.0,3953995.0,3881982.0,3968127.0,3714868.0
法国,95280380.0,78749933.0,96955036.0,88424322.0,84997079.0,82231866.0,92401437.0,93184359.0,88250931.0,87519992.0,88655009.0,88626790.0,95971132.0,95491190.0,76603210.0,86483795.0
泰国,64955298.0,68410509.0,69638541.0,66646395.0,71911921.0,80168502.0,76649941.0,82148039.0,77310945.0,80186940.0,88178040.0,86219226.0,82408049.0,79184051.0,77104530.0,84655073.0
澳大利亚,47482786.0,25881088.0,51385865.0,43709557.0,49640987.0,25638198.0,35376494.0,42714058.0,42359291.0,48824194.0,52718903.0,44741678.0,46951593.0,45788093.0,44641998.0,61225189.0
美国,391717916.0,440042986.0,484146507.0,454598832.0,426518210.0,504004758.0,490871205.0,509760544.0,488631686.0,473379346.0,447909916.0,523196699.0,532656667.0,519385858.0,565677094.0,525882133.0
英国,33729877.0,31193786.0,32044866.0,30928396.0,30396637.0,28243096.0,33908686.0,31877514.0,31027677.0,31762642.0,27459223.0,29592732.0,34516243.0,34339149.0,31392971.0,33357092.0
阿根廷,48534724.0,45874468.0,48276539.0,55898047.0,46843798.0,56678614.0,58922583.0,39629220.0,53806970.0,66130271.0,61864875.0,65047933.0,65301125.0,71050928.0,75509692.0,90889725.0
