country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
孟加拉国,345.49433,371.82282,395.94478,401.78244,481.34127,542.51945,615.88279,678.78565,752.60252,802.44789,827.72585,974.19354,1085.67025,1206.35802,1352.03267,1491.67341
中国大陆,1132.37681,1270.93652,1488.07926,1729.66053,2070.4945,2657.21392,3420.25034,3779.35258,4486.57869,5537.62996,6224.9207,6947.74198,7540.63598,7920.15775,7973.65656,8682.24956
印度,455.35035,524.48248,624.37316,719.86552,808.16216,1004.2751,1058.74234,1083.14468,1356.33303,1500.85306,1473.30183,1499.38242,1578.95012,1638.99814,1714.32531,1923.31603
印度尼西亚,957.78062,1133.41119,1222.91173,1342.54416,1688.87431,1975.16738,2300.37067,2400.36763,3113.48062,3634.27679,3687.95401,3620.66398,3491.59589,3334.54907,3570.28461,3846.86433
以色列,19399.94256,19971.26078,20922.25176,21567.7608,22794.59165,25820.07826,30427.94665,28543.32775,31475.11693,34578.50404,33437.00384,37452.12632,39037.27964,37258.23555,38987.38168,42452.13503
泰国,2096.05543,2358.92968,2659.83812,2893.64918,3368.95407,3972.20871,4378.68732,4212.05808,5075.30138,5491.15398,5859.88922,6168.40157,5953.78782,5846.39176,5979.29637,6595.00198
英国,29873.37593,34305.40431,40139.21813,41883.38132,44360.09392,50220.78594,46784.69302,38179.43866,38746.20102,41291.61546,41659.01432,42597.73747,46676.88127,44289.75402,40420.98453,39757.70617
德国,25477.06244,30673.82203,34502.1707,35034.84597,36819.71512,42286.55564,46252.44603,42212.97207,42241.22189,46429.17945,43717.14334,46176.17775,47843.20494,41383.929,42668.33732,44976.42616
法国,24044.59809,29444.42804,33654.22671,34723.78016,36437.99263,41504.46875,45311.79102,41521.45655,40564.55085,43698.22069,40790.63579,42532.43887,42966.69279,36573.73928,36821.68495,38414.88185
俄罗斯,2396.42304,3005.57654,4142.64057,5371.85053,6974.62097,9168.18571,11721.20356,8628.07529,10756.57328,14320.82736,15410.99937,15997.00002,14354.78188,9510.18732,8923.91718,10955.81026
乌克兰,916.14292,1093.10091,1423.62588,1903.06566,2400.11624,3206.41407,4072.84945,2642.78134,2970.19113,3579.93974,3876.14816,4063.10444,2974.45804,2038.41579,2100.78212,2536.10775
加拿大,24199.24364,28216.05051,32025.0266,36217.60678,40295.24441,44366.48527,46373.12072,40578.84567,47220.55458,51786.86328,52270.82827,52264.95997,50534.62024,43185.97062,42076.64043,44973.5481
美国,38038.80886,39507.42982,41750.72887,44172.59866,46384.62089,48077.48494,48497.37206,47206.95158,48574.34044,49967.89389,51692.23079,53194.61184,55148.6036,56947.90961,58064.47308,60054.94129
阿根廷,2918.59142,3666.05107,4284.87834,5125.04036,5925.12161,7249.27493,9054.5504,8244.22251,10345.63806,12726.78581,13811.78016,14417.42145,13192.88409,14853.44076,12654.37636,14399.62107
巴西,2842.2272,3062.8867,3622.90196,4770.20338,5860.07395,7313.7143,8787.77036,8553.26086,11223.98367,13167.24655,12291.6644,12216.96594,12026.86492,8750.21147,8633.6414,9821.43978
墨西哥,7398.83295,6903.93692,7310.98322,8089.41522,8859.68148,9412.83512,9765.7024,7792.26215,9016.45198,9912.56241,9940.50001,10400.56994,10582.45033,9298.26244,8450.89208,8967.17017
澳大利亚,22335.64402,28323.52778,33966.98642,37571.03565,39718.05437,46967.89173,49453.66864,46606.14889,58646.25038,68681.53958,69591.06118,66544.67096,62261.27208,52387.55279,54067.32187,57613.22623
新西兰,15775.20408,20862.49232,25106.55974,27741.47936,26663.7029,32438.85871,31151.71662,28065.4211,33542.73499,38127.67817,39436.66557,42232.04083,43977.92752,38402.18473,40304.81734,42934.98482
