country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
孟加拉国,0.15012609857707326,0.14471150916955594,0.140548891417335,0.13531360292965203,0.1280119099052077,0.12715385957351683,0.1274593378377288,0.12355791623577335,0.1242433221646005,0.12257964346229566,0.11762671535647558,0.11051530246961155,0.1267831982457744,0.10184117692771862,0.09489946576599063,0.0896093820231995,0.1014952760314198,0.10070206200829056,0.09998871607777522,0.09934375368201417,0.09875779133232798,0.09822308735893444,0.0977331976425582,0.09728271492407835,0.0968670681151334,0.09648236689038374
中国,6.800143200407578e-07,6.023079758617778e-07,5.114181047164164e-07,4.374529766757925e-07,3.633562342136614e-07,2.8151846137120925e-07,2.1747467104094582e-07,1.9569693634972547e-07,1.6391700628556071e-07,1.3205504605147436e-07,1.1681557449721395e-07,1.0408762022926295e-07,9.539876119805087e-08,9.037761695213395e-08,8.935728077123382e-08,8.171415509304145e-08,7.667778022144752e-08,7.225894683236767e-08,6.832166471037828e-08,6.47912843241191e-08,6.1607827592392e-08,5.87225521146237e-08,5.609543799587245e-08,5.3693320357168375e-08,5.1488481701751e-08,4.945757770115215e-08
印度,0.17792973477103305,0.17967848745666756,0.15077062912656883,0.1489844022081001,0.14324872533771005,0.14726852552405412,0.14718484342085725,0.14678720926297448,0.15080890369331348,0.14987176454920065,0.147409399445198,0.14793028019597004,0.1405856370308488,0.15173099817700297,0.1518531445576399,0.14127882983893605,0.14543978041975258,0.14522764842698335,0.14503535422501782,0.14486023938307788,0.14470010016230284,0.1445530942902015,0.14441766976844225,0.1442925098688843,0.14417649018014053,0.14406864473307662
印度尼西亚,4.800191947771515e-06,4.000505452662529e-06,3.6568288890863054e-06,3.2854549265517855e-06,2.5762052135453738e-06,2.1730034521043413e-06,1.840760002033436e-06,1.7406284780754138e-06,1.3243381503287107e-06,1.1198595729243397e-06,1.0894790050321744e-06,1.095861424133221e-06,1.1225678445780975e-06,1.1616368509492953e-06,1.072666165648686e-06,9.84698746484404e-07,8.809920489198956e-07,8.376828984694116e-07,7.984323432461154e-07,7.626954100289307e-07,7.30020512802588e-07,7.000302747693172e-07,6.724068827431347e-07,6.468807850043227e-07,6.232218623337557e-07,6.012324746264985e-07
以色列,8.261610806278143e-06,7.885944026966685e-06,7.388666077793428e-06,7.021915802981263e-06,6.49425391044177e-06,5.594584984186268e-06,4.630495429375024e-06,4.820440774452208e-06,4.278387343248776e-06,3.820922788128092e-06,3.884475641590238e-06,3.413936226532399e-06,3.2257244464135815e-06,3.328110510649678e-06,3.1310867847648164e-06,2.8307087821938593e-06,2.768695492901214e-06,2.651649266008992e-06,2.544097873069329e-06,2.4449310114146574e-06,2.3532049984356776e-06,2.2681126465122604e-06,2.1889594458205766e-06,2.1151445660414567e-06,2.0461455765746525e-06,1.981506062963209e-06
泰国,7.445966294222262e-06,6.566824992204325e-06,5.783843471797853e-06,5.28210793512387e-06,4.509408280852167e-06,3.8031085319125435e-06,3.431908314993433e-06,3.549745857844422e-06,2.9316489933365107e-06,2.6967382320047156e-06,2.5153549788085883e-06,2.3790616539901374e-06,2.4549580035649316e-06,2.49128531518291e-06,2.4286265555839723e-06,2.1963418250216913e-06,2.0209299873540043e-06,1.934546988707343e-06,1.8552460161929392e-06,1.7821904448834155e-06,1.714670435577213e-06,1.6520797941581663e-06,1.593897720752224e-06,1.539674285415378e-06,1.4890187685278112e-06,1.441590231839485e-06
英国,0.006589425129586472,0.007020826005872172,0.007110463177051399,0.005142743168003183,0.0049955590481880535,0.005051114487457557,0.0057203588162799465,0.004878959515066954,0.005925166286815894,0.0055054708004336934,0.005394775898940514,0.0058705070700719834,0.005535990717981155,0.005307369645935806,0.005971637916191259,0.006096897289778515,0.00548577995699424,0.005463249561041553,0.0054413405872555595,0.005420027672264407,0.0053992868195016355,0.005379095301803239,0.005359431580158415,0.005340275227066807,0.00532160685575315,0.005303408054723071
德国,0.007572568558948485,0.006927678283296112,0.00823563609379274,0.005954295342409023,0.0060963125609361625,0.006250920126896474,0.007003052612907011,0.005726990418165354,0.005767307733707573,0.0063334221164948286,0.006061792590379395,0.007564821093196743,0.005992669959287814,0.007582139112220373,0.007516232339653145,0.007284391926887344,0.006831070400175328,0.00684220261090038,0.006852879990567738,0.006863129855827526,0.006872977378785805,0.006882445793405499,0.00689155657851902,0.006900329620488463,0.006908783358104389,0.0069169349119469585
法国,0.01807499424427118,0.01695012958801061,0.016678217783141432,0.015306599159234473,0.013570319752305897,0.014325009283096133,0.013606842067906615,0.011970531233880867,0.014644495103199972,0.014948728828155964,0.014989438926672283,0.013196743425798815,0.013968968685056728,0.017300389531097766,0.017473287563806544,0.01702466051394033,0.015264598288023009,0.01528320378182404,0.015301140439465465,0.015318443679854455,0.015335146483127357,0.015351279560488599,0.015366871581971265,0.015381949307806807,0.015396537779737842,0.0154106604223618
俄罗斯,0.05260526528769505,0.0466352947889841,0.04179975436022977,0.036876783764065134,0.033670936744715614,0.033211216962037,0.03411631750822869,0.03684883536379738,0.029447059207479424,0.03058928817814564,0.02809405675521122,0.029411806891608838,0.03508158785970241,0.05627013888718834,0.06351833439444614,0.054647220214949666,0.04188385179701205,0.042159452009290055,0.04241284223642042,0.04264660324835015,0.04286293092962445,0.04306370536281692,0.043250545667866624,0.04342485380781427,0.04358784973287889,0.04374060002549269
乌克兰,0.12548226112128621,0.10454210822739568,0.1039935629309076,0.08839332716068048,0.07212502168246741,0.0626174020652435,0.06514901183882489,0.06877991976122064,0.07661753522187625,0.08437762859378735,0.08042007786862476,0.07799044623557133,0.11334045190725893,0.17539456494723413,0.17997032075782662,0.15724993551444866,0.119644783108919,0.12180930209099039,0.12386436907422876,0.12581808123142155,0.1276777561856322,0.12945002390092777,0.13114090520455962,0.13275588042535832,0.13429994865426723,0.1357776794326253
加拿大,0.012859424155487692,0.012833100889589387,0.013453839306264082,0.010796980211696311,0.009473644077207268,0.009450077891834916,0.011906180773180628,0.009780746703420455,0.009385547457693518,0.01211918498194179,0.012563034613933106,0.011670848614293532,0.012550503821496403,0.015238745585446361,0.016199079382397893,0.015670979923359637,0.013858510860945148,0.013994218238517155,0.014122254060569595,0.014243250950078392,0.014357773852068798,0.014466328812435501,0.014569370481102698,0.014667308463897159,0.014760512789721921,0.014849318544309995
美国,0.006981433930195426,0.008358274425247982,0.009888504650094606,0.008287058395504913,0.007398542513943029,0.008015204935558469,0.008741052175836829,0.007751679618950383,0.008794112380346598,0.010809385519085564,0.009472030715304378,0.01123965182056129,0.009640911856563161,0.009978118450752834,0.010124904799712944,0.010111302436842017,0.01040043110308634,0.010503658304155372,0.010601594041997859,0.010694635022218577,0.01078313924854594,0.01086743064724213,0.010947803023482208,0.011024523482917851,0.011097835392563551,0.011167960978275137
阿根廷,0.08244876274377935,0.08353927778732372,0.07880246203084414,0.0749383809860701,0.06455114139247106,0.07103324761800682,0.0692721524545935,0.04968509908367368,0.06839177151101573,0.06794310676148065,0.05596329031319375,0.05782192965220957,0.06696584191202408,0.06277355198488241,0.07748367692070715,0.07137819128234252,0.06560308222048754,0.0655359938610772,0.0654753739735622,0.06542033006097153,0.06537012662520705,0.06532415204871683,0.06528189361541102,0.06524291828187756,0.06520685767534,0.06517339666731928
巴西,1.9530100611619804e-06,1.7891579457448689e-06,1.494122149089676e-06,1.121536633276044e-06,9.02831242754311e-07,7.157610783422209e-07,5.896729194702469e-07,5.998813576246619e-07,4.52726705468119e-07,3.82240114114086e-07,4.05641944980857e-07,4.043967041697727e-07,4.0715886819420795e-07,5.548736774585898e-07,5.577865866261656e-07,4.864967433630696e-07,3.707487487163923e-07,3.5452481471021136e-07,3.396612661992676e-07,3.259938847361352e-07,3.133838604952065e-07,3.0171306174542574e-07,2.9088032240095186e-07,2.807985016672821e-07,2.71392135456435e-07,2.625955434091555e-07
墨西哥,0.031681482516031256,0.030462041131868088,0.030798446264170765,0.027753818489044006,0.028219519235372872,0.02905926684502979,0.02978829603850612,0.02982874897831851,0.03000064980110741,0.028843053063244254,0.03037093522156401,0.031830563032794926,0.031389378162930415,0.03516876149402595,0.0396009861689428,0.03816075427498623,0.03486215137849629,0.03516111321053297,0.03544617963358796,0.035718297409862425,0.03597832920155102,0.03622706270612902,0.03646521862618383,0.03669345764364613,0.036912386540561434,0.03712256360903103
澳大利亚,2.298898489570473e-06,1.7924753307763934e-06,1.4758230297150935e-06,1.315103290509922e-06,1.2237751088571945e-06,1.0164454295109386e-06,9.474500819746601e-07,9.869983350867934e-07,7.708562013606889e-07,6.476905406878858e-07,6.296449339659561e-07,6.491156003767165e-07,6.841991836257129e-07,8.020529372647923e-07,7.666242532565177e-07,7.098865967377922e-07,5.918177189021281e-07,5.686951214290534e-07,5.473114068744251e-07,5.274775298607483e-07,5.090308906098429e-07,4.918308658849321e-07,4.757552177099979e-07,4.6069718404084376e-07,4.4656310394631556e-07,4.332704689511629e-07
新西兰,0.04253556285570094,0.04325891675621921,0.04023085175909339,0.0327983552676373,0.03591266173288804,0.0479967456292035,0.037623208650411896,0.04454545924972823,0.0523068910229707,0.04980749465606334,0.04234568116781169,0.04455247187466425,0.04494760974243963,0.05391457932829567,0.05366503718658001,0.05250476987800285,0.0508858298587998,0.051255081078955524,0.05159711355727653,0.05191482987183139,0.052210734060106685,0.05248699781131507,0.05274551372823375,0.052987938810569055,0.05321573006544947,0.05343017369752315
