country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
澳大利亚,10.46375,10.46652,10.47175,0,0,10.53565,10.55323,10.62687,10.66369,10.6342
新西兰,34.55754,34.55007,34.64943,34.79437,34.91091,34.95424,35.03978,35.07938,35.14773,35.18808
中国,18.38773,18.85238,19.48605,34.8457,36.01041,37.33036,38.85587,40.2169,41.75238,42.77486
泰国,0,16.8726,0,0,35.08984,0,0,39.2653,0,0
印度尼西亚,18.7,18.8,19.6,20.5,21.3,22.1,22.98466,25.01021,25.58656,26.1
德国,180.53467,180.48958,180.49769,180.48111,180.44217,180.39233,180.33631,180.32286,180.26696,180.24456
法国,181.03389,181.7859,182.35401,183.13334,184.30143,186.84153,187.02999,189.41714,191.08979,191.62403
英国,159.94787,161.05332,159.13715,159.27425,172.21214,172.41041,172.25648,172.2692,172.25401,172.27166
俄罗斯,5.252,5.24615,5.08824,5.01806,5.45085,5.63216,5.49179,5.74913,5.87195,6.39832
乌克兰,28.1135,28.12344,28.07506,28.05451,28.01823,28.07091,28.08417,28.08301,28.08321,28.1065
印度,104.23879,107.34332,110.16795,115.87632,118.05123,122.18081,125.01573,136.02544,139.39996,142.68242
孟加拉,0,166.12917,0,0,0,180.2713,0,188.3425,0,0
加拿大,14.11063,0,14.11063,0,14.11163,11.92829,14.11163,14.11163,0,0
美国,66.27304,66.40038,66.52411,66.76008,67.11273,67.36979,66.17723,66.30718,66.57498,66.74095
以色列,76.90077,78.17399,79.04848,79.69642,80.28546,80.9787,82.03444,83.00408,83.74264,84.12324
阿根廷,0,8,0,0,0,0,0,8.18706,0,8.72108
巴西,0,20,21,18.90897,18.90897,18.82741,18.82741,19.19077,18.6,18.56962
墨西哥,17.16409,17.7683,17.92281,18.11238,18.17087,18.33021,18.56117,18.67291,18.93401,19.05242
