country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
孟加拉国,588.3350296861747,521.335683033544,540.9911580498588,629.1921375300215,615.2110406091371,184.41107983623337,667.6569268230166,588.5636223704464,654.4683609292774,782.4331857254493,693.0378096479791,763.3263870799688,835.6161168340071,893.4901141195826,863.5512271861749,905.2489629520886,914.5586494188337,944.8469459965905,975.4260210191906,1006.3000820487766,1037.473418218804,1068.9504022204244,1100.7354923471983,1132.8332346001666,1165.2482648553187,1197.9853110956853
中国,351.93863440523967,355.9026238937264,382.27617008003136,404.9830735969094,419.1448424577326,431.37960746207074,419.22282964025874,434.04861593995514,477.7490750917025,496.464741718516,507.67496439672533,505.8329176311467,523.2375048566432,456.1986085503789,449.60493095772097,443.5088999097004,510.9645212444472,519.1316999213532,527.2688038867587,535.3759989554521,543.453449725508,551.5013195894394,559.519770745205,567.5089642071093,575.46905981658,583.4002162528275
印度,266.06525506133437,280.33587193912354,319.91533119156327,349.5284927623492,392.67013525607894,405.7346318866993,439.6413620684199,478.7888224715687,508.76124298607084,527.658451130406,506.6727351704929,488.6675573055829,508.1510005560421,720.4387618798055,511.56701584400145,521.4625822079341,630.9382117362685,652.4997895209908,674.1400112120524,695.8593078653962,717.6581136929254,739.5368660914927,761.4960056721014,783.5359762895378,805.6572250722227,827.8602024525011
印度尼西亚,388.4126288531448,423.1216192091405,392.35194194437685,431.1663034951625,472.10153488372094,502.9288181818181,518.752026431718,551.4936440677966,533.2805084745763,583.7851489361701,625.9557106382979,608.4946510638298,635.4283489361699,620.3221483193278,606.5619706349208,584.9876330798479,663.6510137306743,677.8089291242902,691.7245365959575,705.4040038931238,718.8532911978342,732.0781597854746,745.08418025365,757.8767403459052,770.4610523933449,782.842160395781
以色列,448.41260744985675,530.6766467065868,812.299035369775,941.0353697749196,304.9504950495049,344.9967298888162,280.61394728061384,200.46007229707521,206.4032697547684,251.60635779506262,278.83310719131606,296.0111966410077,264.22628951747095,243.60699865410504,280.6779661016949,238.50129198966408,121.05507175467045,90.94776720803961,60.72957533542973,30.39988239784344,-0.04192988131674933,-30.59648435822476,-61.264408511184804,-92.04633448354915,-122.94289912711501,-153.9547440461189
泰国,115.54455780102674,449.73776315789473,379.8184072368422,324.1805743421053,326.0872046052632,370.75953289473694,381.7925908196721,371.0800267601146,490.2025691624364,488.6737544416245,152.95404951690824,166.68049077929808,151.48536109458652,301.8717525282569,141.13862105889356,141.13862105889353,199.15047140105264,188.89972316982735,178.81244323073994,168.88475228137915,159.11289280342277,149.49322432085015,140.02221887798873,130.69645672560645,121.51262220395964,112.4674998123886
英国,1094.106463878327,1070.5601696412793,1043.3235951194363,983.9238959678827,254.18444371512967,253.24568611339356,213.9883430474605,239.87435939824763,250.7537688442211,238.70009897723523,235.02897617514483,246.59239633542953,243.35445576321493,248.36799201463984,252.8937057854202,243.79898995212793,-19.179906022111453,-70.59367202051817,-121.57877332171016,-172.14054868779093,-222.28424859255347,-272.0150370391327,-321.3379933327696,-370.25811381013955,-418.7803135266499,-466.9094279025623
德国,220.07403952166908,219.69806375243087,215.1258194654564,208.75705645161295,194.41901230406202,221.87176896522695,159.58271873952398,181.4143993302637,211.59682593280434,191.48698947368413,198.9215818827108,203.47061300101052,217.6956778161598,202.27393212898872,197.24502635606194,178.11892626571526,190.0349760166225,188.70074752318973,187.36571161007174,186.02986754412174,184.6932145913047,183.3557520166965,182.0174790844821,180.678395057955,179.33849919951535,177.99779077066802
法国,211.28378194486024,223.36391570597328,212.10801393728224,192.4625631203204,190.38257265935985,209.3381894543426,152.44653423615253,144.8510642959652,200.7109017687848,185.3390535393775,497.6449126722351,509.07662640598284,518.2493959014024,523.3118130604424,492.1040187579811,519.4289325874644,540.5419864421254,567.432031442652,594.3133331461613,621.185895816284,648.0497237138859,674.9048210970436,701.7511922210858,728.58884133857,755.417772699291,782.237990550289
俄罗斯,9.445389381606123,11.003516673602102,11.419776333240547,11.792644172736303,12.48071133630546,14.253129781038707,15.882744617711612,15.635064817631052,15.724502462001333,16.18722718641337,15.43358350664617,15.298276188049224,15.900500620638065,16.66261128328223,18.687181974368873,20.328239442987613,19.591624328149315,20.164075451282407,20.73714949209018,21.31084746787605,21.885170398159868,22.460119304684113,23.035695211419032,23.611899144570142,24.188732132583432,24.76619520615161
