country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
孟加拉国,193.63406565402764,200.09386014700152,205.52869682983666,207.53516654212333,237.36669962087598,225.23061168954496,221.9707515388648,225.63883445942514,236.8463772627477,254.36365613493982,286.972534338011,315.2760657094778,328.1788240873395,330.36723393529974,346.139641792976,393.557026253735,405.01727953399586,438.4604364306902,478.3369458673372,526.7007035032173,586.5840226626726,662.6590128798374,762.5193104909532,899.3867973679885,1098.5119815925111,1414.8797903144743
中国,115122.0,112314.0,112206.0,112858.0,109304.0,109085.0,108717.0,108319.0,107821.5,107121.5,106521.1,106318.1,106297.7,119594.7,119492.0,119491.1,113062.40149076305,113271.34063673533,113480.27978270753,113689.21892867975,113898.15807465205,114107.09722062427,114316.03636659648,114524.97551256875,114733.91465854098,114942.85380451324
印度,160432.0,159799.0,159680.99999999994,159444.0,158662.0,158022.0,157995.0,157924.0,157009.0,156979.0,156546.00000000006,156442.0,156463.0,156463.0,156463.0,156463.0,155399.02529713348,155116.65327326686,154834.28124940026,154551.9092255336,154269.53720166712,153987.16517780046,153704.79315393386,153422.4211300672,153140.04910620055,152857.67708233395
印度尼西亚,972.1470502518839,1066.4816055008098,1264.9594039623703,1067.6600350086032,1011.0519737145296,1019.4402624224585,1033.761653727189,1081.5978500034598,1153.9360465173133,1337.2468193442141,1419.3298226562486,1469.1310558676155,1558.6665508168417,1598.0983972013134,1696.0354498330214,1781.5145176498638,1759.6655592062632,1841.9108444423828,1930.6011807483355,2026.5250501409157,2130.6050188365807,2243.9275046389507,2367.7808430143036,2503.7044825152393,2653.5533002023485,2819.582751349638
以色列,299.835906423705,304.8502217922271,240.0450759885458,224.64605605316382,270.88157200711623,255.77971829101008,259.5614217418418,251.0477510477511,250.9294474595102,300.47759374047354,288.21712095733454,331.41611391994064,406.4600776399616,429.9955148516284,371.268559433071,511.3643076057284,425.1521507997762,447.90271685348625,473.3243391767666,501.91675129486697,534.3126398160592,571.3250096570407,614.0163516383241,663.802293635504,722.6116099976825,793.1419028807652
泰国,741.4501290502461,761.6144323577691,793.3220330230537,827.7844289479314,865.3769339860795,906.5462825537111,954.9594816869997,1034.4989610897007,1136.8128269418867,1324.0637667765855,1348.0007098167987,938.041808428537,1760.2038946474518,1819.2660381667079,1846.197777094408,1912.3460661964884,2137.0284919590504,2393.186782348594,2713.225482134375,3124.4441734979187,3672.281898834113,4438.384594611224,5585.639296241355,7492.682268654854,11287.949559684399,22525.40885147715
英国,7317.4741687850155,8581.653852569643,8872.726163792444,7857.524927651519,8113.433630675009,8017.339060317795,10354.519433044796,11834.331103024613,10422.849959844965,10625.021909068602,10205.523337002416,11549.763120541227,10088.528516864117,9515.442212407592,9515.403685515326,9659.65826081433,11067.957788072783,11297.523793476134,11534.777594120776,11780.111944152042,12033.946814569423,12296.731792362743,12568.948737980336,12851.114734174012,13143.785364188718,13447.558363022568
德国,8488.474219976099,8559.249663477543,8961.429249297653,8700.291617637387,8728.465714327749,8903.231609957948,12816.188870151771,13961.289417704951,13964.564005234057,14029.677937666884,14518.8202385042,15384.017513633948,15492.148852022503,15075.082718248917,15309.323302398836,15453.88907121759,20649.71785790694,22728.784317924546,25275.084518076532,28466.060884133483,32582.02890955851,38093.36554509446,45854.47041816605,57596.169442172766,77437.07053568713,118168.95188216705
法国,11722.573523312425,14028.860558256143,13565.63097761464,14110.24008967852,13952.692164306854,12697.7800306921,17432.63101645101,17248.377313568206,16942.26888111241,16706.80087399322,15705.1182928715,14440.657910306474,15828.958729062339,16289.116905555262,14736.25394378748,16241.12271195982,17115.133476433097,17417.06289015662,17729.732801157006,18053.726693079352,18389.671093133453,18738.239615823277,19100.15747127039,19476.206501624347,19867.23081916369,20274.143131652865
俄罗斯,14950.28679993752,15498.985147106247,17546.76297231644,18030.864535692024,19058.80176645153,21333.33801269745,20854.912730944554,20996.33747682877,22505.420585645257,23684.676774028998,24851.482316794143,26995.617198335643,27758.027418265458,28179.973406596462,28544.444288013827,28559.589433451973,35114.41017534573,37962.858802045324,41318.20035201639,45328.95518438923,50207.94613796237,56271.32243765518,64009.92895987257,74229.31236009685,88350.07452634009,109133.36907804913
