country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
孟加拉国,3.87788,9.52581,8.24045,2.99935,21.41928,14.08321,14.80857,11.4347,12.1235,7.858410000000001,4.36659,19.08903,12.74007,12.36809,13.29274,11.49153,13.872310999999998,14.182882800000002,14.49345461,14.80402642,15.11459823,15.42517004,15.73574185,16.04631366,16.35688547,16.66745728
中国,9.79219,12.90143,17.772129999999994,16.90813,20.39231,29.07013,29.44885,11.1283,19.38782,24.12779,13.04575,12.22812,9.10794,5.55574,1.14186,9.35349,8.722476246,7.973929481,7.225382716,6.476835951,5.728289187000001,4.979742422,4.231195657,3.482648893,2.734102128,1.985555363
印度,4.55072,17.10794,20.99107,17.13521,14.01812,26.15982,6.984380000000002,3.76815,26.94506,12.11643,-0.5898100000000001,3.0188200000000003,6.56662,5.0220699999999985,5.80384,13.46247,5.738512496,5.06759551,4.396678525,3.72576154,3.054844554,2.383927569,1.713010584,1.042093599,0.371176613,-0.299740372
印度尼西亚,21.94723,19.98964,9.39821,11.30358,27.530790000000003,18.55505,18.04925,5.75261,31.433840000000004,18.25931,2.78854,-0.58241,-2.37905,-3.3632699999999995,8.29435,8.93344,1.493455496,0.228633275,-1.036188946,-2.301011166,-3.565833387,-4.830655607,-6.095477828,-7.360300049,-8.625122269,-9.88994449
以色列,-7.3704,4.76375,6.7302800000000005,5.22294,8.125060000000001,16.08107,20.82044,-3.94041,12.66957,11.97262,-1.63607,13.7829,5.83471,-3.0764,6.2925,10.61141,8.284236246,8.472940731,8.661645216,8.850349701,9.039054187,9.227758672,9.416463157,9.605167643,9.793872128,9.982576612999999
泰国,11.64134,13.387620000000002,13.53739,9.49878,17.135279999999998,18.57164,10.81615,-3.31961,21.08359,8.71092,7.21104,5.72887,-3.09155,-1.45818,2.58001,10.57598,1.996780246,1.183097996,0.369415746,-0.444266504,-1.257948754,-2.071631004,-2.885313254,-3.698995504,-4.512677753999999,-5.326360004
英国,9.04411,15.28354,17.602339999999995,5.04684,6.819960000000001,14.350879999999998,-5.83847,-17.54356,2.42976,7.4196300000000015,1.58297,2.87527,10.21092,-4.55754,-8.18879,-1.05334,-5.102077004,-6.110295769,-7.118514534,-8.126733299,-9.134952063,-10.14317083,-11.15138959,-12.15960836,-13.16782712,-14.17604589
德国,6.5927,20.50789,12.52099,1.48868,4.92614,14.57168,9.09151,-8.91952,-0.02061,9.96764,-5.68737,5.88405,3.8964,-13.26939,3.3647,5.66616,-2.861732504,-3.717389637,-4.573046768999999,-5.428703901,-6.284361034,-7.140018166,-7.995675299,-8.851332431,-9.706989562999999,-10.562646699999998
法国,8.565610000000001,23.1575,14.9654,3.79222,5.57374,14.60451,9.83841,-7.82702,-1.76393,8.279639999999999,-6.20614,4.74146,1.46165,-14.51381,1.10435,4.76071,-5.5603977539999985,-6.733196754,-7.905995754,-9.078794754,-10.25159375,-11.42439275,-12.59719175,-13.76999075,-14.94278975,-16.11558875
俄罗斯,12.67727,24.8922,37.31695,29.28826,29.56955,31.29219,27.786690000000004,-26.38424,24.72268,33.238,7.73013,3.93032,-10.16321,-33.69064,-6.11476,22.7906,-7.1618920039999985,-9.540364519,-11.91883703,-14.29730955,-16.67578206,-19.05425458,-21.43272709,-23.81119961,-26.18967212,-28.56814464
乌克兰,11.8217,18.32323,29.23941,32.76062,25.37671,32.93488,26.47448,-35.38254000000001,11.8964,19.9599,7.7349,4.28341,-27.1705,-31.81398,2.55397,20.13616,-9.894061254,-12.15460339,-14.41514552,-16.67568765,-18.93622978,-21.19677192,-23.45731405,-25.71785618,-27.97839831,-30.23894045
加拿大,2.92551,17.74146,14.65346,14.28999,12.49061,11.36643,5.74035,-11.48563,17.672079999999994,10.8576,1.99267,1.0052299999999998,-2.35293,-13.71379,-1.64695,7.869680000000002,-3.443012004,-4.505467607,-5.56792321,-6.630378812999999,-7.692834416,-8.755290019,-9.817745622,-10.88020123,-11.94265683,-13.00511243
美国,3.3509900000000004,4.77147,6.593369999999998,6.73756,5.96758,4.6128800000000005,1.80589,-1.7937599999999998,3.75889,3.67215,4.21053,3.62934,4.39025,3.98105,2.67789,4.15993,3.0057287460000004,2.899593819,2.793458893,2.687323966,2.58118904,2.475054113,2.368919187,2.26278426,2.156649334,2.050514407
阿根廷,-62.04243,27.0027,18.15926,20.8948,16.83215,23.6203,26.19082,-8.00915,26.79516,24.30804,9.67121,5.48391,-7.54356,13.72948,-13.96199,14.89097,10.960855,11.25020801,11.53956103,11.82891404,12.11826705,12.40762007,12.69697308,12.9863261,13.27567911,13.56503213
巴西,-8.68782,9.15806,19.74643,33.22099,24.22439,26.13584,21.38273,-1.7017400000000005,32.50408,18.4404,-5.76909,0.30793000000000004,-0.6784,-26.621340000000004,-0.52223,14.65371,-1.4181517540000002,-2.730536813,-4.042921872,-5.355306931,-6.66769199,-7.980077049,-9.292462107,-10.60484717,-11.91723223,-13.22961728
墨西哥,2.0360400000000003,-5.53998,7.25426,12.17448,11.15773,7.9264899999999985,5.44224,-18.91376,17.527260000000002,11.59828,1.7456,6.10694,3.14843,-10.9543,-7.92238,7.45931,0.109144996,-0.247475004,-0.6040950039999999,-0.960715004,-1.317335004,-1.673955004,-2.030575004,-2.387195004,-2.743815004,-3.100435004
澳大利亚,11.55087,28.25273,21.45598,12.22107,7.46282,20.39752,7.28222,-4.00692,28.03923,19.01613,2.866,-2.9995700000000003,-5.12769,-14.69401,4.62139,7.9925,-3.579585004,-5.061964637,-6.544344269,-8.026723901,-9.509103534,-10.99148317,-12.4738628,-13.95624243,-15.43862206,-16.921001699999998
新西兰,15.5451,34.21284,22.08949,11.98205,-2.7099,23.03205,-2.9431,-8.956389999999997,20.80387,14.92536,4.5891,8.28155,5.267530000000002,-11.76389,6.00758,7.55385,-1.395981254,-2.647840004,-3.899698754,-5.151557504,-6.403416254,-7.655275004,-8.907133754,-10.1589925,-11.41085125,-12.66271
