country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
孟加拉国,9.201176882661995,9.364070793479721,9.518219520409538,9.661262697022767,9.79172935470834,9.911032534015897,10.02329347972518,10.13436029907046,10.248491917014684,10.367231712245724,10.489495419641655,10.613720193991647,10.797621147463248,10.919250016934226,11.03783438325544,11.128063212526271,11.253161955814093,11.371916328574716,11.491540525080737,11.64060690867919,11.76673051541548,11.892941175521036,12.01923897915626,12.145624024841288,12.272096386604142,12.398656163126171
中国,1.3886963807221422,1.3969519621359714,1.405161770538003,1.4133108432517385,1.4214167852689716,1.4295184254986464,1.4376359549437598,1.4457875253675374,1.453971185133899,1.462191300326856,1.4704010577950584,1.478480236823285,1.4862706439493163,1.4936465967318944,1.5005600481443409,1.507000801011407,1.512929988008348,1.51831731679873,1.5231407119118396,1.5370799420752295,1.5447595721388818,1.5524392022955666,1.5601188328691629,1.5677984636981332,1.5754780947824802,1.5831577259566478
印度,3.3152446536020883,3.3706729799285724,3.4257581329131255,3.480462978285867,3.534791020485146,3.588645984801934,3.641777373861514,3.693867016907699,3.744701313555971,3.794150858161508,3.842305899137885,3.8894465481890688,3.935982224096124,3.982205186752854,4.028192962586763,4.0738503750389,4.119090704739124,4.163765295101146,4.207754101517404,4.2754666817379805,4.324946704586128,4.374426728271041,4.423906755439133,4.473386783413883,4.522866813526039,4.572346847166506
印度尼西亚,1.1382314789134087,1.1541250124285034,1.170187526492336,1.186399993720335,1.2027557315024622,1.2192447551715657,1.2358342744108888,1.252481629363713,1.269141841930369,1.2858006572715905,1.3024194135839617,1.318898468285076,1.3351142034955736,1.3491054149813437,1.3645390001985807,1.3772361306747634,1.3942563632791702,1.4084187841909508,1.4222905693978443,1.4429983733329204,1.4589223201011388,1.4748425489545265,1.49075906272684,1.5066718619568062,1.5225809479446006,1.5384863219897902
以色列,2.827041232442229,2.8769895786135025,2.9310498414136825,2.9918323516085183,3.060815133665608,3.1366968735840515,3.2158627095604904,3.2931110104213874,3.364728590847304,3.4294422292705034,3.488492976891707,3.5437734481196195,3.5982424105120074,3.654079746261894,3.711745355686452,3.770537834164024,3.8300149524241065,3.8894064340734036,3.948148618033528,4.033977804519115,4.097575525352102,4.161173246185092,4.224770967018079,4.288368687851066,4.351966408684055,4.415564129517042
泰国,1.248697380729654,1.258086938727783,1.2668036716557531,1.275051956657312,1.2828221468662302,1.2900610188649826,1.2968850561272218,1.3034352588088556,1.3098067508574993,1.316068950732772,1.3221852977860933,1.328014246180231,1.333348300592454,1.3380416471780479,1.3420548604614906,1.3454455487995012,1.348284514343623,1.35068116619894,1.3527218974119115,1.3693719982005954,1.3752118475127846,1.3810516968249715,1.3868915461371585,1.3927313954493477,1.398571244761535,1.4044110940737216
英国,2.4362280694552774,2.4457215631542226,2.4581964615574075,2.4747239850580844,2.495907392964164,2.5210238085464467,2.5481804523623826,2.5747142153441978,2.5986964820820164,2.6194278149501256,2.637425926686097,2.6534670990517633,2.668843027790321,2.684499404786339,2.7005701325889744,2.7167023521201927,2.7327902384959564,2.748615533024096,2.764016419687205,2.79687655205318,2.8161444684179435,2.8354123847827015,2.8546803011474653,2.8739482175122233,2.893216133876987,2.9124840502417455
德国,2.2857902755993726,2.287880909701994,2.2886335247164262,2.2871332997283598,2.283404088490619,2.27791800616074,2.2718754445408975,2.267182291666667,2.26515491687831,2.2661695693565553,2.269681748187138,2.2741688587899476,2.2801962896636634,2.286114759281384,2.2908067565300074,2.2963875216734726,2.3018598085374595,2.3056948225398424,2.308316233358316,2.2945600426316566,2.295623013681208,2.296685776651111,2.297748331602457,2.298810677953748,2.2998728170509293,2.3009347483126885
法国,1.0968220700908964,1.1021392570264676,1.108869851225762,1.1151950055273574,1.1217326762425628,1.1284359855542019,1.135149129372941,1.141668333069259,1.1478462065210069,1.1536163850173105,1.159012688335364,1.1641126087487048,1.1690432117314742,1.1738977429806206,1.1786964360838996,1.183410789182771,1.1880966639164972,1.192615630086536,1.197007542740954,1.2067751833832328,1.212414752194755,1.218054438831231,1.2236942432963573,1.2293341655938235,1.234974205727323,1.2406143634745772
俄罗斯,0.0849180289901183,0.0845611618505764,0.08424528547967508,0.0839958908051355,0.08382320870452165,0.08372214918026652,0.08368299368823925,0.08368859309496184,0.08372428406415862,0.08378868714634542,0.08388027956077378,0.08398357960610005,0.08407958767710146,0.08415363969996933,0.08419838872399223,0.08421315631716697,0.08419849501583583,0.08415804239716422,0.08409445525823159,0.08398607513042959,0.08397884103502844,0.0839716068913115,0.0839643727975054,0.08395713870449474,0.08394990461227943,0.08394267052085957
乌克兰,0.7949562919393588,0.7883448927180846,0.7823041173059396,0.7769392593819902,0.7723698947891642,0.7685584624306191,0.765246044238257,0.7620582718913098,0.7587193273133958,0.7551371220280013,0.7513766216552066,0.7475070830917075,0.7436571617927263,0.7399173887830338,0.7362873995526467,0.732714041918648,0.7291725789081268,0.725627040013255,0.7220484301217793,0.7169728102015214,0.7131282942223403,0.7092837782431602,0.7054392622639792,0.701594746284798,0.6977502303056181,0.6939057143264372
加拿大,0.0317021098712012,0.032012754371315066,0.032338283863458085,0.03268096763582074,0.033042815860725216,0.03342182747539158,0.03381113287279537,0.03420110731546849,0.034584547179837555,0.03495899693818163,0.03532549811483084,0.03568461246489029,0.036038082947443,0.036387262835598067,0.036731512437055594,0.037069966345302255,0.037403553676858894,0.03773355088524809,0.038060898228886655,0.038509628536653684,0.03887012043417296,0.039230612331546406,0.039591104228773905,0.03995159612585533,0.04031208802687119,0.04067257992369733
美国,0.29849040441111585,0.3011074685190972,0.30371514000683136,0.30640426265283643,0.3092051768941749,0.3120787383344944,0.30857321611837857,0.3113218244196466,0.31393081530710953,0.31638209491726094,0.31870529349001336,0.3209442628853554,0.32316376426408566,0.3254120313156372,0.32770103981992593,0.3300199745512134,0.3298570149375289,0.3316161667547936,0.33338122551906235,0.33591400505078794,0.33776419315648604,0.3396078644942783,0.34144505333228153,0.34327579410658,0.3451001201254444,0.3469180653824921
阿根廷,0.13627311897568695,0.13778369659041864,0.13929178535462525,0.14079086822039996,0.14227766868076536,0.14375708531146597,0.1452395302834125,0.1467393504531722,0.1482660588404546,0.14982334556178967,0.15140530139548272,0.1529992770824342,0.15458750539490726,0.15615653862753562,0.1577018774277082,0.15922542080276217,0.16072816141562365,0.16221327866494026,0.1636829664796432,0.16526381783655164,0.16679576364355825,0.16832770945056483,0.16985965525757143,0.17139160112622084,0.17292354693377843,0.174455492741336
巴西,0.21154989977418368,0.2142873128325448,0.2169368841572753,0.2194955594150617,0.22195575268002773,0.22432103732252048,0.22661372254065104,0.228864801421363,0.23109627314969758,0.2333161675338813,0.2355171440750514,0.23768681634191627,0.2398058343520316,0.24185964627978443,0.24384507801408445,0.24576553617582436,0.24762054288634391,0.24941105272909228,0.25113765528583004,0.2546348713137202,0.2568294809802527,0.2590240906467854,0.2612187003439927,0.263413310010783,0.2656079196775732,0.2678025293443636
墨西哥,0.5312393885093516,0.5377801494619167,0.5446786416070208,0.5521957513312089,0.5604433918081024,0.5693213227583258,0.5786141937914253,0.5879983913499425,0.5972313910750466,0.606247375762327,0.615096412099492,0.6237895213757012,0.6323704883983751,0.6408686201244158,0.6492672223989817,0.6575286083359847,0.665651391748061,0.6736385417592708,0.6814884438389175,0.6914963091296744,0.700090956645599,0.7086856056033572,0.7172802567201146,0.725874909639478,0.7344695643614501,0.7430642208860269
澳大利亚,0.025157782623410778,0.025444267182692135,0.025769106161561098,0.026144329963494133,0.026576702380244975,0.02705860316590925,0.02756993729670517,0.0280822002216705,0.028574386207858717,0.029039090737635682,0.029480950031132058,0.02990579391878799,0.030324251216216562,0.030743921500745362,0.031165428705036153,0.03158489101201103,0.03200044051971165,0.032409162921923806,0.03280901333340922,0.03334851451713241,0.033789469866076456,0.034230425219442355,0.03467138057292232,0.03511233592198029,0.035553291275630984,0.035994246624746075
新西兰,0.14804086511523665,0.15023996115199287,0.1524194464158978,0.1544713682716372,0.1563603152665198,0.15812427626909717,0.1598121101191588,0.16149859923051058,0.16323857905942998,0.16504325576183182,0.16688749019461357,0.16874707706099884,0.17058387807702366,0.17237036345299017,0.1741001083261738,0.17578032199021326,0.17741604721527024,0.17901482947966085,0.18058425161555408,0.18291689947315162,0.18470999392532225,0.18650308837749233,0.18829618282966237,0.1900892772818325,0.19188237173400316,0.1936754661861732
